sample_type,RFP_bin,hPDGFB_bin,n
Healthy,count-00,count-00,19493
Healthy,count-00,count-01,0
Healthy,count-00,count-02-05,0
Healthy,count-00,count-06+,0
Healthy,count-01,count-00,1
Healthy,count-01,count-01,0
Healthy,count-01,count-02-05,0
Healthy,count-01,count-06+,0
Healthy,count-02-05,count-00,0
Healthy,count-02-05,count-01,0
Healthy,count-02-05,count-02-05,0
Healthy,count-02-05,count-06+,0
Healthy,count-06+,count-00,0
Healthy,count-06+,count-01,0
Healthy,count-06+,count-02-05,0
Healthy,count-06+,count-06+,0
Primary,count-00,count-00,5128
Primary,count-00,count-01,1691
Primary,count-00,count-02-05,1256
Primary,count-00,count-06+,1578
Primary,count-01,count-00,388
Primary,count-01,count-01,327
Primary,count-01,count-02-05,464
Primary,count-01,count-06+,1115
Primary,count-02-05,count-00,121
Primary,count-02-05,count-01,147
Primary,count-02-05,count-02-05,371
Primary,count-02-05,count-06+,2818
Primary,count-06+,count-00,7
Primary,count-06+,count-01,12
Primary,count-06+,count-02-05,75
Primary,count-06+,count-06+,7157
Recurrent,count-00,count-00,3856
Recurrent,count-00,count-01,1109
Recurrent,count-00,count-02-05,792
Recurrent,count-00,count-06+,1133
Recurrent,count-01,count-00,424
Recurrent,count-01,count-01,260
Recurrent,count-01,count-02-05,357
Recurrent,count-01,count-06+,1233
Recurrent,count-02-05,count-00,114
Recurrent,count-02-05,count-01,121
Recurrent,count-02-05,count-02-05,365
Recurrent,count-02-05,count-06+,3956
Recurrent,count-06+,count-00,6
Recurrent,count-06+,count-01,9
Recurrent,count-06+,count-02-05,72
Recurrent,count-06+,count-06+,8848
