sample_type,RFP_1_bin,RFP_2_bin,n
Healthy,count-00,count-00,19493
Healthy,count-00,count-01,0
Healthy,count-00,count-02-05,0
Healthy,count-00,count-06+,0
Healthy,count-01,count-00,1
Healthy,count-01,count-01,0
Healthy,count-01,count-02-05,0
Healthy,count-01,count-06+,0
Healthy,count-02-05,count-00,0
Healthy,count-02-05,count-01,0
Healthy,count-02-05,count-02-05,0
Healthy,count-02-05,count-06+,0
Healthy,count-06+,count-00,0
Healthy,count-06+,count-01,0
Healthy,count-06+,count-02-05,0
Healthy,count-06+,count-06+,0
Primary,count-00,count-00,9653
Primary,count-00,count-01,1258
Primary,count-00,count-02-05,570
Primary,count-00,count-06+,25
Primary,count-01,count-00,1036
Primary,count-01,count-01,622
Primary,count-01,count-02-05,703
Primary,count-01,count-06+,63
Primary,count-02-05,count-00,469
Primary,count-02-05,count-01,602
Primary,count-02-05,count-02-05,1727
Primary,count-02-05,count-06+,701
Primary,count-06+,count-00,12
Primary,count-06+,count-01,46
Primary,count-06+,count-02-05,610
Primary,count-06+,count-06+,4558
Recurrent,count-00,count-00,6890
Recurrent,count-00,count-01,1410
Recurrent,count-00,count-02-05,1020
Recurrent,count-00,count-06+,80
Recurrent,count-01,count-00,864
Recurrent,count-01,count-01,657
Recurrent,count-01,count-02-05,1020
Recurrent,count-01,count-06+,209
Recurrent,count-02-05,count-00,468
Recurrent,count-02-05,count-01,704
Recurrent,count-02-05,count-02-05,2705
Recurrent,count-02-05,count-06+,1477
Recurrent,count-06+,count-00,30
Recurrent,count-06+,count-01,55
Recurrent,count-06+,count-02-05,989
Recurrent,count-06+,count-06+,4077
