Level_4,is_neopl,n,pct_tg_pos,median_tg
Ambiguous,FALSE,732,69.94535519125684,1
Dendritic,FALSE,617,26.25607779578606,0
Macrophage,FALSE,3457,24.84813422042233,0
Astrocyte R,FALSE,713,24.403927068723704,0
NKTB,FALSE,930,20.537634408602152,0
Neutrophil,FALSE,122,18.0327868852459,0
Fibroblast,FALSE,378,13.756613756613756,0
OPC/COP/OLG,FALSE,4909,11.489101650030555,0
Microglia,FALSE,9587,7.8335245645144465,0
Neural,FALSE,1442,7.558945908460471,0
Endothelial,FALSE,1947,5.033384694401644,0
Mural,FALSE,640,3.4375000000000004,0
Ependymal,FALSE,229,2.1834061135371177,0
Choroid,FALSE,977,0.8188331627430911,0
Astrocyte TE,FALSE,2832,0.8121468926553672,0
Astrocyte NT,FALSE,1565,0.6389776357827476,0
Neopl-ECM,TRUE,2700,99.8888888888889,21
Neopl-COP,TRUE,766,98.9556135770235,18
Neopl-ACR,TRUE,443,97.29119638826185,31
Neopl-CC-I,TRUE,2692,97.02823179791976,21
Neopl-CC-III,TRUE,5647,96.93642642110856,23
Neopl-CC-II,TRUE,3652,96.33077765607887,23
Neopl-OPC,TRUE,1599,95.7473420888055,15
Neopl-NC,TRUE,90,92.22222222222223,5
Neopl-Bulk,TRUE,13798,91.08566458907089,29
Neopl-RNA-low,TRUE,2340,83.2051282051282,3
