sample_id,condition,tg_bin,n_bins
HB_hm01,Healthy,0,130145
TP_1083,Primary,0,63322
TP_1083,Primary,0.69,26027
TP_1083,Primary,1.1,16802
TP_1083,Primary,1.39,10986
TP_1083,Primary,1.61,6973
TP_1083,Primary,1.79,4529
TP_1083,Primary,1.95,2632
TP_1083,Primary,2.08,1630
TP_1083,Primary,2.2,975
TP_1083,Primary,2.3,636
TP_1083,Primary,2.4,410
TP_1083,Primary,2.48,302
TP_1083,Primary,2.56,185
TP_1083,Primary,2.64,131
TP_1083,Primary,2.71,94
TP_1083,Primary,2.77,54
TP_1083,Primary,2.83,43
TP_1083,Primary,2.89,34
TP_1083,Primary,2.94,32
TP_1083,Primary,3,27
TP_1083,Primary,3.04,20
TP_1083,Primary,3.09,18
TP_1083,Primary,3.14,8
TP_1083,Primary,3.18,8
TP_1083,Primary,3.22,6
TP_1083,Primary,3.26,4
TP_1083,Primary,3.3,2
TP_1083,Primary,3.33,6
TP_1083,Primary,3.37,2
TP_1083,Primary,3.4,1
TP_1083,Primary,3.43,2
TP_1083,Primary,3.47,2
TP_1083,Primary,3.5,3
TP_1083,Primary,3.53,4
TP_1083,Primary,3.56,1
TP_1083,Primary,3.71,1
TP_1083,Primary,3.81,1
TP_1083,Primary,4.04,1
TP_987,Primary,0,74587
TP_987,Primary,0.69,12936
TP_987,Primary,1.1,8156
TP_987,Primary,1.39,5621
TP_987,Primary,1.61,4123
TP_987,Primary,1.79,3138
TP_987,Primary,1.95,2192
TP_987,Primary,2.08,1698
TP_987,Primary,2.2,1343
TP_987,Primary,2.3,1051
TP_987,Primary,2.4,755
TP_987,Primary,2.48,662
TP_987,Primary,2.56,546
TP_987,Primary,2.64,467
TP_987,Primary,2.71,446
TP_987,Primary,2.77,349
TP_987,Primary,2.83,333
TP_987,Primary,2.89,281
TP_987,Primary,2.94,256
TP_987,Primary,3,258
TP_987,Primary,3.04,226
TP_987,Primary,3.09,177
TP_987,Primary,3.14,172
TP_987,Primary,3.18,143
TP_987,Primary,3.22,141
TP_987,Primary,3.26,116
TP_987,Primary,3.3,101
TP_987,Primary,3.33,97
TP_987,Primary,3.37,75
TP_987,Primary,3.4,80
TP_987,Primary,3.43,71
TP_987,Primary,3.47,61
TP_987,Primary,3.5,54
TP_987,Primary,3.53,45
TP_987,Primary,3.56,46
TP_987,Primary,3.58,39
TP_987,Primary,3.61,46
TP_987,Primary,3.64,29
TP_987,Primary,3.66,28
TP_987,Primary,3.69,29
TP_987,Primary,3.71,22
TP_987,Primary,3.74,19
TP_987,Primary,3.76,15
TP_987,Primary,3.78,26
TP_987,Primary,3.81,21
TP_987,Primary,3.83,14
TP_987,Primary,3.85,10
TP_987,Primary,3.87,7
TP_987,Primary,3.89,7
TP_987,Primary,3.91,7
TP_987,Primary,3.93,6
TP_987,Primary,3.95,4
TP_987,Primary,3.97,9
TP_987,Primary,3.99,3
TP_987,Primary,4.01,3
TP_987,Primary,4.03,2
TP_987,Primary,4.04,4
TP_987,Primary,4.06,2
TP_987,Primary,4.09,1
TP_987,Primary,4.13,2
TP_987,Primary,4.14,3
TP_987,Primary,4.2,1
TP_987,Primary,4.22,1
TP_987,Primary,4.25,1
TP_987,Primary,4.28,2
TP_987,Primary,4.3,1
TP_987,Primary,4.34,1
TP_987,Primary,4.38,1
TP_987,Primary,4.41,1
TP_987,Primary,4.49,1
TP_987,Primary,4.9,1
TR_03d_990,PostRT,0,112513
TR_03d_990,PostRT,0.69,5153
TR_03d_990,PostRT,1.1,1653
TR_03d_990,PostRT,1.39,649
TR_03d_990,PostRT,1.61,326
TR_03d_990,PostRT,1.79,152
TR_03d_990,PostRT,1.95,115
TR_03d_990,PostRT,2.08,53
TR_03d_990,PostRT,2.2,43
TR_03d_990,PostRT,2.3,33
TR_03d_990,PostRT,2.4,19
TR_03d_990,PostRT,2.48,15
TR_03d_990,PostRT,2.56,10
TR_03d_990,PostRT,2.64,8
TR_03d_990,PostRT,2.71,4
TR_03d_990,PostRT,2.77,5
TR_03d_990,PostRT,2.83,3
TR_03d_990,PostRT,2.89,6
TR_03d_990,PostRT,2.94,3
TR_03d_990,PostRT,3,2
TR_03d_990,PostRT,3.04,2
TR_03d_990,PostRT,3.09,1
TR_03d_990,PostRT,3.3,1
TR_03d_990,PostRT,3.33,1
TR_03d_990,PostRT,3.4,1
TR_03d_990,PostRT,3.56,1
TR_03d_990,PostRT,3.69,1
TR_03d_990,PostRT,3.78,1
