Feature,Astrocyte,Choroid,Dendritic,Endothelial,Ependymal,Fibroblast,Macrophage,Microglia,Mural,NKTB,Neural,Neutrophil,OPC/COP/OLG
Abcb1a,-0.184981411285311,-0.188663643742627,-0.136440844820872,2.37564505857625,-0.195920462092665,0.397843368541128,-0.147512183237891,-0.193826481765448,1.13814118982918,0.252903141139676,-0.169586543942591,-0.201605339357372,-0.195421446599767
Abcc9,-0.114263041004384,-0.119194384701951,-0.114661891816376,0.190717332064231,-0.12618811721633,0.352457945959893,-0.0695950849822032,-0.0972603019355526,2.18008789078124,-0.114892684454109,-0.111981001338948,-0.12618811721633,-0.105694804713886
Abi3,-0.472527795158717,-0.480706776257311,0.73936472647369,-0.325516609521271,-0.485080229107457,-0.434436682873174,1.03710890452886,1.84304984573995,-0.390594228240557,0.119062216691281,-0.468585138767653,-0.0320615220460665,-0.475950592644249
Ablim1,0.14904771007487,0.121252149278561,0.0359882429977278,2.36230573625176,1.50631433280064,0.0342154677633474,-0.289269700777347,-0.24875433779272,1.38231565266356,1.71717350006863,-0.00317768399807887,-0.302128081855713,-0.257202439996902
Ace,-0.141214374982779,2.09249502349065,-0.153515388192853,0.285884700054743,0.0903323428451952,0.155029337292513,-0.0557973499783894,-0.15887443889103,0.0755761892838317,-0.159755785849663,-0.0738543411918378,-0.0808760848421824,-0.102923442387936
Acod1,-0.0869670261051537,-0.0874733809742168,-0.0623115652759262,-0.0874733809742168,-0.0874733809742168,-0.0669378779506119,0.0599759265328474,-0.0124428604870196,-0.0874733809742168,-0.0763444632065858,-0.0820902879486116,1.48197768617408,-0.0869462933024062
Acp5,-0.242225068419432,-0.126339908056592,0.89631754311829,-0.0953001317204791,-0.269104573035101,-0.0734817093344323,1.57361613771205,-0.087488356695723,-0.19148761384613,0.804365571520697,-0.261204008296911,0.174681274934727,-0.265210028773146
Acsl6,1.81781644808849,-0.152684005927771,-0.541855686491264,-0.394260102441682,0.16448634125673,-0.451573274783419,-0.533389664499858,-0.53504147269946,-0.449430831649044,-0.529282810775441,0.0212773371499305,-0.550348821798516,-0.317137724669703
Adam8,-0.152569311209743,-0.16970730588131,0.602868904640776,-0.158716710717081,-0.172442661727497,-0.137092891069725,0.266651186077322,-0.0757140079651505,-0.159915586750651,0.158020678163536,-0.0334459906945115,1.36092607860795,-0.151755592844687
Adgre5,-0.0284770138749766,-0.369806816759905,1.12749548580255,1.8183789509536,0.505357591298091,0.781583850234692,0.369353849533027,-0.352293050020131,1.66556824520148,1.47702244736817,-0.349658008645395,1.96783245699906,-0.353418989125699
Adgrf5,-0.18196748400646,-0.179714001949837,-0.193042589028161,2.46957660786312,-0.168495116673374,0.152401358756214,-0.195124496524657,-0.189739838637675,1.49635100663281,-0.202652339275983,-0.180298559747712,-0.169606580858201,-0.187531984690619
Adgrl4,-0.180387959760406,-0.197062982524265,-0.170317935883108,2.45936682632383,-0.189382164578923,-0.108598889523487,-0.189569383739529,-0.199201670861973,1.16816962792874,-0.162212798676851,-0.180069858483453,-0.212292074821495,-0.194988500131275
Ahnak,-0.107486670300084,-0.195668976492402,0.477877291538755,2.12956375206286,1.21989087709186,1.91199878037444,0.148058269813767,-0.289950141455356,1.64527690228747,1.79899478822046,-0.210077948164184,-0.200656701479617,-0.289860090898349
Aif1,-0.496860897803651,-0.514881213931913,0.81792234574362,-0.501862254404494,-0.521013003301549,-0.492478590034045,1.85086889689125,1.73294740094694,-0.5021705904644,-0.420104112421872,-0.481537573294535,-0.373292428776873,-0.506545026298156
Ak7,-0.0696467267806883,0.149977709574461,-0.0797435705008431,-0.0744436350709482,2.38734744233621,-0.0797435705008418,-0.0782510951924867,-0.0773217813974111,-0.0757127211719356,-0.0741957348653577,-0.0493305048291956,-0.0797435705008418,-0.073962926932808
Aldoc,2.13046361945163,-0.383093615179868,-0.378587446462605,-0.557314834928783,0.0433258511780682,-0.53205900123047,-0.490997122618961,-0.565168086860341,-0.504602276814373,-0.53231236199804,-0.459068063279997,-0.55716018962657,-0.105880112906994
Alox5ap,-0.45432924265867,-0.455193085074213,1.64450732913033,-0.442811698642224,-0.436517618794342,-0.428379320931473,1.29011565971414,1.58652360264716,-0.451903223240369,-0.364884014362375,-0.452078710699783,1.67738242461071,-0.453829015272129
