sample_type,rcas_call,SNN_clusters_all,L1,Freq
Healthy,rcas_neg,02,L1_Non-Neoplastic,6276
Healthy,rcas_neg,04,L1_Non-Neoplastic,297
Healthy,rcas_neg,07,L1_Non-Neoplastic,2787
Healthy,rcas_neg,08,L1_Non-Neoplastic,52
Healthy,rcas_neg,09,L1_Non-Neoplastic,2301
Healthy,rcas_neg,13,L1_Non-Neoplastic,1922
Healthy,rcas_neg,14,L1_Non-Neoplastic,1516
Healthy,rcas_neg,17,L1_Non-Neoplastic,962
Healthy,rcas_neg,18,L1_Non-Neoplastic,959
Healthy,rcas_neg,19,L1_Non-Neoplastic,81
Healthy,rcas_neg,20,L1_Non-Neoplastic,52
Healthy,rcas_neg,22,L1_Non-Neoplastic,186
Healthy,rcas_neg,23,L1_Non-Neoplastic,318
Healthy,rcas_neg,24,L1_Non-Neoplastic,316
Healthy,rcas_neg,25,L1_Non-Neoplastic,212
Healthy,rcas_neg,26,L1_Non-Neoplastic,18
Healthy,rcas_neg,06,L1_Non-Neoplastic,775
Healthy,rcas_neg,15,L1_Non-Neoplastic,166
Healthy,rcas_neg,16,L1_Non-Neoplastic,11
Healthy,rcas_neg,21,L1_Non-Neoplastic,189
Healthy,rcas_neg,03,L1_Ambiguous,13
Healthy,rcas_neg,05,L1_Ambiguous,35
Healthy,rcas_neg,11,L1_Ambiguous,1
Healthy,rcas_neg,12,L1_Ambiguous,20
Healthy,rcas_low,04,L1_Ambiguous,1
Healthy,rcas_low,07,L1_Ambiguous,2
Healthy,rcas_low,09,L1_Ambiguous,1
Healthy,rcas_low,14,L1_Ambiguous,19
Healthy,rcas_low,18,L1_Ambiguous,1
Healthy,rcas_low,22,L1_Ambiguous,1
Healthy,rcas_low,25,L1_Ambiguous,1
Healthy,rcas_low,06,L1_Ambiguous,1
Healthy,rcas_low,21,L1_Ambiguous,2
Primary,rcas_neg,02,L1_Non-Neoplastic,73
Primary,rcas_neg,04,L1_Non-Neoplastic,2174
Primary,rcas_neg,07,L1_Non-Neoplastic,117
Primary,rcas_neg,08,L1_Non-Neoplastic,420
Primary,rcas_neg,09,L1_Non-Neoplastic,276
Primary,rcas_neg,13,L1_Non-Neoplastic,215
Primary,rcas_neg,14,L1_Non-Neoplastic,9
Primary,rcas_neg,17,L1_Non-Neoplastic,16
Primary,rcas_neg,18,L1_Non-Neoplastic,11
Primary,rcas_neg,19,L1_Non-Neoplastic,325
Primary,rcas_neg,20,L1_Non-Neoplastic,179
Primary,rcas_neg,22,L1_Non-Neoplastic,109
Primary,rcas_neg,23,L1_Non-Neoplastic,36
Primary,rcas_neg,24,L1_Non-Neoplastic,10
Primary,rcas_neg,25,L1_Non-Neoplastic,12
Primary,rcas_neg,26,L1_Non-Neoplastic,39
Primary,rcas_neg,06,L1_Non-Neoplastic,931
Primary,rcas_neg,15,L1_Non-Neoplastic,111
Primary,rcas_neg,16,L1_Non-Neoplastic,309
Primary,rcas_neg,21,L1_Non-Neoplastic,172
Primary,rcas_neg,01,L1_Neoplastic,939
Primary,rcas_neg,03,L1_Neoplastic,179
Primary,rcas_neg,05,L1_Neoplastic,147
Primary,rcas_neg,11,L1_Neoplastic,78
Primary,rcas_neg,12,L1_Neoplastic,207
Primary,rcas_low,02,L1_Ambiguous,1
Primary,rcas_low,04,L1_Ambiguous,137
Primary,rcas_low,07,L1_Ambiguous,13
Primary,rcas_low,09,L1_Ambiguous,18
Primary,rcas_low,13,L1_Ambiguous,3
Primary,rcas_low,17,L1_Ambiguous,2
Primary,rcas_low,18,L1_Ambiguous,1
Primary,rcas_low,19,L1_Ambiguous,2
Primary,rcas_low,20,L1_Ambiguous,3
Primary,rcas_low,22,L1_Ambiguous,13
Primary,rcas_low,26,L1_Ambiguous,5
Primary,rcas_low,06,L1_Neoplastic,794
Primary,rcas_low,15,L1_Neoplastic,177
Primary,rcas_low,16,L1_Neoplastic,40
Primary,rcas_low,21,L1_Neoplastic,38
Primary,rcas_low,01,L1_Neoplastic,1642
Primary,rcas_low,03,L1_Neoplastic,373
Primary,rcas_low,05,L1_Neoplastic,267
Primary,rcas_low,10,L1_Neoplastic,5
Primary,rcas_low,11,L1_Neoplastic,260
Primary,rcas_low,12,L1_Neoplastic,372
Primary,rcas_high,02,L1_Ambiguous,1
Primary,rcas_high,04,L1_Ambiguous,78
Primary,rcas_high,07,L1_Ambiguous,1
Primary,rcas_high,08,L1_Ambiguous,9
Primary,rcas_high,09,L1_Ambiguous,19
Primary,rcas_high,13,L1_Ambiguous,3
Primary,rcas_high,19,L1_Ambiguous,1
Primary,rcas_high,22,L1_Ambiguous,1
Primary,rcas_high,23,L1_Ambiguous,1
Primary,rcas_high,06,L1_Neoplastic,393
Primary,rcas_high,15,L1_Neoplastic,83
Primary,rcas_high,16,L1_Neoplastic,32
Primary,rcas_high,21,L1_Neoplastic,30
Primary,rcas_high,01,L1_Neoplastic,5949
Primary,rcas_high,03,L1_Neoplastic,1804
Primary,rcas_high,05,L1_Neoplastic,1237
Primary,rcas_high,10,L1_Neoplastic,12
Primary,rcas_high,11,L1_Neoplastic,987
Primary,rcas_high,12,L1_Neoplastic,754
Recurrent,rcas_neg,02,L1_Non-Neoplastic,60
Recurrent,rcas_neg,04,L1_Non-Neoplastic,970
Recurrent,rcas_neg,07,L1_Non-Neoplastic,87
Recurrent,rcas_neg,08,L1_Non-Neoplastic,2356
Recurrent,rcas_neg,09,L1_Non-Neoplastic,217
Recurrent,rcas_neg,13,L1_Non-Neoplastic,115
Recurrent,rcas_neg,14,L1_Non-Neoplastic,20
Recurrent,rcas_neg,17,L1_Non-Neoplastic,3
Recurrent,rcas_neg,19,L1_Non-Neoplastic,462
Recurrent,rcas_neg,20,L1_Non-Neoplastic,443
Recurrent,rcas_neg,22,L1_Non-Neoplastic,93
Recurrent,rcas_neg,23,L1_Non-Neoplastic,24
Recurrent,rcas_neg,24,L1_Non-Neoplastic,1
Recurrent,rcas_neg,25,L1_Non-Neoplastic,4
Recurrent,rcas_neg,26,L1_Non-Neoplastic,64
Recurrent,rcas_neg,06,L1_Non-Neoplastic,35
Recurrent,rcas_neg,15,L1_Non-Neoplastic,93
Recurrent,rcas_neg,16,L1_Non-Neoplastic,286
Recurrent,rcas_neg,21,L1_Non-Neoplastic,72
Recurrent,rcas_neg,01,L1_Neoplastic,23
Recurrent,rcas_neg,03,L1_Neoplastic,19
Recurrent,rcas_neg,05,L1_Neoplastic,12
Recurrent,rcas_neg,10,L1_Neoplastic,1
Recurrent,rcas_neg,11,L1_Neoplastic,7
Recurrent,rcas_neg,12,L1_Neoplastic,67
Recurrent,rcas_low,02,L1_Ambiguous,1
Recurrent,rcas_low,04,L1_Ambiguous,75
Recurrent,rcas_low,07,L1_Ambiguous,6
Recurrent,rcas_low,08,L1_Ambiguous,37
Recurrent,rcas_low,09,L1_Ambiguous,38
Recurrent,rcas_low,13,L1_Ambiguous,10
Recurrent,rcas_low,14,L1_Ambiguous,2
Recurrent,rcas_low,17,L1_Ambiguous,1
Recurrent,rcas_low,19,L1_Ambiguous,22
Recurrent,rcas_low,20,L1_Ambiguous,9
Recurrent,rcas_low,22,L1_Ambiguous,13
Recurrent,rcas_low,23,L1_Ambiguous,1
Recurrent,rcas_low,24,L1_Ambiguous,1
Recurrent,rcas_low,26,L1_Ambiguous,13
Recurrent,rcas_low,06,L1_Neoplastic,187
Recurrent,rcas_low,15,L1_Neoplastic,276
Recurrent,rcas_low,16,L1_Neoplastic,132
Recurrent,rcas_low,21,L1_Neoplastic,13
Recurrent,rcas_low,01,L1_Neoplastic,259
Recurrent,rcas_low,03,L1_Neoplastic,263
Recurrent,rcas_low,05,L1_Neoplastic,153
Recurrent,rcas_low,10,L1_Neoplastic,78
Recurrent,rcas_low,11,L1_Neoplastic,105
Recurrent,rcas_low,12,L1_Neoplastic,421
Recurrent,rcas_high,04,L1_Ambiguous,30
Recurrent,rcas_high,07,L1_Ambiguous,2
Recurrent,rcas_high,08,L1_Ambiguous,24
Recurrent,rcas_high,09,L1_Ambiguous,11
Recurrent,rcas_high,13,L1_Ambiguous,8
Recurrent,rcas_high,17,L1_Ambiguous,1
Recurrent,rcas_high,19,L1_Ambiguous,4
Recurrent,rcas_high,20,L1_Ambiguous,3
Recurrent,rcas_high,22,L1_Ambiguous,7
Recurrent,rcas_high,23,L1_Ambiguous,1
Recurrent,rcas_high,26,L1_Ambiguous,2
Recurrent,rcas_high,06,L1_Neoplastic,225
Recurrent,rcas_high,15,L1_Neoplastic,230
Recurrent,rcas_high,16,L1_Neoplastic,239
Recurrent,rcas_high,21,L1_Neoplastic,9
Recurrent,rcas_high,01,L1_Neoplastic,4986
Recurrent,rcas_high,03,L1_Neoplastic,3009
Recurrent,rcas_high,05,L1_Neoplastic,1836
Recurrent,rcas_high,10,L1_Neoplastic,2604
Recurrent,rcas_high,11,L1_Neoplastic,1255
Recurrent,rcas_high,12,L1_Neoplastic,519
