group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
Astrocyte,Healthy,0.8434442270058709,5110,0.8434442270058709,19396,0.22221076510620746,0.3682736137592504,0.603384974660368,1
Astrocyte,Primary,0.0821917808219178,5110,0.0821917808219178,5544,0.07575757575757576,0.3682736137592504,0.20571002897617413,1
Astrocyte,Recurrent,0.07436399217221135,5110,0.07436399217221135,5405,0.07030527289546716,0.3682736137592504,0.1909049963634578,1
OPC/COP/OLG,Healthy,0.6614381747810144,4909,0.6614381747810144,19396,0.1674056506496185,0.46878491174210807,0.35710545808204913,2
OPC/COP/OLG,Primary,0.2684864534528417,4909,0.2684864534528417,5544,0.23773448773448774,0.46878491174210807,0.5071291370087275,2
OPC/COP/OLG,Recurrent,0.07007537176614381,4909,0.07007537176614381,5405,0.06364477335800185,0.46878491174210807,0.1357654049092234,2
Neural,Healthy,0.8009708737864077,1442,0.8009708737864077,19396,0.05954836048669829,0.11171032638594448,0.5330604825284149,3
Neural,Primary,0.14008321775312066,1442,0.14008321775312066,5544,0.03643578643578643,0.11171032638594448,0.32616310071376553,3
Neural,Recurrent,0.05894590846047157,1442,0.05894590846047157,5405,0.01572617946345976,0.11171032638594448,0.1407764167578195,3
Ependymal,Healthy,0.925764192139738,229,0.925764192139738,19396,0.010930088678077954,0.014015021527118112,0.7798838308545568,4
Ependymal,Primary,0.056768558951965066,229,0.056768558951965066,5544,0.002344877344877345,0.014015021527118112,0.16731171909655415,4
Ependymal,Recurrent,0.017467248908296942,229,0.017467248908296942,5405,7.400555041628122e-4,0.014015021527118112,0.052804450048888986,4
Microglia,Healthy,0.6844685511630333,9587,0.6844685511630333,19396,0.33831717879975254,0.8885258533608785,0.38076233518704783,5
Microglia,Primary,0.2126838427036612,9587,0.2126838427036612,5544,0.36778499278499277,0.8885258533608785,0.4139271709358077,5
Microglia,Recurrent,0.10284760613330551,9587,0.10284760613330551,5405,0.18242368177613322,0.8885258533608785,0.20531049387714448,5
Macrophage,Healthy,0.10818628868961527,3457,0.10818628868961527,19396,0.019282326252835637,0.5865953734687506,0.03287159620576662,6
Macrophage,Primary,0.1923633207983801,3457,0.1923633207983801,5544,0.11994949494949494,0.5865953734687506,0.20448421582357565,6
Macrophage,Recurrent,0.6994503905120046,3457,0.6994503905120046,5405,0.44736355226642,0.5865953734687506,0.7626441879706578,6
Dendritic,Healthy,0.03565640194489465,617,0.03565640194489465,19396,0.0011342544854609198,0.11045212594486799,0.010269195597258864,7
Dendritic,Primary,0.26742301458670986,617,0.26742301458670986,5544,0.02976190476190476,0.11045212594486799,0.2694552459475553,7
Dendritic,Recurrent,0.6969205834683955,617,0.6969205834683955,5405,0.07955596669750231,0.11045212594486799,0.7202755584551859,7
Neutrophil,Healthy,0.14754098360655737,122,0.14754098360655737,19396,9.28026397195298e-4,0.01999319907013855,0.04641710383314194,8
Neutrophil,Primary,0.3114754098360656,122,0.3114754098360656,5544,0.006854256854256854,0.01999319907013855,0.3428294206550585,8
Neutrophil,Recurrent,0.5409836065573771,122,0.5409836065573771,5405,0.012210915818686401,0.01999319907013855,0.6107534755117996,8
NKTB,Healthy,0.12580645161290321,930,0.12580645161290321,19396,0.006032171581769437,0.15489448975491094,0.03894374545740215,9
NKTB,Primary,0.3602150537634409,930,0.3602150537634409,5544,0.060425685425685424,0.15489448975491094,0.3901086831513296,9
NKTB,Recurrent,0.513978494623656,930,0.513978494623656,5405,0.08843663274745606,0.15489448975491094,0.5709475713912681,9
Choroid,Healthy,0.9815762538382804,977,0.9815762538382804,19396,0.04944318416168282,0.052703853495432634,0.9381322404815734,10
Choroid,Primary,0.015353121801432957,977,0.015353121801432957,5544,0.0027056277056277055,0.052703853495432634,0.05133643037813502,10
Choroid,Recurrent,0.0030706243602865915,977,0.0030706243602865915,5405,5.550416281221092e-4,0.052703853495432634,0.010531329140291604,10
Endothelial,Healthy,0.847457627118644,1947,0.847457627118644,19396,0.08506908640956898,0.13910902324321534,0.6115281699651931,11
Endothelial,Primary,0.10066769388803287,1947,0.10066769388803287,5544,0.03535353535353535,0.13910902324321534,0.2541426467478243,11
Endothelial,Recurrent,0.05187467899332306,1947,0.05187467899332306,5405,0.01868640148011101,0.13910902324321534,0.1343291832869827,11
Mural,Healthy,0.9109375,640,0.9109375,19396,0.030057743864714374,0.04042726436374459,0.7435018010189761,12
Mural,Primary,0.059375,640,0.059375,5544,0.006854256854256854,0.04042726436374459,0.16954540363121362,12
Mural,Recurrent,0.0296875,640,0.0296875,5405,0.003515263644773358,0.04042726436374459,0.08695279534981021,12
Fibroblast,Healthy,0.4947089947089947,378,0.4947089947089947,19396,0.009641163126417818,0.04451494388363983,0.21658261889803587,13
Fibroblast,Primary,0.26455026455026454,378,0.26455026455026454,5544,0.018037518037518036,0.04451494388363983,0.4052014102200677,13
Fibroblast,Recurrent,0.24074074074074073,378,0.24074074074074073,5405,0.016836262719703978,0.04451494388363983,0.3782159708818965,13
