sample,condition,n,label,frac
TP_01b,Primary,3677,Neopl-ACR,0.004895295077508839
TP_01b,Primary,3677,Astrocyte R,0.006799020940984498
TP_04,Primary,4540,Neopl-ACR,0.0011013215859030838
TP_04,Primary,4540,Astrocyte R,0.031938325991189426
TP_05,Primary,5548,Neopl-ACR,0.0021629416005767843
TP_05,Primary,5548,Astrocyte R,0.014419610670511895
TP_06,Primary,4213,Neopl-ACR,0.0035604082601471635
TP_06,Primary,4213,Astrocyte R,0.007120816520294327
TP_08,Primary,4677,Neopl-ACR,4.2762454564892024e-4
TP_08,Primary,4677,Astrocyte R,0.013470173187940988
TR_01,Recurrent,4642,Neopl-ACR,0.01981904351572598
TR_01,Recurrent,4642,Astrocyte R,0.0071090047393364926
TR_02,Recurrent,5420,Neopl-ACR,0.03099630996309963
TR_02,Recurrent,5420,Astrocyte R,0.003874538745387454
TR_03,Recurrent,4800,Neopl-ACR,0.00625
TR_03,Recurrent,4800,Astrocyte R,0.00625
TR_04,Recurrent,5619,Neopl-ACR,0.023135789286349885
TR_04,Recurrent,5619,Astrocyte R,0.010856024203594945
TR_06,Recurrent,4840,Neopl-ACR,0.007644628099173554
TR_06,Recurrent,4840,Astrocyte R,0.042355371900826444
TR_07,Recurrent,4675,Neopl-ACR,0.0053475935828877
TR_07,Recurrent,4675,Astrocyte R,0.013903743315508022
