sample_id,condition,Level_1,n,pct
BRAIN_01,Healthy,Non-Neoplastic,5561,100
BRAIN_04a,Healthy,Non-Neoplastic,3664,100
BRAIN_04b,Healthy,Non-Neoplastic,3326,100
BRAIN_05,Healthy,Non-Neoplastic,3191,100
BRAIN_06,Healthy,Non-Neoplastic,3654,100
TP_01b,Primary,Non-Neoplastic,837,22.837653478854026
TP_01b,Primary,Neoplastic,2828,77.16234652114598
TP_04,Primary,Non-Neoplastic,1383,31.32502831257078
TP_04,Primary,Neoplastic,3032,68.67497168742922
TP_05,Primary,Non-Neoplastic,1239,22.717271727172715
TP_05,Primary,Neoplastic,4215,77.28272827282728
TP_06,Primary,Non-Neoplastic,524,12.632594021215043
TP_06,Primary,Neoplastic,3624,87.36740597878494
TP_08,Primary,Non-Neoplastic,1561,33.49066723878996
TP_08,Primary,Neoplastic,3100,66.50933276121003
TR_01,Recurrent,Non-Neoplastic,1394,37.64515257899001
TR_01,Recurrent,Neoplastic,2309,62.35484742100999
TR_02,Recurrent,Non-Neoplastic,481,12.898900509519978
TR_02,Recurrent,Neoplastic,3248,87.10109949048001
TR_03,Recurrent,Non-Neoplastic,739,20.02710027100271
TR_03,Recurrent,Neoplastic,2951,79.97289972899729
TR_04,Recurrent,Non-Neoplastic,797,21.378755364806867
TR_04,Recurrent,Neoplastic,2931,78.62124463519314
TR_06,Recurrent,Non-Neoplastic,1389,37.51012692411558
TR_06,Recurrent,Neoplastic,2314,62.48987307588442
TR_07,Recurrent,Non-Neoplastic,605,16.005291005291006
TR_07,Recurrent,Neoplastic,3175,83.994708994709
BRAIN_01,Healthy,Neoplastic,0,0
BRAIN_04a,Healthy,Neoplastic,0,0
BRAIN_04b,Healthy,Neoplastic,0,0
BRAIN_05,Healthy,Neoplastic,0,0
BRAIN_06,Healthy,Neoplastic,0,0
