sample_id,condition,Level_4,n,pct
TP_01b,Primary,Neopl-ACR,17,0.6011315417256011
TP_04,Primary,Neopl-ACR,19,0.6266490765171504
TP_05,Primary,Neopl-ACR,17,0.4033214709371293
TP_06,Primary,Neopl-ACR,16,0.44150110375275936
TP_08,Primary,Neopl-ACR,3,0.0967741935483871
TR_01,Recurrent,Neopl-ACR,77,3.3347769597228236
TR_02,Recurrent,Neopl-ACR,112,3.4482758620689653
TR_03,Recurrent,Neopl-ACR,24,0.8132836326668925
TR_04,Recurrent,Neopl-ACR,91,3.10474240873422
TR_06,Recurrent,Neopl-ACR,43,1.8582541054451167
TR_07,Recurrent,Neopl-ACR,24,0.7559055118110236
