sample_id,condition,Level_3AC,n,pct
BRAIN_01,Healthy,Astrocyte TE,968,68.79886282871357
BRAIN_01,Healthy,Astrocyte NT,420,29.850746268656714
BRAIN_01,Healthy,Astrocyte R,19,1.3503909026297085
BRAIN_04a,Healthy,Astrocyte TE,518,61.813842482100235
BRAIN_04a,Healthy,Astrocyte NT,311,37.11217183770883
BRAIN_04a,Healthy,Astrocyte R,9,1.0739856801909307
BRAIN_04b,Healthy,Astrocyte TE,485,59.72906403940886
BRAIN_04b,Healthy,Astrocyte NT,316,38.91625615763547
BRAIN_04b,Healthy,Astrocyte R,11,1.354679802955665
BRAIN_05,Healthy,Astrocyte TE,391,64.8424543946932
BRAIN_05,Healthy,Astrocyte NT,203,33.66500829187397
BRAIN_05,Healthy,Astrocyte R,9,1.4925373134328357
BRAIN_06,Healthy,Astrocyte TE,352,54.15384615384615
BRAIN_06,Healthy,Astrocyte NT,283,43.53846153846154
BRAIN_06,Healthy,Astrocyte R,15,2.307692307692308
TP_01b,Primary,Astrocyte TE,25,41.66666666666667
TP_01b,Primary,Astrocyte NT,3,5
TP_01b,Primary,Astrocyte R,32,53.333333333333336
TP_04,Primary,Astrocyte TE,26,16.049382716049383
TP_04,Primary,Astrocyte NT,2,1.2345679012345678
TP_04,Primary,Astrocyte R,134,82.71604938271605
TP_05,Primary,Astrocyte TE,1,1.2195121951219512
TP_05,Primary,Astrocyte R,81,98.78048780487805
TP_06,Primary,Astrocyte R,29,100
TP_08,Primary,Astrocyte TE,17,19.54022988505747
TP_08,Primary,Astrocyte NT,6,6.896551724137931
TP_08,Primary,Astrocyte R,64,73.5632183908046
TR_01,Recurrent,Astrocyte TE,7,20.588235294117645
TR_01,Recurrent,Astrocyte R,27,79.41176470588235
TR_02,Recurrent,Astrocyte TE,3,16.666666666666664
TR_02,Recurrent,Astrocyte R,15,83.33333333333334
TR_03,Recurrent,Astrocyte R,21,100
TR_04,Recurrent,Astrocyte TE,5,10.869565217391305
TR_04,Recurrent,Astrocyte R,41,89.13043478260869
TR_06,Recurrent,Astrocyte TE,24,12.060301507537687
TR_06,Recurrent,Astrocyte NT,21,10.552763819095476
TR_06,Recurrent,Astrocyte R,154,77.38693467336684
TR_07,Recurrent,Astrocyte TE,10,16.129032258064516
TR_07,Recurrent,Astrocyte R,52,83.87096774193549
TP_05,Primary,Astrocyte NT,0,0
TP_06,Primary,Astrocyte NT,0,0
TP_06,Primary,Astrocyte TE,0,0
TR_01,Recurrent,Astrocyte NT,0,0
TR_02,Recurrent,Astrocyte NT,0,0
TR_03,Recurrent,Astrocyte NT,0,0
TR_03,Recurrent,Astrocyte TE,0,0
TR_04,Recurrent,Astrocyte NT,0,0
TR_07,Recurrent,Astrocyte NT,0,0
