group1,group2,n1,n2,statistic,p,Level_3,p.adj,p.adj.signif
Healthy,Primary,5,5,25,0.012185780355344811,Astrocyte,0.024371560710689622,*
Primary,Recurrent,5,6,20,0.41131379177625904,Astrocyte,0.4798660904056356,ns
Healthy,Recurrent,5,6,30,0.008113117265565776,Astrocyte,0.024371560710689622,*
Healthy,Primary,5,5,22,0.06010280593886633,OPC/COP/OLG,0.09708914805509176,.
Primary,Recurrent,5,6,26,0.05523425371806385,OPC/COP/OLG,0.09279354624634727,.
Healthy,Recurrent,5,6,30,0.008113117265565776,OPC/COP/OLG,0.024371560710689622,*
Healthy,Primary,5,5,25,0.012185780355344811,Neural,0.024371560710689622,*
Primary,Recurrent,5,6,22,0.23533326650958575,Neural,0.2907057998059589,ns
Healthy,Recurrent,5,6,30,0.008113117265565776,Neural,0.024371560710689622,*
Healthy,Primary,5,5,25,0.012185780355344811,Ependymal,0.024371560710689622,*
Primary,Recurrent,5,6,26,0.04436804899211845,Ependymal,0.07764408573620729,.
Healthy,Recurrent,5,6,30,0.005494110875631204,Ependymal,0.024371560710689622,*
Healthy,Primary,5,5,25,0.012185780355344811,Microglia,0.024371560710689622,*
Primary,Recurrent,5,6,24,0.12069080052744555,Microglia,0.1635165684565391,ns
Healthy,Recurrent,5,6,30,0.008113117265565776,Microglia,0.024371560710689622,*
Healthy,Primary,5,5,4,0.09469294259947592,Macrophage,0.14203941389921387,ns
Primary,Recurrent,5,6,0,0.008113117265565776,Macrophage,0.024371560710689622,*
Healthy,Recurrent,5,6,0,0.008113117265565776,Macrophage,0.024371560710689622,*
Healthy,Primary,5,5,0,0.012185780355344811,Dendritic,0.024371560710689622,*
Primary,Recurrent,5,6,6,0.12069080052744555,Dendritic,0.1635165684565391,ns
Healthy,Recurrent,5,6,0,0.008113117265565776,Dendritic,0.024371560710689622,*
Healthy,Primary,5,5,8,0.4033953048926283,Neutrophil,0.4798660904056356,ns
Primary,Recurrent,5,6,7,0.17090352023079744,Neutrophil,0.2175135712028331,ns
Healthy,Recurrent,5,6,2,0.02247887336612528,Neutrophil,0.04104837745118529,*
Healthy,Primary,5,5,9,0.5308693039685082,NKTB,0.5867502833336143,ns
Primary,Recurrent,5,6,11,0.5228166539190887,NKTB,0.5867502833336143,ns
Healthy,Recurrent,5,6,6,0.12069080052744555,NKTB,0.1635165684565391,ns
Healthy,Primary,5,5,25,0.0097007850682296,Choroid,0.024371560710689622,*
Primary,Recurrent,5,6,16,0.8922951180849767,Choroid,0.9272644735252321,ns
Healthy,Recurrent,5,6,30,0.005494110875631204,Choroid,0.024371560710689622,*
Healthy,Primary,5,5,25,0.012185780355344811,Endothelial,0.024371560710689622,*
Primary,Recurrent,5,6,23,0.17090352023079744,Endothelial,0.2175135712028331,ns
Healthy,Recurrent,5,6,30,0.008113117265565776,Endothelial,0.024371560710689622,*
Healthy,Primary,5,5,25,0.012185780355344811,Mural,0.024371560710689622,*
Primary,Recurrent,5,6,16,0.9272644735252321,Mural,0.9272644735252321,ns
Healthy,Recurrent,5,6,30,0.008113117265565776,Mural,0.024371560710689622,*
Healthy,Primary,5,5,24,0.021571747947720932,Fibroblast,0.04104837745118529,*
Primary,Recurrent,5,6,18,0.6480768681391461,Fibroblast,0.6979289349190804,ns
Healthy,Recurrent,5,6,25,0.08283742515880632,Fibroblast,0.12885821691369873,ns
Healthy,Primary,5,5,0,0.007494957516935249,Neoplastic,0.024371560710689622,*
Primary,Recurrent,5,6,14,0.9272644735252321,Neoplastic,0.9272644735252321,ns
Healthy,Recurrent,5,6,0,0.005494110875631204,Neoplastic,0.024371560710689622,*
