group1,group2,n1,n2,statistic,p,Level_4,p.adj,p.adj.signif
Primary,Recurrent,5,6,27,0.035763766590977894,Neopl-Bulk,0.11921255530325965,ns
Primary,Recurrent,5,6,13,0.7841912294016191,Neopl-CC-I,0.7841912294016191,ns
Primary,Recurrent,5,6,7,0.17090352023079744,Neopl-CC-II,0.24414788604399634,ns
Primary,Recurrent,5,6,4,0.05523425371806385,Neopl-CC-III,0.13808563429515963,ns
Primary,Recurrent,5,6,23,0.17090352023079744,Neopl-OPC,0.24414788604399634,ns
Primary,Recurrent,5,6,5,0.08283742515880632,Neopl-COP,0.16567485031761264,ns
Primary,Recurrent,5,6,20,0.41024789769198455,Neopl-NC,0.4558309974355384,ns
Primary,Recurrent,5,6,0,0.008113117265565776,Neopl-ACR,0.040565586327828876,*
Primary,Recurrent,5,6,0,0.008113117265565776,Neopl-ECM,0.040565586327828876,*
Primary,Recurrent,5,6,21,0.3153024520817455,Neopl-RNA-low,0.3941280651021819,ns
