new,published,Freq,frac
0,Ambiguous,2,0.00273224043715847
1,Ambiguous,3,0.004098360655737705
10,Ambiguous,24,0.03278688524590164
11,Ambiguous,9,0.012295081967213115
12,Ambiguous,66,0.09016393442622951
13,Ambiguous,244,0.3333333333333333
14,Ambiguous,20,0.0273224043715847
15,Ambiguous,0,0
16,Ambiguous,8,0.01092896174863388
17,Ambiguous,4,0.00546448087431694
18,Ambiguous,4,0.00546448087431694
19,Ambiguous,28,0.03825136612021858
2,Ambiguous,5,0.006830601092896175
20,Ambiguous,23,0.031420765027322405
21,Ambiguous,3,0.004098360655737705
22,Ambiguous,35,0.04781420765027322
23,Ambiguous,3,0.004098360655737705
24,Ambiguous,1,0.001366120218579235
25,Ambiguous,1,0.001366120218579235
26,Ambiguous,20,0.0273224043715847
3,Ambiguous,8,0.01092896174863388
4,Ambiguous,36,0.04918032786885246
5,Ambiguous,10,0.01366120218579235
6,Ambiguous,17,0.023224043715846996
7,Ambiguous,88,0.12021857923497267
8,Ambiguous,70,0.09562841530054644
9,Ambiguous,0,0
0,Astrocyte NT,0,0
1,Astrocyte NT,0,0
10,Astrocyte NT,0,0
11,Astrocyte NT,0,0
12,Astrocyte NT,0,0
13,Astrocyte NT,0,0
14,Astrocyte NT,1512,0.9661341853035144
15,Astrocyte NT,0,0
16,Astrocyte NT,3,0.0019169329073482429
17,Astrocyte NT,0,0
18,Astrocyte NT,0,0
19,Astrocyte NT,0,0
2,Astrocyte NT,0,0
20,Astrocyte NT,0,0
21,Astrocyte NT,0,0
22,Astrocyte NT,0,0
23,Astrocyte NT,0,0
24,Astrocyte NT,0,0
25,Astrocyte NT,0,0
26,Astrocyte NT,0,0
3,Astrocyte NT,0,0
4,Astrocyte NT,0,0
5,Astrocyte NT,0,0
6,Astrocyte NT,50,0.03194888178913738
7,Astrocyte NT,0,0
8,Astrocyte NT,0,0
9,Astrocyte NT,0,0
0,Astrocyte R,14,0.019635343618513323
1,Astrocyte R,0,0
10,Astrocyte R,3,0.004207573632538569
11,Astrocyte R,0,0
12,Astrocyte R,0,0
13,Astrocyte R,2,0.002805049088359046
14,Astrocyte R,6,0.008415147265077139
15,Astrocyte R,0,0
16,Astrocyte R,603,0.8457223001402524
17,Astrocyte R,0,0
18,Astrocyte R,0,0
19,Astrocyte R,0,0
2,Astrocyte R,1,0.001402524544179523
20,Astrocyte R,0,0
21,Astrocyte R,1,0.001402524544179523
22,Astrocyte R,0,0
23,Astrocyte R,0,0
24,Astrocyte R,0,0
25,Astrocyte R,0,0
26,Astrocyte R,0,0
3,Astrocyte R,0,0
4,Astrocyte R,0,0
5,Astrocyte R,0,0
6,Astrocyte R,83,0.11640953716690042
7,Astrocyte R,0,0
8,Astrocyte R,0,0
9,Astrocyte R,0,0
0,Astrocyte TE,0,0
1,Astrocyte TE,0,0
10,Astrocyte TE,2,7.062146892655367e-4
11,Astrocyte TE,1,3.5310734463276836e-4
12,Astrocyte TE,0,0
13,Astrocyte TE,0,0
14,Astrocyte TE,34,0.012005649717514125
15,Astrocyte TE,0,0
16,Astrocyte TE,6,0.00211864406779661
17,Astrocyte TE,1,3.5310734463276836e-4
18,Astrocyte TE,1,3.5310734463276836e-4
19,Astrocyte TE,0,0
2,Astrocyte TE,0,0
20,Astrocyte TE,0,0
21,Astrocyte TE,1,3.5310734463276836e-4
22,Astrocyte TE,0,0
23,Astrocyte TE,0,0
24,Astrocyte TE,3,0.001059322033898305
25,Astrocyte TE,0,0
26,Astrocyte TE,0,0
3,Astrocyte TE,0,0
4,Astrocyte TE,0,0
5,Astrocyte TE,0,0
6,Astrocyte TE,2781,0.9819915254237288
7,Astrocyte TE,2,7.062146892655367e-4
8,Astrocyte TE,0,0
9,Astrocyte TE,0,0
0,Choroid,0,0
1,Choroid,0,0
10,Choroid,0,0
11,Choroid,0,0
12,Choroid,0,0
13,Choroid,0,0
14,Choroid,0,0
15,Choroid,0,0
16,Choroid,0,0
17,Choroid,977,1
18,Choroid,0,0
19,Choroid,0,0
2,Choroid,0,0
20,Choroid,0,0
21,Choroid,0,0
22,Choroid,0,0
23,Choroid,0,0
24,Choroid,0,0
25,Choroid,0,0
26,Choroid,0,0
3,Choroid,0,0
4,Choroid,0,0
5,Choroid,0,0
6,Choroid,0,0
7,Choroid,0,0
8,Choroid,0,0
9,Choroid,0,0
0,Dendritic,0,0
1,Dendritic,0,0
10,Dendritic,0,0
11,Dendritic,0,0
12,Dendritic,0,0
13,Dendritic,0,0
14,Dendritic,0,0
15,Dendritic,0,0
16,Dendritic,0,0
17,Dendritic,0,0
18,Dendritic,0,0
19,Dendritic,4,0.006482982171799027
2,Dendritic,0,0
20,Dendritic,606,0.9821717990275527
21,Dendritic,0,0
22,Dendritic,0,0
23,Dendritic,0,0
24,Dendritic,0,0
25,Dendritic,0,0
26,Dendritic,0,0
3,Dendritic,0,0
4,Dendritic,0,0
5,Dendritic,0,0
6,Dendritic,0,0
7,Dendritic,0,0
8,Dendritic,7,0.011345218800648298
9,Dendritic,0,0
0,Endothelial,0,0
1,Endothelial,0,0
10,Endothelial,1946,0.9994863893168978
11,Endothelial,0,0
12,Endothelial,0,0
13,Endothelial,0,0
14,Endothelial,0,0
15,Endothelial,0,0
16,Endothelial,0,0
17,Endothelial,0,0
18,Endothelial,0,0
19,Endothelial,0,0
2,Endothelial,0,0
20,Endothelial,0,0
21,Endothelial,0,0
22,Endothelial,0,0
23,Endothelial,0,0
24,Endothelial,0,0
25,Endothelial,0,0
26,Endothelial,0,0
3,Endothelial,0,0
4,Endothelial,0,0
5,Endothelial,0,0
6,Endothelial,0,0
7,Endothelial,0,0
8,Endothelial,1,5.136106831022085e-4
9,Endothelial,0,0
0,Ependymal,0,0
1,Ependymal,0,0
10,Ependymal,0,0
11,Ependymal,0,0
12,Ependymal,0,0
13,Ependymal,0,0
14,Ependymal,0,0
