sample,condition,raw
BRAIN_01,Healthy,4566
BRAIN_01,Healthy,12482
BRAIN_01,Healthy,6182
BRAIN_01,Healthy,2033
BRAIN_01,Healthy,8706
BRAIN_01,Healthy,4148
BRAIN_01,Healthy,7969
BRAIN_01,Healthy,9626
BRAIN_01,Healthy,3642
BRAIN_01,Healthy,1960
BRAIN_01,Healthy,4440
BRAIN_01,Healthy,12613
BRAIN_01,Healthy,7451
BRAIN_01,Healthy,2443
BRAIN_01,Healthy,2877
BRAIN_01,Healthy,7278
BRAIN_01,Healthy,1562
BRAIN_01,Healthy,5476
BRAIN_01,Healthy,8369
BRAIN_01,Healthy,1990
BRAIN_01,Healthy,10515
BRAIN_01,Healthy,25824
BRAIN_01,Healthy,1960
BRAIN_01,Healthy,18537
BRAIN_01,Healthy,11085
BRAIN_01,Healthy,19456
BRAIN_01,Healthy,11406
BRAIN_01,Healthy,1622
BRAIN_01,Healthy,9126
BRAIN_01,Healthy,8622
BRAIN_01,Healthy,13467
BRAIN_01,Healthy,17489
BRAIN_01,Healthy,16142
BRAIN_01,Healthy,4890
BRAIN_01,Healthy,2899
BRAIN_01,Healthy,3200
BRAIN_01,Healthy,3200
BRAIN_01,Healthy,12102
BRAIN_01,Healthy,14088
BRAIN_01,Healthy,6461
BRAIN_01,Healthy,11466
BRAIN_01,Healthy,3276
BRAIN_01,Healthy,8717
BRAIN_01,Healthy,13577
BRAIN_01,Healthy,5334
BRAIN_01,Healthy,21869
BRAIN_01,Healthy,4637
BRAIN_01,Healthy,2142
BRAIN_01,Healthy,13261
BRAIN_01,Healthy,7658
BRAIN_01,Healthy,1898
BRAIN_01,Healthy,11549
BRAIN_01,Healthy,4221
BRAIN_01,Healthy,5717
BRAIN_01,Healthy,11858
BRAIN_01,Healthy,13974
BRAIN_01,Healthy,5380
BRAIN_01,Healthy,2854
BRAIN_01,Healthy,10680
BRAIN_01,Healthy,12942
BRAIN_01,Healthy,2381
BRAIN_01,Healthy,24337
BRAIN_01,Healthy,4604
BRAIN_01,Healthy,4569
BRAIN_01,Healthy,28080
BRAIN_01,Healthy,20337
BRAIN_01,Healthy,6551
BRAIN_01,Healthy,14844
BRAIN_01,Healthy,25258
BRAIN_01,Healthy,1029
BRAIN_01,Healthy,3382
BRAIN_01,Healthy,5190
BRAIN_01,Healthy,6836
BRAIN_01,Healthy,11006
BRAIN_01,Healthy,2276
BRAIN_01,Healthy,14031
BRAIN_01,Healthy,15497
BRAIN_01,Healthy,15246
BRAIN_01,Healthy,20949
BRAIN_01,Healthy,11469
BRAIN_01,Healthy,8601
BRAIN_01,Healthy,11483
BRAIN_01,Healthy,13078
BRAIN_01,Healthy,10356
BRAIN_01,Healthy,9927
BRAIN_01,Healthy,5514
BRAIN_01,Healthy,7152
BRAIN_01,Healthy,1051
BRAIN_01,Healthy,6829
BRAIN_01,Healthy,4113
BRAIN_01,Healthy,3580
BRAIN_01,Healthy,4796
BRAIN_01,Healthy,4397
BRAIN_01,Healthy,8738
BRAIN_01,Healthy,14903
BRAIN_01,Healthy,1444
BRAIN_01,Healthy,13332
BRAIN_01,Healthy,15382
BRAIN_01,Healthy,4634
BRAIN_01,Healthy,10102
BRAIN_01,Healthy,1789
BRAIN_01,Healthy,14109
BRAIN_01,Healthy,1008
BRAIN_01,Healthy,1004
BRAIN_01,Healthy,16232
BRAIN_01,Healthy,16261
BRAIN_01,Healthy,7837
BRAIN_01,Healthy,2884
BRAIN_01,Healthy,13509
BRAIN_01,Healthy,2000
BRAIN_01,Healthy,2835
BRAIN_01,Healthy,3228
BRAIN_01,Healthy,1511
BRAIN_01,Healthy,10044
BRAIN_01,Healthy,5096
BRAIN_01,Healthy,2099
BRAIN_01,Healthy,10705
BRAIN_01,Healthy,1799
BRAIN_01,Healthy,9517
BRAIN_01,Healthy,16473
BRAIN_01,Healthy,5466
BRAIN_01,Healthy,7740
BRAIN_01,Healthy,4252
BRAIN_01,Healthy,2729
BRAIN_01,Healthy,967
BRAIN_01,Healthy,3146
BRAIN_01,Healthy,12652
BRAIN_01,Healthy,14183
BRAIN_01,Healthy,10132
BRAIN_01,Healthy,7300
BRAIN_01,Healthy,20183
BRAIN_01,Healthy,32052
BRAIN_01,Healthy,17120
BRAIN_01,Healthy,6774
BRAIN_01,Healthy,2534
BRAIN_01,Healthy,14134
BRAIN_01,Healthy,9872
BRAIN_01,Healthy,21916
BRAIN_01,Healthy,12963
BRAIN_01,Healthy,7147
BRAIN_01,Healthy,12940
BRAIN_01,Healthy,25889
BRAIN_01,Healthy,12761
BRAIN_01,Healthy,9601
BRAIN_01,Healthy,16120
BRAIN_01,Healthy,2044
BRAIN_01,Healthy,24533
BRAIN_01,Healthy,9138
BRAIN_01,Healthy,2260
BRAIN_01,Healthy,10309
BRAIN_01,Healthy,1810
BRAIN_01,Healthy,3490
BRAIN_01,Healthy,4948
BRAIN_01,Healthy,3761
BRAIN_01,Healthy,3004
BRAIN_01,Healthy,9118
BRAIN_01,Healthy,4678
BRAIN_01,Healthy,8494
BRAIN_01,Healthy,2529
BRAIN_01,Healthy,4339
BRAIN_01,Healthy,8846
BRAIN_01,Healthy,2336
BRAIN_01,Healthy,11436
BRAIN_01,Healthy,2988
BRAIN_01,Healthy,13416
BRAIN_01,Healthy,21761
BRAIN_01,Healthy,3649
BRAIN_01,Healthy,9787
BRAIN_01,Healthy,8895
BRAIN_01,Healthy,17802
BRAIN_01,Healthy,5168
BRAIN_01,Healthy,1813
BRAIN_01,Healthy,10071
BRAIN_01,Healthy,3770
BRAIN_01,Healthy,15718
BRAIN_01,Healthy,1652
BRAIN_01,Healthy,10564
BRAIN_01,Healthy,2442
BRAIN_01,Healthy,13035
BRAIN_01,Healthy,1225
BRAIN_01,Healthy,7893
BRAIN_01,Healthy,5964
BRAIN_01,Healthy,20740
BRAIN_01,Healthy,17124
BRAIN_01,Healthy,18343
