dataset,species,sample,n_cells,subtype,pvr,patient,hypoxia_mean,hypoxia_med,hypoxia_z
RCAS PDGFB (ours),mouse,TP_01b,2828,NA,Primary,TP_01b,0.03817845386422711,0.02119652219844162,-0.32032016483746045
RCAS PDGFB (ours),mouse,TP_04,3032,NA,Primary,TP_04,0.038382604984688,0.03625490524259076,-0.3112757603195261
RCAS PDGFB (ours),mouse,TP_05,4215,NA,Primary,TP_05,0.03226317845034391,0.02311321539404123,-0.5823816394811924
RCAS PDGFB (ours),mouse,TP_06,3624,NA,Primary,TP_06,0.05524060761149861,0.04583669945352292,0.4355758600735331
RCAS PDGFB (ours),mouse,TP_08,3100,NA,Primary,TP_08,0.03275749172528348,0.02080292395042315,-0.5604823268198406
RCAS PDGFB (ours),mouse,TR_01,2309,NA,Recurrent,TR_01,0.07749124553471076,0.06408018212109734,1.421334692576113
RCAS PDGFB (ours),mouse,TR_02,3248,NA,Recurrent,TR_02,0.07742611235469835,0.04644843933451079,1.4184491300269495
RCAS PDGFB (ours),mouse,TR_03,2951,NA,Recurrent,TR_03,0.07345559959523106,0.05529087882635669,1.242545498152828
RCAS PDGFB (ours),mouse,TR_04,2931,NA,Recurrent,TR_04,0.03350717765367352,0.01314122439581855,-0.5272693677998013
RCAS PDGFB (ours),mouse,TR_06,2314,NA,Recurrent,TR_06,0.00755232812252785,0.00350638446320145,-1.6771340260580458
RCAS PDGFB (ours),mouse,TR_07,3175,NA,Recurrent,TR_07,0.03324144708858724,0.01924602488895532,-0.5390418955135543
Soni mouse GBM,mouse,EGFRvIII.mGBM.1,6206,EGFRvIII,NA,EGFRvIII.mGBM.1,0.01721170476286055,0.01117984198990167,-0.5896991686102896
Soni mouse GBM,mouse,EGFRvIII.mGBM.2,6835,EGFRvIII,NA,EGFRvIII.mGBM.2,0.06365557653907405,0.02700195393783949,1.585929897498145
Soni mouse GBM,mouse,EGFRvIII.mGBM.3,4947,EGFRvIII,NA,EGFRvIII.mGBM.3,0.01942749794557755,0.0043555632762455,-0.4859019641904592
Soni mouse GBM,mouse,Nf1.mGBM.1,4641,Nf1,NA,Nf1.mGBM.1,-0.01281437531851949,-0.01548908788922467,-1.9962488396006148
Soni mouse GBM,mouse,Nf1.mGBM.2,4624,Nf1,NA,Nf1.mGBM.2,0.03391617410749325,0.02739417828908282,0.1928094304835815
Soni mouse GBM,mouse,Nf1.mGBM.3,984,Nf1,NA,Nf1.mGBM.3,0.03861630613624872,0.02576483040849549,0.412983663708142
Soni mouse GBM,mouse,PDGFB.mGBM.1,3198,PDGFB,NA,PDGFB.mGBM.1,0.03584523973262306,0.02414555257826972,0.283175093033975
Soni mouse GBM,mouse,PDGFB.mGBM.2,1771,PDGFB,NA,PDGFB.mGBM.2,0.05499527409199579,0.0397618152149885,1.1802443892799583
Soni mouse GBM,mouse,PDGFB.mGBM.3,585,PDGFB,NA,PDGFB.mGBM.3,0.0274216019702924,0.01773024248580809,-0.1114240318279907
Soni mouse GBM,mouse,PDGFB.mGBM.4,8122,PDGFB,NA,PDGFB.mGBM.4,0.01972707558286074,0.01186133035291382,-0.4718684697744491
Nomura human GBM,human,P1T1,1397,OPC,Primary,P1,0.05657827915971338,0.03715324255295188,0.29408916767175314
Nomura human GBM,human,P1T2,616,AC,Recurrent,P1,0.08108259870620148,0.06618930857566194,0.8149863243264639
Nomura human GBM,human,P20T1,749,Hypoxia,Primary,P20,0.03131959977462181,0.01034275536242343,-0.2428436880880721
Nomura human GBM,human,P20T2,829,GPC,Recurrent,P20,0.11630105109260894,0.10748461961629452,1.5636376661870524
Nomura human GBM,human,P20T3,290,Neuron,Recurrent,P20,0.00836607436464361,-0.01294171504406914,-0.730775054579449
Nomura human GBM,human,P21T1,409,Hypoxia,Primary,P21,0.02667444296699505,0.01190855795478784,-0.3415874613529302
Nomura human GBM,human,P21T2,391,MES,Recurrent,P21,0.08794383077730852,0.0733033318423887,0.9608380085655388
Nomura human GBM,human,P22T1,649,MES,Primary,P22,0.04408149811280475,0.03880834368349559,0.02844058672170116
Nomura human GBM,human,P22T2,530,AC,Recurrent,P22,0.02565896529035256,0.02062687741064311,-0.3631738364981733
Nomura human GBM,human,P23T1,1060,NPC,Primary,P23,0.13909133192736292,0.1386902824673873,2.0480988838782443
Nomura human GBM,human,P24T1,1003,MES,Primary,P24,0.01420290993659592,0.01041881214923554,-0.6066993361118137
Nomura human GBM,human,P24T2,268,OPC,Recurrent,P24,0.03048315805382654,0.02713980099741492,-0.2606242313609854
Nomura human GBM,human,P25T1,61,Neuron,Primary,P25,-0.00653408352465274,-0.01529539759330744,-1.047513083705954
Nomura human GBM,human,P25T2,215,Neuron,Recurrent,P25,-0.02930952331278162,-0.02933606592440185,-1.5316588199174774
Nomura human GBM,human,P26T1,524,GPC,Primary,P26,0.04078105990193699,0.03807869691749124,-0.04171801843744389
Nomura human GBM,human,P26T2,532,Stress,Recurrent,P26,0.0639817999408495,0.05675874057629661,0.45146847856474087
Nomura human GBM,human,P27T1,83,AC,Primary,P27,-0.02484511554752199,-0.03205908133485791,-1.4367572942228273
Nomura human GBM,human,P27T2,141,OPC,Recurrent,P27,-0.03065283870832937,-0.03341927668224906,-1.5602141596690602
Nomura human GBM,human,P28T1,92,OPC,Primary,P28,-0.00562871731690514,-0.00367750143242492,-1.0282673877602948
Nomura human GBM,human,P29T1,560,Neuron,Primary,P29,0.04048145740509313,0.02983905369478474,-0.04808677674703691
