tscore,rank,length,color
-6.639003984617201,PEROXISOME,-6.639003984617201,-6.639003984617201
-6.106007436211451,HEDGEHOG_SIGNALING,-6.106007436211451,-6.106007436211451
-5.980609957732347,BILE_ACID_METABOLISM,-5.980609957732347,-5.980609957732347
-5.899421683407741,SPERMATOGENESIS,-5.899421683407741,-5.899421683407741
-5.896179908204873,ADIPOGENESIS,-5.896179908204873,-5.896179908204873
-5.4159401454073555,REACTIVE_OXYGEN_SPECIES_PATHWAY,-5.4159401454073555,-5.4159401454073555
-5.013305147031361,OXIDATIVE_PHOSPHORYLATION,-5.013305147031361,-5.013305147031361
8.088041328906618,UNFOLDED_PROTEIN_RESPONSE,8.088041328906618,8.088041328906618
8.318233398573815,INFLAMMATORY_RESPONSE,8.318233398573815,8.318233398573815
8.976936712179192,IL6_JAK_STAT3_SIGNALING,8.976936712179192,8.976936712179192
9.142582626206135,IL2_STAT5_SIGNALING,9.142582626206135,9.142582626206135
9.613560419104763,P53_PATHWAY,9.613560419104763,9.613560419104763
9.634200220815593,COMPLEMENT,9.634200220815593,9.634200220815593
10.428058755564589,APOPTOSIS,10.428058755564589,10.428058755564589
14.808641171800968,HYPOXIA,14.808641171800968,14.808641171800968
15.412499902209838,TNFA_SIGNALING_VIA_NFKB,15.412499902209838,15.412499902209838
15.81997373781022,EPITHELIAL_MESENCHYMAL_TRANSITION,15.81997373781022,15.81997373781022
