x,y,score
Astrocyte TE,Astrocyte TE,NA
Astrocyte TE,Astrocyte NT,0.85
Astrocyte TE,Astrocyte R,0.66
Astrocyte TE,OPC/COP/OLG,0.06
Astrocyte TE,Neural,0.04
Astrocyte TE,Ependymal,0.15
Astrocyte TE,Microglia,-0.18
Astrocyte TE,Macrophage,-0.19
Astrocyte TE,Dendritic,-0.15
Astrocyte TE,Neutrophil,-0.09
Astrocyte TE,NKTB,-0.09
Astrocyte TE,Choroid,0.11
Astrocyte TE,Endothelial,-0.01
Astrocyte TE,Mural,0.05
Astrocyte TE,Fibroblast,0.06
Astrocyte TE,Neopl-Bulk,-0.14
Astrocyte TE,Neopl-CC-I,-0.2
Astrocyte TE,Neopl-CC-II,-0.19
Astrocyte TE,Neopl-CC-III,-0.2
Astrocyte TE,Neopl-OPC,-0.02
Astrocyte TE,Neopl-COP,-0.04
Astrocyte TE,Neopl-NC,0.04
Astrocyte TE,Neopl-ACR,0.28
Astrocyte TE,Neopl-ECM,-0.11
Astrocyte TE,Neopl-RNA-low,-0.09
Astrocyte NT,Astrocyte TE,0.85
Astrocyte NT,Astrocyte NT,NA
Astrocyte NT,Astrocyte R,0.59
Astrocyte NT,OPC/COP/OLG,0.06
Astrocyte NT,Neural,0.03
Astrocyte NT,Ependymal,0.14
Astrocyte NT,Microglia,-0.17
Astrocyte NT,Macrophage,-0.18
Astrocyte NT,Dendritic,-0.15
Astrocyte NT,Neutrophil,-0.09
Astrocyte NT,NKTB,-0.09
Astrocyte NT,Choroid,0.09
Astrocyte NT,Endothelial,-0.01
Astrocyte NT,Mural,0.05
Astrocyte NT,Fibroblast,0.06
Astrocyte NT,Neopl-Bulk,-0.13
Astrocyte NT,Neopl-CC-I,-0.2
Astrocyte NT,Neopl-CC-II,-0.19
Astrocyte NT,Neopl-CC-III,-0.2
Astrocyte NT,Neopl-OPC,0
Astrocyte NT,Neopl-COP,-0.02
Astrocyte NT,Neopl-NC,0.04
Astrocyte NT,Neopl-ACR,0.27
Astrocyte NT,Neopl-ECM,-0.11
Astrocyte NT,Neopl-RNA-low,-0.09
Astrocyte R,Astrocyte TE,0.66
Astrocyte R,Astrocyte NT,0.59
Astrocyte R,Astrocyte R,NA
Astrocyte R,OPC/COP/OLG,-0
Astrocyte R,Neural,-0.02
Astrocyte R,Ependymal,0.17
Astrocyte R,Microglia,-0.2
Astrocyte R,Macrophage,-0.14
Astrocyte R,Dendritic,-0.11
Astrocyte R,Neutrophil,-0.06
Astrocyte R,NKTB,-0.08
