p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Level_4,gene
0,1.250619217640523,0.724,0.39,0,Neopl-Bulk,Ptprn
0,1.86225399955884,0.577,0.251,0,Neopl-Bulk,Vgf
0,1.3190659019755708,0.54,0.262,0,Neopl-Bulk,Disp2
0,1.0119529426909109,0.821,0.583,0,Neopl-Bulk,Tnc
0,2.1728509152971847,0.934,0.331,0,Neopl-CC-I,Mcm3
0,2.1358855339020257,0.878,0.286,0,Neopl-CC-I,Hells
0,1.5750564511534113,0.845,0.294,0,Neopl-CC-I,Tcf19
0,1.9096868886357137,0.879,0.337,0,Neopl-CC-I,Mcm5
0,2.7111979139998983,0.658,0.124,0,Neopl-CC-I,Ung
0,2.035486320299029,0.755,0.235,0,Neopl-CC-I,Cdt1
0,1.8581860275224709,0.917,0.403,0,Neopl-CC-I,Uhrf1
0,1.1178230900093635,0.886,0.387,0,Neopl-CC-I,Rrm2
0,1.7831680972910176,0.869,0.382,0,Neopl-CC-I,Mcm4
0,1.630630514177625,0.777,0.294,0,Neopl-CC-I,Lig1
0,2.0237103825024243,0.702,0.222,0,Neopl-CC-I,Zfp367
0,1.7116840432429674,0.945,0.473,0,Neopl-CC-I,Mcm2
0,1.862564362245821,0.971,0.506,0,Neopl-CC-I,Mcm6
0,1.863322792118095,0.653,0.208,0,Neopl-CC-I,Chaf1a
0,1.674156685042434,0.708,0.27,0,Neopl-CC-I,Pold1
0,2.059972665473041,0.6,0.164,0,Neopl-CC-I,Gins2
0,1.6289204801762762,0.688,0.264,0,Neopl-CC-I,Rpa2
0,1.639586643819207,0.641,0.219,0,Neopl-CC-I,Clspn
0,1.781382200803546,0.602,0.183,0,Neopl-CC-I,Gmnn
0,1.8068682299152408,0.577,0.162,0,Neopl-CC-I,Mybl2
0,2.1285344315224233,0.553,0.141,0,Neopl-CC-I,Dtl
0,2.2510630975588835,0.535,0.125,0,Neopl-CC-I,Mcm10
0,1.3958359726256204,0.754,0.345,0,Neopl-CC-I,Topbp1
0,1.5691650601781566,0.667,0.267,0,Neopl-CC-I,Fam111a
0,1.993783957627866,0.546,0.147,0,Neopl-CC-I,Cdc45
0,1.597121999499615,0.636,0.241,0,Neopl-CC-I,Dhfr
0,1.6319000408703324,0.595,0.204,0,Neopl-CC-I,Pole
0,1.2369001813014526,0.65,0.26,0,Neopl-CC-I,Atad2
0,1.748607607582535,0.579,0.191,0,Neopl-CC-I,Fignl1
0,2.0520894646796166,0.525,0.138,0,Neopl-CC-I,Exo1
0,1.5129188956961086,0.634,0.248,0,Neopl-CC-I,Fen1
0,1.7368792680815557,0.578,0.193,0,Neopl-CC-I,Wdhd1
0,1.5331362938675874,0.635,0.252,0,Neopl-CC-I,Pola2
0,1.2372086320973583,0.811,0.429,0,Neopl-CC-I,Hat1
0,1.4164141454217134,0.705,0.325,0,Neopl-CC-I,Rfc3
0,1.310885781696153,0.71,0.331,0,Neopl-CC-I,Cdk2
0,1.433819035322665,0.623,0.245,0,Neopl-CC-I,Prim1
0,1.637632511268338,0.598,0.22,0,Neopl-CC-I,Atad5
0,1.4657134107524374,0.939,0.561,0,Neopl-CC-I,Mcm7
0,1.7974069509203667,0.543,0.166,0,Neopl-CC-I,Rad51
0,1.376663887321265,0.921,0.545,0,Neopl-CC-I,Tipin
0,1.8494965384981856,0.533,0.158,0,Neopl-CC-I,Timeless
0,1.412953780544001,0.616,0.254,0,Neopl-CC-I,Shmt1
0,1.260178968971016,0.684,0.323,0,Neopl-CC-I,Rfc4
0,1.246535114165377,0.72,0.362,0,Neopl-CC-I,Rpa1
0,1.040426448675437,0.81,0.454,0,Neopl-CC-I,Dut
0,1.1359227999625958,0.798,0.446,0,Neopl-CC-I,Slbp
0,1.396320005489898,0.977,0.627,0,Neopl-CC-I,Pcna
0,1.242954578194435,0.677,0.328,0,Neopl-CC-I,Pola1
0,1.8418912232146392,0.501,0.152,0,Neopl-CC-I,Chek1
0,5.491034050095637,0.978,0.123,0,Neopl-CC-II,Hist1h1b
0,5.383424292950233,0.977,0.144,0,Neopl-CC-II,Hist1h1a
0,5.54823936615119,0.783,0.031,0,Neopl-CC-II,Hist1h3c
0,2.498343035187914,0.915,0.184,0,Neopl-CC-II,Kif11
0,5.320399574570031,0.983,0.256,0,Neopl-CC-II,Hist1h2ae
0,2.589750061589529,0.937,0.212,0,Neopl-CC-II,Nusap1
0,3.980506031648983,0.785,0.065,0,Neopl-CC-II,Esco2
0,5.152837482959353,0.756,0.044,0,Neopl-CC-II,Hist1h1d
0,3.1647178081905523,0.845,0.149,0,Neopl-CC-II,Tk1
0,2.4634903883379367,0.909,0.223,0,Neopl-CC-II,Spc25
0,2.0007291955018114,0.883,0.205,0,Neopl-CC-II,Prc1
0,3.081559453249162,0.937,0.265,0,Neopl-CC-II,Tcf19
0,1.9479028904848592,0.973,0.305,0,Neopl-CC-II,Ccna2
0,2.6467850680761735,0.866,0.221,0,Neopl-CC-II,Atad2
0,2.7313296856842,0.761,0.12,0,Neopl-CC-II,Cdca2
0,2.216471959388539,0.99,0.36,0,Neopl-CC-II,Cdk1
0,1.9260709503033144,0.874,0.244,0,Neopl-CC-II,Birc5
0,2.0518205913720227,0.923,0.301,0,Neopl-CC-II,Pbk
0,2.889529705826422,0.981,0.359,0,Neopl-CC-II,Rrm2
0,2.6342227502618183,0.833,0.211,0,Neopl-CC-II,Ncapg2
0,1.785274720225156,0.904,0.284,0,Neopl-CC-II,Racgap1
0,2.4144442451368024,0.786,0.166,0,Neopl-CC-II,Ncapg
0,1.4258300181958623,0.954,0.336,0,Neopl-CC-II,Tpx2
0,2.40876891606882,0.991,0.378,0,Neopl-CC-II,Mki67
0,2.533066257228623,0.98,0.369,0,Neopl-CC-II,Pclaf
0,2.496971439287506,0.778,0.17,0,Neopl-CC-II,Incenp
0,3.0597307833163954,0.699,0.092,0,Neopl-CC-II,Aurkb
0,2.7985025386015683,0.734,0.129,0,Neopl-CC-II,Mybl2
0,2.377354260408054,0.769,0.166,0,Neopl-CC-II,Kif15
0,2.7653495828804076,0.998,0.395,0,Neopl-CC-II,Top2a
0,2.2122991816117543,0.857,0.259,0,Neopl-CC-II,Spc24
0,2.004577516513344,0.868,0.271,0,Neopl-CC-II,Foxm1
0,2.0041068294448827,0.794,0.199,0,Neopl-CC-II,Nuf2
0,2.679931336175357,0.715,0.123,0,Neopl-CC-II,Ndc80
0,3.296671868804747,0.671,0.08,0,Neopl-CC-II,Fbxo5
0,1.9970967031532547,0.819,0.228,0,Neopl-CC-II,Kifc1
0,1.5260180401177543,0.837,0.247,0,Neopl-CC-II,Ect2
0,1.6680496119699846,0.81,0.221,0,Neopl-CC-II,Ckap2l
0,2.4331158543550577,0.776,0.189,0,Neopl-CC-II,Clspn
0,3.149141226878184,0.663,0.088,0,Neopl-CC-II,Mxd3
0,2.4846476059352915,0.726,0.154,0,Neopl-CC-II,Gmnn
0,3.431412136164884,0.642,0.071,0,Neopl-CC-II,Neil3
0,5.397553658653103,0.993,0.423,0,Neopl-CC-II,Hist1h2ap
0,1.522123191716508,0.798,0.229,0,Neopl-CC-II,Cdca8
0,2.225251322714546,0.783,0.216,0,Neopl-CC-II,Ncaph
0,2.245137704796416,0.839,0.272,0,Neopl-CC-II,Lig1
0,2.231338074572645,0.768,0.202,0,Neopl-CC-II,Plk4
0,1.980408053775674,0.714,0.151,0,Neopl-CC-II,Kif23
0,3.196138305631808,0.64,0.08,0,Neopl-CC-II,Cdca5
0,2.1407659252304994,0.715,0.158,0,Neopl-CC-II,Kif18b
0,3.785490769412081,0.904,0.15,0,Neopl-CC-III,Cenpa
0,3.495635404706714,0.923,0.189,0,Neopl-CC-III,Ccnb2
0,3.603435128662172,0.949,0.217,0,Neopl-CC-III,Pttg1
0,3.632046581677896,0.849,0.164,0,Neopl-CC-III,Cenpf
0,2.9925882741487837,0.908,0.229,0,Neopl-CC-III,Cdca3
0,3.080061339766437,0.928,0.259,0,Neopl-CC-III,Tacc3
0,4.100701850926535,0.771,0.109,0,Neopl-CC-III,Tuba1c
0,2.936229416297085,0.924,0.271,0,Neopl-CC-III,Knstrn
0,3.854396202056641,0.86,0.21,0,Neopl-CC-III,Cdc20
0,3.465718534818657,0.935,0.287,0,Neopl-CC-III,Ube2c
0,3.0213455477726656,0.826,0.183,0,Neopl-CC-III,Cdca8
0,2.177354336533048,0.894,0.263,0,Neopl-CC-III,Pbk
0,3.094737942444068,0.926,0.298,0,Neopl-CC-III,Tpx2
0,2.5378471045571582,0.828,0.208,0,Neopl-CC-III,Birc5
0,3.7562075752470943,0.752,0.133,0,Neopl-CC-III,Aspm
0,2.9813166619277247,0.858,0.243,0,Neopl-CC-III,Cip2a
0,2.6252162496820826,0.857,0.25,0,Neopl-CC-III,Racgap1
0,2.6450267930639386,0.874,0.277,0,Neopl-CC-III,Ccna2
0,2.1978504754859136,0.939,0.345,0,Neopl-CC-III,Mki67
0,2.961536943268433,0.805,0.212,0,Neopl-CC-III,Ect2
0,2.83229888372973,0.769,0.187,0,Neopl-CC-III,Ckap2l
0,3.236046828560421,0.698,0.12,0,Neopl-CC-III,Pimreg
0,3.440174588662418,0.699,0.121,0,Neopl-CC-III,Dlgap5
0,2.126636094058621,0.908,0.345,0,Neopl-CC-III,Ncapd2
0,3.4040014979688205,0.674,0.115,0,Neopl-CC-III,Kif2c
0,2.1949594436129627,0.8,0.242,0,Neopl-CC-III,Foxm1
0,3.730528855388712,0.629,0.072,0,Neopl-CC-III,Cdc25c
0,3.046101123401739,0.71,0.165,0,Neopl-CC-III,Emp1
0,2.470322643397986,0.715,0.172,0,Neopl-CC-III,Nuf2
0,3.277216839332907,0.673,0.133,0,Neopl-CC-III,Plk1
0,3.300628470384508,0.659,0.121,0,Neopl-CC-III,Kif20a
0,2.947689934860355,0.657,0.129,0,Neopl-CC-III,Bub1b
0,2.824529906765168,0.783,0.256,0,Neopl-CC-III,Cks2
0,2.674830569370625,0.867,0.342,0,Neopl-CC-III,Ckap2
0,2.6707869384682352,0.696,0.195,0,Neopl-CC-III,Prc1
0,2.1398753091507228,0.712,0.213,0,Neopl-CC-III,Spc25
0,2.2982451210102663,0.675,0.181,0,Neopl-CC-III,Kif11
0,3.4777182408809084,0.597,0.108,0,Neopl-CC-III,Nek2
0,3.108700428939688,0.606,0.117,0,Neopl-CC-III,Hmmr
0,2.839854585122656,0.616,0.13,0,Neopl-CC-III,Kif23
0,2.1077500722213633,0.829,0.348,0,Neopl-CC-III,Cdk1
0,2.7295960986879315,0.603,0.131,0,Neopl-CC-III,Kif22
0,2.996797272460502,0.58,0.112,0,Neopl-CC-III,Depdc1a
0,1.908386013512372,0.875,0.414,0,Neopl-CC-III,Rangap1
0,2.5031205175989437,0.584,0.124,0,Neopl-CC-III,Kif4
0,2.05780990311745,0.673,0.214,0,Neopl-CC-III,Nusap1
0,3.0966232342575166,0.552,0.096,0,Neopl-CC-III,Cenpe
0,2.5897869014485826,0.621,0.165,0,Neopl-CC-III,Nde1
0,2.028375470613712,0.606,0.156,0,Neopl-CC-III,Kif15
0,1.479185564035753,0.828,0.386,0,Neopl-CC-III,Top2a
0,2.8461238741719783,0.702,0.155,0,Neopl-OPC,Tmem132b
0,2.5216967865072917,0.747,0.214,0,Neopl-OPC,Tmem100
0,2.162082909387408,0.771,0.295,0,Neopl-OPC,Grin3a
0,2.572232269363272,0.603,0.149,0,Neopl-OPC,Dscaml1
0,1.923367174304236,0.946,0.506,0,Neopl-OPC,Atp1a2
0,1.81371915438759,0.769,0.332,0,Neopl-OPC,Ampd3
0,2.3166928032206817,0.949,0.517,0,Neopl-OPC,Gpr17
0,2.035131416310904,0.935,0.512,0,Neopl-OPC,C1ql1
0,1.768694724974699,0.839,0.416,0,Neopl-OPC,Fry
0,1.9899817210202175,0.674,0.254,0,Neopl-OPC,Sez6l
