Feature,Neopl-ACR,Neopl-Bulk,Neopl-CC-I,Neopl-CC-II,Neopl-CC-III,Neopl-COP,Neopl-ECM,Neopl-NC,Neopl-OPC,Neopl-RNA-low
Abca1,1.38047564516439,0.200698632535319,-0.161199184821097,-0.301925339422753,-0.389667249198099,0.931071612358165,-0.227696511595917,-0.168620265694763,0.579456598857809,-0.414098378762843
Adam23,0.473724849649283,-0.120107632650903,-0.115256026481885,0.00172111321888429,-0.113374840014802,0.415565701449065,0.964505435473727,0.010688452903266,-0.0978258738541781,-0.426440845760796
Adcy1,-0.216141496731249,0.00417351192830433,0.210516021792371,0.121310391409496,-0.132950706326569,-0.212973209571805,-0.255387626683936,1.14126642862449,0.0837398922501976,-0.111290579584853
Adgra3,-0.022861447475138,-0.102944952949317,0.0539668311295192,0.176775371670059,-0.0341404837359731,-0.234602416430017,0.730287588170504,-0.547832590135656,-0.0430156187321686,-0.562642567985548
Agap2,-0.374689958540785,0.17461022038806,-0.0174430049385643,-0.319601223665609,-0.302300429704654,-0.168072647741962,-0.150589990391232,1.4280467044015,0.753193054026071,-0.0679686905341972
Aldoc,0.744992240187211,0.039319455567009,-0.129316766989898,-0.228885666955503,-0.49835948338311,-0.137497689140248,0.964209794676583,-0.0124259333577242,0.321319229811011,-0.0823257699553395
Ampd3,0.423516124972216,0.032714397898786,-0.123492825179689,-0.231462143517294,-0.32409458813331,0.902528914023468,-0.0326419074700264,-0.234000268146848,1.0860199543419,-0.146560429491448
Anxa5,1.24420831182492,-0.0697118453704205,-0.203372277824294,-0.162083851713228,-0.121012772424009,-0.0821421821916175,0.652442382669373,-0.0142727980184877,-0.341447789909431,-0.211614797619779
Apoe,2.0303697701312,-0.000542563064551182,-0.194865260793696,-0.214977098311508,-0.225711161306374,-0.0269026027077477,0.0882431257969057,0.896491861241097,0.271145822403176,0.0628310191029913
Arc,-0.0775362892542102,-0.0655905268680333,-0.0681548042231923,0.0024021188028779,-0.0916751950142478,-0.152036316393802,-0.0826451035936927,1.26442883025273,-0.129115425490699,-0.0882086510747311
Arpp21,-0.19914790806303,-0.0743310429165875,-0.0481125280278707,-0.0952684136451563,-0.161112752194598,0.393522781726112,-0.0478587335890704,1.44805309547873,0.589957743842508,-0.0948268116800219
Arsb,-0.188869374450859,-0.0809242619386942,0.0112719894723136,0.0303451156927185,-0.17225115590146,1.35986711023677,0.204011453301964,-0.220818604769679,1.04450892125921,-0.646460485939715
Aspm,-0.434768641798079,-0.447652186543805,-0.307275095639536,0.642736311654268,1.26304995908114,-0.454182756657619,-0.397858649973121,-0.265490869117575,-0.454788467328914,-0.411725546091224
Atad2,-0.392049393524758,-0.42304454799942,0.675628780554716,1.41025205496275,0.00478942217937845,-0.417379064904682,-0.0154346249151655,-0.365502964008734,-0.40335504291111,-0.215156997221934
Atad5,-0.369278052198549,-0.295320045783551,0.786861550989491,0.851625760543061,-0.0178469062839691,-0.303307992445426,-0.053302100863495,-0.36015332492536,-0.238057726680812,-0.327834773490441
Atp1a2,1.33044750744735,-0.0291239200684627,-0.14587399412005,-0.197840418556037,-0.340689648498097,-0.0592893638839729,0.528933600670439,-0.350300621223623,1.35621647099209,-0.350882014088594
Atp1a3,-0.403371217441948,0.0575532183264505,0.133074757599882,0.0258590466396622,-0.146362766538254,-0.0326322874732834,-0.320727138828209,1.66956349130118,0.447458024273344,-0.357764368768283
Atp1b1,0.284389716676378,0.348054013583327,0.0570491371417157,-0.0900814161610407,-0.352849925755063,-1.10795512014008,0.0142129941395046,1.38793219539308,-0.173962565505787,-0.78014666386775
Atp1b2,1.34419524964211,0.112565030042913,-0.19389510967982,-0.173128570412037,-0.119278988887322,-0.300216424340388,0.186336799097178,-0.757941937414432,0.755540527532397,-0.757758660081532
Atp6v0a2,0.430785857225643,-0.00422281146567436,-0.0446355642151489,-0.14117733581547,-0.120588524222791,1.79923254750038,0.254584808637379,-0.356703230770254,-0.0387461083299993,-0.537556104922591
Aurkb,-0.309760246207671,-0.355678011531964,-0.106603495956851,1.25021055364503,0.310637852426171,-0.337925312689993,-0.307592061699204,-0.272591623503874,-0.380647237942317,-0.28746016025249
Bcar1,0.250784750782819,-0.0595333358603985,-0.133138829449118,-0.0866944888342457,0.0837482493339878,1.63775329790835,0.0255214532046308,-0.235608923527845,0.0572463267083504,-0.34412745143144
Bgn,1.1211511186097,-0.065633231204435,-0.026732038942025,-0.0706197761779541,-0.0957479161922532,0.452237164569971,-0.0515596498847857,-0.0449555159157123,-0.130770407670807,-0.206159672538661
Birc5,-0.495690557445144,-0.526156539430589,-0.142904418068124,1.16410974986805,1.17162328827462,-0.563768901523652,-0.364256212110549,-0.481103680430227,-0.568083195302569,-0.391462246429568
Bmp4,-0.059528656368653,-0.154858144300852,-0.168918926884037,-0.124835131427615,-0.162833455292392,2.14056090465545,0.0590847416899037,-0.225691580755902,0.227557019452901,-0.223824004442136
Bricd5,-0.420607201906679,-0.0612799741001107,-0.10418038353332,-0.108628474820524,-0.204369219142135,-0.0235272819850082,0.894660504418866,-0.402889833618865,0.339128013287519,-0.342978461184372
Bub1b,-0.412136738713565,-0.438325929873373,-0.232292678668327,0.864344224868901,1.02739241122006,-0.41296733847896,-0.35850564482829,-0.391302856884711,-0.462400226448221,-0.385916037748208
C1ql1,-0.0700759364597014,-0.0332760925946857,0.125802777297244,-0.0628611780791086,-0.335104003200754,0.0435671204032856,0.28313535829906,-0.644521543247179,1.38567957809665,-0.347436865441048
C1qtnf6,0.190020764440794,0.0451208851288634,-0.0163680561047324,-0.143414507674813,-0.158828385754362,0.0221641009164861,0.664006920936697,-0.638435610377787,0.0804267463020301,-0.546610130409862
Calcrl,-0.382844787875718,0.016076707432113,-0.0603076927989129,-0.156503711632427,-0.263729699063755,0.0366194249939872,0.572023849339012,-0.711960380118704,1.21426161536519,-0.576936404380848
Camk2a,-0.025106281562209,-0.080866203939832,-0.0767142316487998,-0.0749808558510042,-0.0883005103067764,-0.0650927030903206,-0.115113353379391,1.64788441294379,-0.0799967312046591,0.00694033813529552
Camk2n1,0.623327099203005,0.0531402505594475,-0.0680199134824024,-0.0836838124076694,-0.104841239360601,-0.278802857617204,-0.2152987070851,1.31985072568956,0.0701792128021031,0.0541748680037756
Camkv,-0.10176889618217,-0.076933375688712,-0.0638714408418383,-0.0842349082599619,-0.13368100818204,-0.137612648292069,0.0381416513356593,1.38508251039681,-0.0813666941474376,-0.0925887985887055
Capn5,0.1847314648284,-0.105849783285484,-0.18664779470909,-0.154268560589248,-0.171212584854065,1.70635210966931,0.214962051854454,-0.0961536002468084,0.163433110486428,-0.239774507586178
Capn6,-0.0816252286971298,-0.162342242106203,-0.228127898859482,-0.082422800907487,-0.103885849641751,0.521812703203533,1.05478003041195,-0.24757364552804,-0.278547690530934,-0.277316604406294
Ccdc80,1.15308621868108,-0.0441320701035721,-0.110436897333884,-0.119362060232679,-0.119018413914645,-0.127217193224648,-0.0414267625663904,-0.0615170927052539,-0.166397662332635,-0.168150383442305
Ccna2,-0.542388712487446,-0.579661371580498,-0.0657810261021242,1.33522817908449,1.22817976476344,-0.581431166103433,-0.416731357517695,-0.486649926355777,-0.591656621487181,-0.397797615853385
Ccnb2,-0.527016067459328,-0.489313017594595,-0.28107214085574,0.508583845802461,1.54957638682235,-0.530783469175223,-0.269096751226958,-0.513826566700923,-0.564011574430094,-0.445714034053162
Cd44,1.29168560910439,0.146882433288794,-0.111926953031549,-0.122328112616979,-0.0333860950822007,-0.455503219037914,-0.149080067230294,-0.165436480869506,-0.495504130548724,-0.374502484423111
Cd82,0.192607688588724,-0.192653724284145,-0.238320245707485,-0.11081177919394,-0.14295972433981,1.96751635563206,0.70205279357547,-0.252072861904494,-0.14456289419477,-0.254106252359916
Cdc20,-0.474764986488356,-0.454928738414996,-0.272396881045067,0.424121192444309,1.48931062454888,-0.475848423930135,-0.363447710572483,-0.332109558739498,-0.520540005845049,-0.418106556561395
Cdc25c,-0.375814530331673,-0.367448639316659,-0.216073543087253,0.267365885838592,1.08474357181892,-0.389245106586276,-0.305713878309762,-0.38563690105663,-0.392871147547603,-0.352964348737001
Cdc45,-0.35973580729839,-0.34889484297707,0.823658192584199,1.01272831145697,-0.0677042920818313,-0.395800779820178,-0.0925509844125388,-0.24662151765964,-0.365211725670849,-0.226003749468483
Cdca2,-0.385887872931132,-0.408307685681225,-0.0762082923478674,1.26954642150544,0.548199429168012,-0.418241477755478,-0.344429171831081,-0.420582959054945,-0.415928600212418,-0.365788969460601
Cdca3,-0.512244962295604,-0.496133315941031,-0.254870374852833,0.812703166932935,1.4056173389181,-0.568217450905648,-0.340069455773972,-0.51969876007926,-0.590122523622917,-0.436164918686292
Cdca5,-0.316441336828963,-0.327018761103555,0.113380797253459,1.18191256078896,0.112491552009766,-0.328823009014678,-0.254689096552081,-0.240469888664951,-0.351931854131576,-0.260489205459236
Cdca8,-0.503663501007502,-0.515126408110019,-0.150860936477445,0.923506060312819,1.28541436493477,-0.539782239447082,-0.402107605902337,-0.44623906707593,-0.541588643090956,-0.379410308514863
Cdk1,-0.497583103355602,-0.579980578437504,0.244394634670148,1.50053572769074,0.937840991993803,-0.623410584067566,-0.351537132339797,-0.481102490629721,-0.624286642995685,-0.357750356494925
Cdk2,-0.339853506833971,-0.333184306622706,0.755696489075192,0.99189557741737,-0.0495656705384983,-0.0960567535367423,0.142006005987974,-0.388060431444793,-0.313542585417586,-0.312254815559995
Cdk5r2,-0.19539298863099,0.0204537643730437,-2.27407162867479e-05,-0.086084493953967,-0.140578441002478,-0.12323848970072,-0.119129145312787,1.05098230260155,0.219047441280574,-0.205731947778487
Cdkn1c,0.0155389363161915,-0.127620667694546,-0.138559236678462,-0.117539651220622,-0.119779187925776,1.60986267653369,-0.0183929216981137,-0.1844298810047,-0.0383727204997562,-0.16492761263842
Cdt1,-0.417070602175077,-0.338207308086505,1.11843957909932,0.845213583665128,-0.0434679748245029,-0.46390793402352,0.0297051970324858,-0.322122315981904,-0.418151793938881,-0.244069405452804
Cebpd,1.56892235630711,-0.00924626695019622,-0.162885313403247,-0.0794159194545413,-0.173716040231951,-0.0582886379700514,0.393280426675245,-0.373134263183735,-0.166081490285059,-0.202998491888066
Cenpa,-0.440207598448888,-0.430254525354605,-0.256818241237898,0.166979760439288,1.55456254358855,-0.482857059132422,-0.319275757175358,-0.437887782471721,-0.496746846017235,-0.414116865468705
Cenpe,-0.360290974507162,-0.374183449324761,-0.244293968892688,0.634589810269183,0.879356831513108,-0.380680031228074,-0.336494398913288,-0.296173839282988,-0.384904268903191,-0.339236549501694
Cenpf,-0.465117098541229,-0.483509750139627,-0.296431906802228,0.679570249948226,1.39132595416834,-0.518145130939417,-0.408103472119471,-0.36425685071539,-0.4817216157789,-0.404959182053192
Chadl,-0.0266138634520168,0.042211150382278,0.0301306755495623,-0.173036697483163,-0.445149631845472,1.18468386353322,0.693863256640138,-0.430682966770497,0.489585085498961,-0.51402823215251
Chaf1a,-0.385940028546463,-0.349729148301165,0.92549394154062,0.897936482172372,0.0270693802669269,-0.413333668130116,-0.0632310940333791,-0.197444547409956,-0.390524797763039,-0.212680197483024
Chek1,-0.325237226904784,-0.279279173282831,0.743353871093719,0.521311684544878,0.0964088443198247,-0.377841939658919,-0.0633621544767621,-0.331717586464804,-0.27043507000254,-0.246383455278729
Cip2a,-0.485656054989028,-0.484156945004178,-0.0270030188194769,0.63502111664551,1.32688615076284,-0.502047602362269,-0.344335448995121,-0.475900791543424,-0.514855386208643,-0.429782245836784
Ckap2,-0.536919072806241,-0.476161118395417,-0.0965187783017852,0.822639099427952,1.2277123076712,-0.263616446533756,-0.367817261489185,-0.546970537877241,-0.522940707746062,-0.435795837330974
Ckap2l,-0.471281100707012,-0.49831394834041,-0.125103737716222,0.99026693870008,1.14915099973575,-0.526936550861348,-0.399317786410737,-0.462767134321137,-0.510506816736271,-0.359753491192893
Cks2,-0.41576161244877,-0.443656532070828,-0.156918519549084,0.842353064160055,1.17013071675324,-0.517700776217122,-0.376421370662729,-0.564610214254562,-0.509846260458547,-0.447318251081418
Cldn11,-0.566246588952309,-0.150936773336454,0.118066535264693,0.193925671396649,0.168077776479209,1.9026901340151,0.264258402577179,-0.588864913107996,-0.164730666811952,-0.726672078452936
Clspn,-0.395014714423177,-0.385669290928536,0.827307002218223,1.21761638784225,0.0422379034497431,-0.487864773299511,-0.183658238652233,-0.228200568601759,-0.419064827119394,-0.235856499462557
Cmtm5,0.201666636691324,-0.0625341126183188,-0.144200770410997,-0.108576617222037,-0.193160367629723,0.440917423094423,1.00479210723641,-0.679657388027905,0.326892845974236,-0.420888417825372
Cnksr2,-0.134129079164876,-0.0583575430080906,0.0739554524676925,0.219719074276816,-0.0710594958280725,-0.277566315509081,-0.0561058656870531,1.02549656937494,-0.0852324544011491,-0.206817447422963
Cnn3,1.31281788713816,0.0866261595585652,-0.0709212305699448,-0.0518622278261588,0.082440925655433,-1.04512723196344,0.177441805583876,-1.12239963729784,-0.271365365378915,-0.452407510610195
Cntnap5b,-0.148864209654203,0.0148543071750089,-0.0296269244265715,-0.0719998035051992,-0.159731654934526,-0.250255708326265,-0.174487873792013,-0.29528738019519,0.908195056190898,-0.19682233869391
Col11a1,-0.963229678002947,0.127641645374289,-0.0103244562584725,-0.0648257158592548,-0.277757431924503,0.680183214668128,0.876797578443203,-0.761082630054305,0.010422395519093,-1.00345906805979
Col11a2,0.071459221343638,-0.216747515052513,-0.202057691496751,-0.137751780454455,-0.1675458535138,1.77209086092253,0.766294993977837,-0.0931317926432001,0.288773549430772,-0.256191461747949
Col20a1,0.274375947957225,-0.12437257121461,-0.146782331946705,-0.136292178536966,-0.134305805169508,1.39742514826998,0.102224669190306,0.0369394412496803,0.132464831530011,-0.186400093324729
Col9a3,0.105031075196022,-0.103911671012527,-0.040530235348954,-0.024501276701443,-0.117523941074075,1.69009750068884,0.551625574824621,-0.460380965064892,0.290058104412322,-0.533684965309561
Cox14,-0.0816744793458789,0.0267998316966755,-0.0475525522504883,-0.0701608809791946,-0.134260854789128,-0.0997817603228161,0.874981118870392,-0.825979162682254,-0.0537356548637578,-0.57270781895393
Cplx1,-0.276016957151676,-0.0193529598789455,0.0734986763816915,-0.0251232696168683,-0.116777649721271,-0.227966122905368,-0.240961870455503,1.14368332065405,0.24342494036653,-0.0993754932558462
Cplx2,0.0308364625742146,-0.0279638629475555,-0.0404131159121994,-0.0614228444232569,-0.0673259170439357,0.0789230690996823,-0.0410403363117029,1.19489023250322,-0.0274272631979067,-0.132228160671861
Cryab,0.898858284071079,-0.0227389447488819,-0.24403896800108,-0.206312727901293,-0.299388317422655,0.416185494007329,0.671973832212192,-0.144928935025365,0.479464437712578,-0.116390668751406
Cspg4,-0.970127832018943,0.149230429494016,0.0669640666670665,-0.12049021477483,-0.0523564697583869,-1.05803796690695,0.0848305843202312,-0.707371444206237,0.918573131373087,-0.823034309660881
Cst3,2.00230289156357,0.071511001337371,-0.102827070575455,-0.0951836017624446,-0.153367541078601,-0.0111383592182129,0.343924259496534,0.322697378252204,0.122560309818816,-0.827319858267128
Cthrc1,0.201711020357384,-0.16426305504957,-0.141598579105912,-0.093499370227063,-0.0426925681518739,-0.0419050747943652,0.9379731191211,-0.318046847656451,0.0823884624476583,-0.336977916324631
Ctnnal1,0.312172109743991,-0.0827315269795004,0.0469402752329226,0.0565481407997224,-0.183300456102845,1.52737988443347,0.131604808778344,-0.148978281170422,-0.0498235987684159,-0.220441314884509
Daam2,1.4731242552748,-0.113523046377916,-0.138756110623849,-0.105514933243003,-0.126924195521942,0.208848837398257,0.0853994678941113,-0.0422094784764766,-0.132832330429668,-0.148039013327085
Dap,0.181805825715985,-0.113257447348572,-0.108055516599474,-0.0835785363871391,-0.0878953734006765,-0.0487948836085074,1.11539919636254,-0.289324346818904,-0.0789692776908441,-0.31272922305988
Dbndd2,1.26818413944398,0.0412926875499531,-0.0596521100501342,-0.268040654027209,-0.193747019270229,1.3367234902493,0.15085527526259,0.371718454584023,-0.277295686541305,-0.162098968765434
