Level_4,nCount_RNA,nFeature_RNA,percent.mt
NKTB,4566,2344,0.985545335085414
Microglia,12482,3610,1.954814933504246
Neural,6182,3240,0.8573277256551277
Choroid,2033,861,2.6069847515986226
Microglia,8706,3212,0.16080863772111187
Astrocyte TE,4148,2229,3.3510125361620053
Astrocyte NT,7969,3098,0.5270422888693689
Microglia,9626,3093,1.1219613546644505
Macrophage,3642,1760,0.6040637012630422
Choroid,1960,1196,0.15306122448979592
Astrocyte NT,4440,2403,0.7657657657657657
OPC/COP/OLG,12613,5105,1.9186553555855068
OPC/COP/OLG,7451,3099,3.9726211246812504
Microglia,2443,1341,0.4093327875562832
Microglia,2877,1623,0.8689607229753215
Endothelial,7278,3316,1.1541632316570487
Choroid,1562,602,0.5761843790012804
OPC/COP/OLG,5476,3130,5.788897005113221
Microglia,8369,3239,0.27482375433146133
Astrocyte TE,1990,1320,2.21105527638191
Microglia,10515,3589,0.21873514027579646
Ependymal,25824,6752,0.10842627013630732
Astrocyte TE,1960,938,3.061224489795918
OPC/COP/OLG,18537,4849,2.3088957220693747
Microglia,11085,3690,0.6405051871898962
OPC/COP/OLG,19456,4730,3.2689144736842106
Microglia,11406,3379,0.7890583903208838
Microglia,1622,899,1.1097410604192355
Microglia,9126,3362,0.48213894367740523
OPC/COP/OLG,8622,4149,0.3827418232428671
Microglia,13467,3673,0.9133437291156159
Microglia,17489,4604,1.4409057121619304
OPC/COP/OLG,16142,5870,0.545161690001239
Astrocyte TE,4890,2582,1.329243353783231
Astrocyte TE,2899,1622,3.2769920662297345
Astrocyte NT,3200,1783,2.21875
Astrocyte TE,3200,1800,1.34375
Microglia,12102,3446,2.5202445876714594
Microglia,14088,4122,1.1002271436683702
Astrocyte TE,6461,3161,1.9965949543414332
OPC/COP/OLG,11466,5026,1.0727367870225013
Dendritic,3276,1506,0.9157509157509158
Astrocyte NT,8717,3329,1.7207754961569348
Microglia,13577,4057,0.6776165574132724
Astrocyte TE,5334,2544,5.680539932508436
Microglia,21869,4947,1.710183364579999
Astrocyte NT,4637,2743,1.3586370498166918
Astrocyte TE,2142,1385,2.707749766573296
Microglia,13261,3804,0.7691727622351255
Neural,7658,3663,1.149125097936798
Astrocyte NT,1898,910,7.32349841938883
Microglia,11549,3594,1.0563685167546975
Astrocyte TE,4221,2193,2.4164889836531627
Astrocyte NT,5717,2426,5.177540668182614
Neural,11858,4583,0.6156181480856806
Mural,13974,4963,3.9645055102332902
Choroid,5380,2072,1.412639405204461
Astrocyte NT,2854,1291,2.207428170988087
Neural,10680,4349,0.3651685393258427
Fibroblast,12942,4558,0.39406583217431623
Astrocyte TE,2381,1295,1.0499790004199916
OPC/COP/OLG,24337,5304,1.8161646875128403
Astrocyte NT,4604,2586,0.2172024326672459
Astrocyte TE,4569,2695,0.3939592908732764
OPC/COP/OLG,28080,5711,4.586894586894587
OPC/COP/OLG,20337,4893,1.7947583222697547
NKTB,6551,2938,1.129598534574874
Microglia,14844,4017,1.266504985179197
OPC/COP/OLG,25258,5289,2.288383878375168
Astrocyte TE,1029,651,9.912536443148689
Astrocyte TE,3382,2009,1.5966883500887048
Astrocyte NT,5190,2650,1.7148362235067438
Choroid,6836,2775,0.058513750731421885
Microglia,11006,3781,0.19989096856260222
Astrocyte TE,2276,1150,3.5588752196836557
Ambiguous,14031,5600,0.39911624260565887
Astrocyte TE,15497,4467,0.28392592114602827
Astrocyte TE,15246,4639,0.15085924176833268
OPC/COP/OLG,20949,5001,2.4153897560742754
Microglia,11469,3560,0.7324091027988491
Microglia,8601,2775,1.7207301476572492
Endothelial,11483,4315,0.48767743621004966
Microglia,13078,3861,0.8564000611714329
Microglia,10356,3481,0.29934337582078024
Microglia,9927,3440,0.705147577314395
Neural,5514,2982,0.6710192237939789
Endothelial,7152,3089,1.0486577181208054
Astrocyte TE,1051,644,1.7126546146527115
Microglia,6829,2902,0.17572118904671255
Mural,4113,2268,0.5835156819839533
OPC/COP/OLG,3580,2002,8.40782122905028
Astrocyte TE,4796,2501,3.23185988323603
Microglia,4397,2058,0.5003411416875142
Neural,8738,3795,0.5378805218585488
Endothelial,14903,4779,1.1138696906663088
Choroid,1444,600,1.5927977839335181
Ependymal,13332,4813,0.20252025202520252
Microglia,15382,4105,0.6956182551033676
Astrocyte TE,4634,2409,4.553301683211049
Astrocyte NT,10102,3706,3.167689566422491
Choroid,1789,935,1.5651201788708775
OPC/COP/OLG,14109,4061,2.579913530370685
Macrophage,1008,624,0.6944444444444444
Astrocyte TE,1004,654,9.46215139442231
Microglia,16232,4329,1.1828486939379004
Endothelial,16261,5039,0.6149683291310498
Microglia,7837,3077,0.6635192037769555
Astrocyte NT,2884,1675,1.4563106796116505
OPC/COP/OLG,13509,5247,0.34051373158634984
OPC/COP/OLG,2000,1058,2.6
Choroid,2835,1591,0.31746031746031744
Astrocyte NT,3228,1663,3.5006195786864933
Astrocyte TE,1511,942,6.750496360026473
Endothelial,10044,3918,1.1947431302270013
OPC/COP/OLG,5096,2766,1.6287284144427001
Astrocyte TE,2099,1427,3.0967127203430205
Microglia,10705,3479,0.35497431106959365
Astrocyte TE,1799,1218,2.2790439132851583
OPC/COP/OLG,9517,3640,0.5148681307134602
Neural,16473,5138,0.5949128877557215
Choroid,5466,2279,1.1891694109037687
Astrocyte TE,7740,3207,0.7881136950904392
Choroid,4252,2097,0.4233301975540922
OPC/COP/OLG,2729,1627,4.983510443385856
Astrocyte TE,967,632,5.067218200620475
Choroid,3146,1443,0.5085823267641449
Microglia,12652,3994,0.6085994309200127
OPC/COP/OLG,14183,5231,1.5158993160826342
Microglia,10132,3470,0.5823134622976708
Microglia,7300,2892,0.4794520547945206
OPC/COP/OLG,20183,5111,1.6647673784868453
OPC/COP/OLG,32052,5877,4.10582802945214
Microglia,17120,4262,1.5654205607476637
Endothelial,6774,3056,0.7381163271331562
Neural,2534,1667,7.813733228097869
Microglia,14134,4113,0.7287392104146031
Microglia,9872,3239,0.2633711507293355
Microglia,21916,5240,2.9567439313743384
Microglia,12963,3996,0.6171410938825889
OPC/COP/OLG,7147,3700,5.820624038057926
Endothelial,12940,4622,1.2287480680061824
Neural,25889,6385,0.5330449225539805
Microglia,12761,3847,0.8149831517906121
Microglia,9601,3337,0.26038954275596293
Microglia,16120,4111,1.2655086848635235
Microglia,2044,1133,0.3424657534246575
OPC/COP/OLG,24533,5290,6.9783556841804915
Microglia,9138,3412,0.8973517181002408
Choroid,2260,1166,1.1504424778761062
Microglia,10309,3456,0.36860995246871664
Astrocyte TE,1810,1207,0.49723756906077343
Mural,3490,1908,2.3782234957020054
Astrocyte NT,4948,2400,1.03071948261924
Neural,3761,2420,3.9351236373304976
Mural,3004,1859,2.0639147802929427
Astrocyte NT,9118,3382,1.8534766396139504
Neural,4678,2733,0.49166310389055157
Microglia,8494,3071,0.9065222510007064
Astrocyte NT,2529,1650,0.55357848952155
Astrocyte TE,4339,2186,0.5992164093109011
Neural,8846,4075,0.40696359936694554
Choroid,2336,986,0.9845890410958904
Microglia,11436,3655,0.36726128016789084
Microglia,2988,1298,1.706827309236948
Microglia,13416,3913,1.1627906976744187
Neural,21761,6197,1.1212720003676302
Astrocyte TE,3649,1806,1.4798574952041657
Endothelial,9787,3848,0.9808930213548586
Astrocyte TE,8895,3646,1.5964024732996067
Ependymal,17802,5523,0.3538928210313448
Astrocyte TE,5168,2828,2.225232198142415
Astrocyte TE,1813,1075,6.177606177606178
Microglia,10071,3520,0.6255585344057194
Choroid,3770,1540,0.42440318302387264
Microglia,15718,4770,0.6807481867922127
Astrocyte NT,1652,985,1.8159806295399514
Astrocyte NT,10564,3932,0.3502461188943582
Astrocyte TE,2442,1535,1.2285012285012284
Macrophage,13035,3594,0.6137322593018796
Astrocyte TE,1225,796,0.9795918367346939
Endothelial,7893,3457,1.4316482959584442
Neural,5964,3037,1.2072434607645874
Microglia,20740,4843,1.253616200578592
Microglia,17124,4399,1.6059331931791636
Microglia,18343,4355,0.9758490977484598
Astrocyte TE,985,687,2.4365482233502536
Microglia,16543,4596,1.366136734570513
Astrocyte TE,5821,2825,2.2332932485827177
Astrocyte NT,27945,5975,0.3256396493111469
OPC/COP/OLG,27919,5689,2.4893441742182745
OPC/COP/OLG,15806,4436,2.6129317980513727
Endothelial,2615,1668,0.9942638623326959
Astrocyte TE,1876,1185,1.652452025586354
Ependymal,15841,5466,0.13256738842244808
Microglia,10166,3754,0.4721621089907535
Astrocyte NT,8917,3124,0.1345744084333296
Astrocyte NT,3894,2393,0.5649717514124294
Microglia,12085,3846,0.3227141083988415
Microglia,10495,3468,0.981419723677942
Choroid,1266,823,1.263823064770932
Choroid,1459,803,1.5078821110349554
Endothelial,6057,2861,0.9245501073138518
Microglia,12612,3890,1.6412940057088488
Astrocyte TE,1410,861,9.219858156028367
Microglia,14603,3958,1.3627336848592755
Choroid,1054,726,1.5180265654648957
Microglia,8796,3372,0.5798090040927694
Endothelial,6500,2967,2.1384615384615384
Astrocyte TE,1309,793,6.646294881588998
Astrocyte TE,3960,1639,1.5909090909090908
OPC/COP/OLG,1863,1078,7.461084272678475
Microglia,9151,3438,0.9070046989400066
Microglia,14539,3822,0.8322443084118577
Microglia,4068,2019,0.7128810226155359
Endothelial,16564,5145,0.9055783627143201
Microglia,9472,3474,0.1266891891891892
Microglia,12388,3956,0.22602518566354535
Microglia,13796,4023,1.0655262394897071
Microglia,14724,4178,1.487367563162184
OPC/COP/OLG,10493,4747,0.35261602973410844
Choroid,1520,627,2.368421052631579
Astrocyte NT,2078,1293,6.9297401347449465
Choroid,8154,2328,1.0424331616384597
Choroid,6129,2496,0.32631750693424705
OPC/COP/OLG,20556,5045,3.346954660439774
OPC/COP/OLG,6694,2955,5.0194203764565275
OPC/COP/OLG,22240,5141,1.6771582733812949
Microglia,14240,4194,1.0674157303370786
Microglia,14676,4137,0.8040337966748433
Neural,6767,3359,0.76843505246047
Mural,4911,2401,1.5068214212991244
Astrocyte TE,2116,1467,1.606805293005671
OPC/COP/OLG,12222,5173,0.6136475208640157
Microglia,931,602,0.4296455424274973
Microglia,7562,3064,0.7273208145993124
Neural,10778,4270,0.29690109482278715
Choroid,4327,1815,0.09244280101687082
Microglia,7538,3364,0.4775802600159193
Microglia,8847,3158,0.5877698654911269
Microglia,6740,2766,0.20771513353115725
Choroid,5777,2470,0.43275056257573136
Astrocyte TE,8573,3245,7.838562930129476
Microglia,9814,3349,0.2547381292031791
Mural,2990,1866,0.6354515050167224
Neural,6888,3386,0.9146341463414633
Microglia,11610,3663,0.7579672695951766
Neural,19943,5916,0.4813719099433385
Microglia,21072,5190,0.5742217160212605
Microglia,12146,3673,1.10324386629343
Microglia,11424,3770,0.4726890756302521
OPC/COP/OLG,19725,6571,0.679340937896071
Neural,20316,5609,0.4676117345934239
OPC/COP/OLG,28259,5892,0.9059060830177996
OPC/COP/OLG,29248,5806,4.937089715536104
OPC/COP/OLG,15415,4496,0.8108984755108661
OPC/COP/OLG,12258,5276,0.2855278185674662
Microglia,10070,3377,1.727904667328699
Choroid,6253,2105,1.823124900047977
OPC/COP/OLG,10333,4728,0.35807606696990224
Choroid,1626,590,0.9225092250922509
Ambiguous,2002,745,7.792207792207792
Microglia,6785,2780,0.45689019896831246
Endothelial,16316,5075,0.79063495954890906
Endothelial,17810,5405,0.617630544637844
Microglia,2941,1492,1.0540632437946278
OPC/COP/OLG,24001,5399,2.9207116370151245
Choroid,6277,2748,1.4975306675163294
Endothelial,15223,4895,2.095513367930106
Astrocyte TE,3918,2123,6.2021439509954055
Microglia,9826,3496,0.4986769794422959
Endothelial,7083,3096,0.847098686997035
Neural,6158,3248,0.6333225073075673
Astrocyte NT,6717,3300,3.2157213041536403
Astrocyte TE,5531,2557,2.1515096727535705
Microglia,13590,3866,1.2362030905077264
Endothelial,8168,3292,0.5999020568070519
Choroid,2456,1045,1.017915309446254
OPC/COP/OLG,13759,3877,3.808416309324805
Endothelial,4414,2384,2.2202084277299505
Astrocyte TE,11785,4112,0.5939753924480272
Microglia,6795,2944,0.1177336276674025
Endothelial,7505,3226,2.664890073284477
Microglia,14574,4222,0.8233841086867023
Microglia,3019,1330,3.7098376946008615
Astrocyte TE,5311,2430,3.2762191677650163
Astrocyte TE,14075,4285,1.3783303730017762
Microglia,2377,1228,1.9352124526714347
Mural,5224,2737,0.7082695252679938
Microglia,8867,3291,0.2029998872222849
Choroid,7245,2668,0.6073153899240856
Astrocyte NT,3511,2058,2.3924807747080603
Neural,13724,4989,0.9472457009618187
Microglia,12912,3890,1.0223048327137547
Choroid,13085,3490,1.100496752006114
Fibroblast,27041,6429,1.9193077179098406
Microglia,8514,3073,0.5637773079633545
Neural,22382,6248,0.7640067911714771
Neural,6794,3058,1.2069473064468648
Choroid,2478,1265,0.3228410008071025
Microglia,4501,2248,0.06665185514330149
Endothelial,9826,3722,0.6411561164258092
Microglia,16023,4386,1.6538725581975908
Astrocyte NT,4015,2443,0.273972602739726
Microglia,1887,942,2.2257551669316373
Astrocyte TE,2422,1502,0.8670520231213872
Astrocyte TE,5185,1972,1.0028929604628736
Microglia,15590,4192,2.0782552918537522
Astrocyte TE,6255,3005,2.302158273381295
Astrocyte TE,4996,2577,0.9807846277021618
Microglia,12706,3868,0.7240673697465765
Astrocyte TE,2439,1519,1.7220172201722017
Endothelial,13642,4684,0.9236182377950448
Astrocyte NT,15127,4385,0.2710385403582997
Microglia,16328,4297,1.365752082312592
Astrocyte TE,4647,2322,2.022810415321713
Microglia,5713,2584,0.5251181515841064
Microglia,13412,3912,1.1258574410975246
Microglia,10444,3441,0.871313672922252
