Groups,Gene,Avg.Exp,P.Exp
Neoplastic (other),Basp1,2.484374363043284,97.08869126306934
Neoplastic (other),C4b,0.649647188134823,45.481312342266556
Neoplastic (other),Cd44,0.27975884859526956,27.664944117293594
Neoplastic (other),Cdkn2a,1.7463186689464545,88.43888955654369
Neoplastic (other),Fgfr3,0.04739115850172077,5.32387934142531
Neoplastic (other),Fxyd1,0.0658655127241272,7.1415695228938825
Neoplastic (other),Gfap,0.21194201412756797,18.23098185314265
Neoplastic (other),Id3,0.20891640856259255,18.912991227015986
Neoplastic (other),Id4,0.05782878001249351,6.339382285782959
Neoplastic (other),Ifitm3,0.3288044558738706,28.953851700516765
Neoplastic (other),Il1rap,1.5667862479470336,88.36077394543925
Neoplastic (other),Lhfpl3,2.103387916426179,95.47229900252373
Neoplastic (other),Lrig1,0.07875822223642819,9.512077875255379
Neoplastic (other),Marcksl1,2.640136468143421,97.4702559788487
Neoplastic (other),Pdpn,0.10678447880579198,12.429395505347914
Neoplastic (other),Sulf2,1.7338774018291978,91.8609542122341
Neoplastic (other),Tagln2,2.0124715598620004,93.28205744501862
Neoplastic (other),Tg-hPDGFB-nHA,2.9033865148246734,92.30861675279414
Neoplastic (other),Tg-RFP-1,0.9171570621361134,61.362816969114284
Neoplastic (other),Tmsb10,2.112146159782714,95.28602331450546
Neoplastic (other),Vim,3.341084650220584,97.42218483355366
Neoplastic ACR,Aqp4,0.9574901673074623,36.11738148984199
Neoplastic ACR,Basp1,1.7687395298647537,85.32731376975168
Neoplastic ACR,C4b,1.6048456575855563,74.04063205417607
Neoplastic ACR,Ccdc80,0.778103892933674,50.338600451467265
Neoplastic ACR,Cd44,1.2010182771414322,68.84875846501129
Neoplastic ACR,Cdkn2a,1.4882564795332454,82.39277652370203
Neoplastic ACR,Daam2,0.8946656311209349,61.8510158013544
Neoplastic ACR,Fgfr3,0.582849597089454,42.21218961625282
Neoplastic ACR,Fxyd1,1.0033876053443445,54.627539503386004
Neoplastic ACR,Gfap,2.0793920175174945,77.20090293453724
Neoplastic ACR,Gja1,0.5714532413965359,36.3431151241535
Neoplastic ACR,Id3,1.9357580454625714,84.19864559819413
Neoplastic ACR,Id4,1.0003246749996002,58.91647855530474
Neoplastic ACR,Ifitm3,0.854894168466662,57.56207674943566
Neoplastic ACR,Il1rap,1.3961220186170709,78.78103837471784
Neoplastic ACR,Lhfpl3,1.5452100188003075,81.7155756207675
Neoplastic ACR,Lrig1,1.2558581795775252,71.78329571106094
Neoplastic ACR,Marcksl1,2.6238718478434544,91.87358916478556
Neoplastic ACR,Mlc1,0.8583246737331932,52.144469525959366
Neoplastic ACR,Ntsr2,0.23286374211171254,15.575620767494355
Neoplastic ACR,P4ha3,0.7779809935017599,50.338600451467265
Neoplastic ACR,Pdpn,1.0174771855366507,66.36568848758465
Neoplastic ACR,Ptx3,0.843971170000297,51.24153498871332
Neoplastic ACR,Slc6a11,0.5291166083085045,31.376975169300223
Neoplastic ACR,Sulf2,1.6191961024659902,83.29571106094808
Neoplastic ACR,Tagln2,1.5287316795287258,83.7471783295711
