group.var,color.var,y,group_sum,y_scaled,color_var_sum,y_scaled_within_color,scaled_color_sum,y_scaled_all,.group
Healthy,Astrocyte TE,0.6296983758700696,4310,0.6296983758700696,2832,0.9583333333333334,2.0262450952715954,0.472960223602604,1
Healthy,Astrocyte NT,0.3556844547563805,4310,0.3556844547563805,1565,0.97955271565495206,2.0262450952715954,0.4834324919235173,1
Healthy,Astrocyte R,0.014617169373549885,4310,0.014617169373549885,713,0.08835904628330996,2.0262450952715954,0.043607284473878724,1
Primary,Astrocyte TE,0.1402439024390244,492,0.1402439024390244,2832,0.024364406779661018,0.6707797224985981,0.03632251536898828,2
Primary,Astrocyte NT,0.022357723577235773,492,0.022357723577235773,1565,0.007028753993610224,0.6707797224985981,0.010478483111309188,2
Primary,Astrocyte R,0.6910569105691057,492,0.6910569105691057,713,0.47685834502103785,0.6707797224985981,0.7109015508769118,2
Primary,Neopl-ACR,0.14634146341463414,492,0.14634146341463414,443,0.16252821670428894,0.6707797224985981,0.24229745064279073,2
Recurrent,Astrocyte TE,0.06524633821571238,751,0.06524633821571238,2832,0.01730225988700565,1.3029751822298066,0.013279040248023725,3
Recurrent,Astrocyte NT,0.02796271637816245,751,0.02796271637816245,1565,0.0134185303514377,1.3029751822298066,0.010298377539681386,3
Recurrent,Astrocyte R,0.41278295605858856,751,0.41278295605858856,713,0.43478260869565216,1.3029751822298066,0.33368448963977987,3
Recurrent,Neopl-ACR,0.4940079893475366,751,0.4940079893475366,443,0.837471783295711,1.3029751822298066,0.642738092572515,3
