signature,source,n_pat,mean_rho,se_rho
Nomura AC-like,Nomura 2025,59,0.42007498622396927,0.021721637407775638
Neopl-ACR (original),Ours (neoplastic),59,0.375730746150336,0.01919582033299789
Astrocyte R (ours),Ours (non-neopl ref),59,0.37346875304053206,0.019881298170443207
Neopl-ACR (refined),Ours (neoplastic),59,0.33091653072294475,0.017413359644369228
Neftel AC,Neftel 2019,59,0.3152279777789938,0.021358685824043943
Neftel MES1,Neftel 2019,59,0.26278184546949035,0.020861350733959637
Nomura Cilia-like,Nomura 2025,59,0.23672706566593849,0.023058635375172276
Richards Injury-Response (full),Richards 2021,59,0.15023294178506075,0.02026399839598869
Nomura MES-like,Nomura 2025,59,0.14010567622933587,0.01709986490114672
Neopl-COP (ours),Ours (neoplastic),59,0.07198807432460738,0.014655496743554606
Neftel OPC,Neftel 2019,59,0.06333357556068786,0.020478543609333037
Neopl-ECM (ours),Ours (neoplastic),59,0.03024291479607031,0.015764806136265713
Neftel MES2,Neftel 2019,59,0.021198532714332537,0.022230177492407972
Richards Developmental (full),Richards 2021,59,-0.0011675729004107145,0.02650435965685324
Nomura GPC-like,Nomura 2025,59,-0.002944733069294469,0.03026088602334178
Nomura Hypoxia,Nomura 2025,59,-0.009715111099348655,0.024114481863994053
Nomura NEU-like,Nomura 2025,59,-0.03350326444236512,0.02162465198579554
Neftel NPC2,Neftel 2019,59,-0.04083180306488128,0.01952323837176347
Neopl-NC (ours),Ours (neoplastic),59,-0.05215626858500746,0.015180852205996498
Neopl-OPC (ours),Ours (neoplastic),59,-0.059734802427383535,0.018487334665308032
Nomura NPC-like,Nomura 2025,59,-0.08883529535281245,0.020234953088161214
Neopl-CC/Bulk (ours),Ours (neoplastic),59,-0.13057321289673715,0.016520105579986302
Nomura Stress,Nomura 2025,59,-0.1351124510127901,0.018142222776689053
Nomura Cell cycle,Nomura 2025,59,-0.15597388706185103,0.014556718563728773
Neftel NPC1,Neftel 2019,59,-0.16652464543717344,0.01968214410800677
Nomura OPC-like,Nomura 2025,59,-0.18346274542573493,0.021681477171724348
