source,target,weight,vertex_size
Astrocyte R,Astrocyte R,0.9100291613420979,650
Astrocyte R,Neopl-Bulk,0.42068105264374633,13798
Astrocyte R,Neopl-CC-I,0.424063957992069,2692
Astrocyte R,Neopl-CC-II,0.3473395287594342,3652
Astrocyte R,Neopl-CC-III,0.32297082719054115,5647
Astrocyte R,Neopl-OPC,0.3406466630796819,1599
Astrocyte R,Neopl-COP,0.13662986433131094,766
Astrocyte R,Neopl-NC,0.06248427772986848,90
Astrocyte R,Neopl-ACR,0.7266272613443988,443
Astrocyte R,Neopl-ECM,0.5837193174242279,2700
Astrocyte R,Neopl-RNA-low,0.05014345343588049,2340
