source,target,weight,vertex_size
Astrocyte R,Astrocyte R,1.0408718932482413,650
Astrocyte R,Neopl-Bulk,0.9208917443346696,13798
Astrocyte R,Neopl-CC-I,0.861161029582113,2692
Astrocyte R,Neopl-CC-II,0.8020747956527352,3652
Astrocyte R,Neopl-CC-III,0.8158208133285332,5647
Astrocyte R,Neopl-OPC,0.8380212188855907,1599
Astrocyte R,Neopl-COP,0.30170545000333976,766
Astrocyte R,Neopl-NC,0.10724317478730959,90
Astrocyte R,Neopl-ACR,0.8062787968969852,443
Astrocyte R,Neopl-ECM,0.8561875371242665,2700
Astrocyte R,Neopl-RNA-low,0.10869784449045092,2340
