CellType,Weight,Count,Size,Color
Astrocyte R,0.9100291613420979,29,650,#B8D53D
Neopl-Bulk,1.1764430277967475,24,13798,#00BFFF
Neopl-CC-I,0.9822986171140732,23,2692,#F8BBD0
Neopl-CC-II,0.8806896523753494,22,3652,#F48FB1
Neopl-CC-III,0.7282163587966128,20,5647,#D5006D
Neopl-OPC,0.918854712858927,24,1599,#0065A2
Neopl-COP,1.5081422421404134,24,766,#00B0BA
Neopl-NC,0.4887916957940025,18,90,#50CF57
Neopl-ACR,1.783065850000748,41,443,#F86814
Neopl-ECM,1.7559903197728317,37,2700,#F5A623
Neopl-RNA-low,0.08295335955528804,2,2340,#AED6F1
