CellType,Weight,Count,Size,Color
Astrocyte R,0.9100291613420979,29,650,#B8D53D
Neopl-Bulk,0.42068105264374633,30,13798,#00BFFF
Neopl-CC-I,0.424063957992069,27,2692,#F8BBD0
Neopl-CC-II,0.3473395287594342,23,3652,#F48FB1
Neopl-CC-III,0.32297082719054115,22,5647,#D5006D
Neopl-OPC,0.3406466630796819,18,1599,#0065A2
Neopl-COP,0.13662986433131094,14,766,#00B0BA
Neopl-NC,0.06248427772986848,11,90,#50CF57
Neopl-ACR,0.7266272613443988,34,443,#F86814
Neopl-ECM,0.5837193174242279,24,2700,#F5A623
Neopl-RNA-low,0.05014345343588049,7,2340,#AED6F1
