CellType,Weight,Count,Size,Color
Astrocyte R,1.0408718932482413,23,650,#B8D53D
Neopl-Bulk,0.8786725415778013,25,13798,#00BFFF
Neopl-CC-I,0.8685041046550307,25,2692,#F8BBD0
Neopl-CC-II,0.8628681655788817,21,3652,#F48FB1
Neopl-CC-III,0.7155609007034145,19,5647,#D5006D
Neopl-OPC,1.0346165247743904,22,1599,#0065A2
Neopl-COP,0.40909909095986735,15,766,#00B0BA
Neopl-NC,0.29520159962023335,8,90,#50CF57
Neopl-ACR,1.026675801912518,19,443,#F86814
Neopl-ECM,1.4059989743511954,22,2700,#F5A623
Neopl-RNA-low,0.07500944378275727,5,2340,#AED6F1
