CellType,Weight,Count,Size,Color
Astrocyte R,1.0408718932482413,23,650,#B8D53D
Neopl-Bulk,0.9208917443346696,23,13798,#00BFFF
Neopl-CC-I,0.861161029582113,21,2692,#F8BBD0
Neopl-CC-II,0.8020747956527352,19,3652,#F48FB1
Neopl-CC-III,0.8158208133285332,19,5647,#D5006D
Neopl-OPC,0.8380212188855907,17,1599,#0065A2
Neopl-COP,0.30170545000333976,17,766,#00B0BA
Neopl-NC,0.10724317478730959,8,90,#50CF57
Neopl-ACR,0.8062787968969852,26,443,#F86814
Neopl-ECM,0.8561875371242665,22,2700,#F5A623
Neopl-RNA-low,0.10869784449045092,2,2340,#AED6F1
