CellType,Weight,Count,Size,Color
Astrocyte TE/NT,0.9832332685008797,18,150,#82AC7C
Astrocyte R,0.9737432979626187,24,650,#B8D53D
OPC/COP/OLG,0.7482569488573111,17,1662,#0065A2
Neural,0.27640453403696547,9,287,#3CB371
Microglia,0.8834825525527874,19,3025,#ED8A68
Macrophage,0.7858035642894011,15,3083,#CC1212
Dendritic,0.3854503457523668,5,595,#FF69B4
Neutrophil,0.3344909995046888,10,104,#800080
NKTB,0.18845038016800758,6,813,#87CEEB
Fibroblast,1.1056674682173968,29,191,#E4D938
Mural,1.0654156613597403,28,57,#DF8008
Endothelial,0.5473143358804066,18,297,#60330D
Neoplastic,1.0999926542532688,26,33727,#F4B7C7
