"CellType","Weight","Count","Size","Color"
"Astrocyte TE/NT",0.98323326850088,18,150,"#82AC7C"
"Astrocyte R",0.973743297962619,24,650,"#B8D53D"
"OPC/COP/OLG",0.748256948857311,17,1662,"#0065A2"
"Neural",0.276404534036965,9,287,"#3CB371"
"Microglia",0.883482552552787,19,3025,"#ED8A68"
"Macrophage",0.785803564289401,15,3083,"#CC1212"
"Dendritic",0.385450345752367,5,595,"#FF69B4"
"Neutrophil",0.334490999504689,10,104,"#800080"
"NKTB",0.188450380168008,6,813,"#87CEEB"
"Fibroblast",1.1056674682174,29,191,"#E4D938"
"Mural",1.06541566135974,28,57,"#DF8008"
"Endothelial",0.547314335880407,18,297,"#60330D"
"Neoplastic",1.09999265425327,26,33727,"#F4B7C7"
