CellType,Weight,Count,Size,Color
Astrocyte TE/NT,0.9488078966057513,24,150,#82AC7C
Astrocyte R,0.9737432979626187,24,650,#B8D53D
OPC/COP/OLG,0.6388823557157933,18,1662,#0065A2
Neural,0.14637791198211275,13,287,#3CB371
Microglia,0.4816787574837784,13,3025,#ED8A68
Macrophage,0.5123173558951266,16,3083,#CC1212
Dendritic,0.03657146615113488,6,595,#FF69B4
Neutrophil,0.01591279034492337,4,104,#800080
NKTB,0.14220306907973654,6,813,#87CEEB
Fibroblast,0.3981507764196123,23,191,#E4D938
Mural,0.581282802962555,29,57,#DF8008
Endothelial,0.3878467380385697,19,297,#60330D
Neoplastic,0.8012536197172795,24,33727,#F4B7C7
