"CellType","Weight","Count","Size","Color"
"Astrocyte TE/NT",0.948807896605751,24,150,"#82AC7C"
"Astrocyte R",0.973743297962619,24,650,"#B8D53D"
"OPC/COP/OLG",0.638882355715793,18,1662,"#0065A2"
"Neural",0.146377911982113,13,287,"#3CB371"
"Microglia",0.481678757483778,13,3025,"#ED8A68"
"Macrophage",0.512317355895127,16,3083,"#CC1212"
"Dendritic",0.0365714661511349,6,595,"#FF69B4"
"Neutrophil",0.0159127903449234,4,104,"#800080"
"NKTB",0.142203069079737,6,813,"#87CEEB"
"Fibroblast",0.398150776419612,23,191,"#E4D938"
"Mural",0.581282802962555,29,57,"#DF8008"
"Endothelial",0.38784673803857,19,297,"#60330D"
"Neoplastic",0.80125361971728,24,33727,"#F4B7C7"
