CellType,Weight,Count,Size,Color
Astrocyte R,0.7266272613443988,34,650,#B8D53D
Neopl-Bulk,0.8871355071572299,24,13798,#00BFFF
Neopl-CC-I,0.6778524997943832,22,2692,#F8BBD0
Neopl-CC-II,0.6380109627056758,22,3652,#F48FB1
Neopl-CC-III,0.47099555944453414,19,5647,#D5006D
Neopl-OPC,0.7171865730911611,27,1599,#0065A2
Neopl-COP,1.249818978769206,29,766,#00B0BA
Neopl-NC,0.33484637514648496,18,90,#50CF57
Neopl-ACR,1.549370687153112,50,443,#F86814
Neopl-ECM,1.5586723367189763,45,2700,#F5A623
Neopl-RNA-low,0.03715664671263105,2,2340,#AED6F1
