CellType,Weight,Count,Size,Color
Astrocyte R,1.783065850000748,41,650,#B8D53D
Neopl-Bulk,1.2857143374441624,59,13798,#00BFFF
Neopl-CC-I,1.1828189960711437,51,2692,#F8BBD0
Neopl-CC-II,0.9011326061141931,41,3652,#F48FB1
Neopl-CC-III,0.8055028607602029,39,5647,#D5006D
Neopl-OPC,1.0386612796139172,34,1599,#0065A2
Neopl-COP,0.42872731360299715,20,766,#00B0BA
Neopl-NC,0.08162569883362045,9,90,#50CF57
Neopl-ACR,1.549370687153112,50,443,#F86814
Neopl-ECM,1.368951902298917,42,2700,#F5A623
Neopl-RNA-low,0.043561659585691255,6,2340,#AED6F1
