CellType,Weight,Count,Size,Color
Astrocyte R,0.8062787968969852,26,650,#B8D53D
Neopl-Bulk,0.8353124588849298,33,13798,#00BFFF
Neopl-CC-I,0.8429949536084015,33,2692,#F8BBD0
Neopl-CC-II,0.7750800571197588,26,3652,#F48FB1
Neopl-CC-III,0.6708405330130336,25,5647,#D5006D
Neopl-OPC,0.7637217712060883,28,1599,#0065A2
Neopl-COP,0.3821415454058815,13,766,#00B0BA
Neopl-NC,0.2076989868079622,9,90,#50CF57
Neopl-ACR,0.6412665081748025,19,443,#F86814
Neopl-ECM,1.3187008867862677,27,2700,#F5A623
Neopl-RNA-low,0.04135926328349471,5,2340,#AED6F1
