CellType,Weight,Count,Size,Color
Astrocyte R,1.026675801912518,19,650,#B8D53D
Neopl-Bulk,0.8266363959454933,15,13798,#00BFFF
Neopl-CC-I,0.8740156031455929,18,2692,#F8BBD0
Neopl-CC-II,0.8325553580729749,18,3652,#F48FB1
Neopl-CC-III,0.8406975823893708,16,5647,#D5006D
Neopl-OPC,0.9007840029061843,11,1599,#0065A2
Neopl-COP,0.21385639953447008,8,766,#00B0BA
Neopl-NC,0.09959912977413857,5,90,#50CF57
Neopl-ACR,0.6412665081748025,19,443,#F86814
Neopl-ECM,0.6965658253480076,16,2700,#F5A623
Neopl-RNA-low,0,0,2340,#AED6F1
