CellType,Weight,Count,Size,Color
Astrocyte TE/NT,0.8220882193229817,15,150,#82AC7C
Astrocyte R,0.8012536197172795,24,650,#B8D53D
OPC/COP/OLG,0.6865054688897023,20,1662,#0065A2
Neural,0.2526992266526509,10,287,#3CB371
Microglia,0.47744832042615704,14,3025,#ED8A68
Macrophage,0.40302573436450584,9,3083,#CC1212
Dendritic,0.21243267632870327,4,595,#FF69B4
Neutrophil,0.1499983887358828,5,104,#800080
NKTB,0.03230688043420426,3,813,#87CEEB
Fibroblast,0.6764946226920957,26,191,#E4D938
Mural,0.748634201810343,28,57,#DF8008
Endothelial,0.20469096855912738,13,297,#60330D
Neoplastic,0.9167831461020041,30,33727,#F4B7C7
