"CellType","Weight","Count","Size","Color"
"Astrocyte TE/NT",0.822088219322982,15,150,"#82AC7C"
"Astrocyte R",0.80125361971728,24,650,"#B8D53D"
"OPC/COP/OLG",0.686505468889702,20,1662,"#0065A2"
"Neural",0.252699226652651,10,287,"#3CB371"
"Microglia",0.477448320426157,14,3025,"#ED8A68"
"Macrophage",0.403025734364506,9,3083,"#CC1212"
"Dendritic",0.212432676328703,4,595,"#FF69B4"
"Neutrophil",0.149998388735883,5,104,"#800080"
"NKTB",0.0323068804342043,3,813,"#87CEEB"
"Fibroblast",0.676494622692096,26,191,"#E4D938"
"Mural",0.748634201810343,28,57,"#DF8008"
"Endothelial",0.204690968559127,13,297,"#60330D"
"Neoplastic",0.916783146102004,30,33727,"#F4B7C7"
