CellType,Weight,Count,Size,Color
Astrocyte TE/NT,0.9479628447328966,27,150,#82AC7C
Astrocyte R,1.0999926542532688,26,650,#B8D53D
OPC/COP/OLG,0.7070125579277999,22,1662,#0065A2
Neural,0.30539824044667807,17,287,#3CB371
Microglia,0.4611172925381767,13,3025,#ED8A68
Macrophage,0.6685029062278071,20,3083,#CC1212
Dendritic,0.2168802640772619,8,595,#FF69B4
Neutrophil,0.08992860769746874,3,104,#800080
NKTB,0.21747675489114526,7,813,#87CEEB
Fibroblast,0.5540770628526062,26,191,#E4D938
Mural,0.7285347905732684,30,57,#DF8008
Endothelial,0.38242189463130466,22,297,#60330D
Neoplastic,0.9167831461020041,30,33727,#F4B7C7
