"CellType","Weight","Count","Size","Color"
"Astrocyte TE/NT",0.947962844732897,27,150,"#82AC7C"
"Astrocyte R",1.09999265425327,26,650,"#B8D53D"
"OPC/COP/OLG",0.7070125579278,22,1662,"#0065A2"
"Neural",0.305398240446678,17,287,"#3CB371"
"Microglia",0.461117292538177,13,3025,"#ED8A68"
"Macrophage",0.668502906227807,20,3083,"#CC1212"
"Dendritic",0.216880264077262,8,595,"#FF69B4"
"Neutrophil",0.0899286076974687,3,104,"#800080"
"NKTB",0.217476754891145,7,813,"#87CEEB"
"Fibroblast",0.554077062852606,26,191,"#E4D938"
"Mural",0.728534790573268,30,57,"#DF8008"
"Endothelial",0.382421894631305,22,297,"#60330D"
"Neoplastic",0.916783146102004,30,33727,"#F4B7C7"
