source,target,weight,vertex_size
Neopl-ACR,Astrocyte R,1.026675801912518,650
Neopl-ACR,Neopl-Bulk,0.8266363959454933,13798
Neopl-ACR,Neopl-CC-I,0.8740156031455929,2692
Neopl-ACR,Neopl-CC-II,0.8325553580729749,3652
Neopl-ACR,Neopl-CC-III,0.8406975823893708,5647
Neopl-ACR,Neopl-OPC,0.9007840029061843,1599
Neopl-ACR,Neopl-COP,0.21385639953447008,766
Neopl-ACR,Neopl-NC,0.09959912977413857,90
Neopl-ACR,Neopl-ACR,0.6412665081748025,443
Neopl-ACR,Neopl-ECM,0.6965658253480076,2700
Neopl-ACR,Neopl-RNA-low,0,2340
