name,contribution,contribution.scaled,group,contribution.relative.1,pvalues
THBS,0,0,primary,Inf,0
TENASCIN,0.022618068153107698,0.263921446128695,primary,1.7,0
COLLAGEN,0.03702459764983294,0.30338215408054364,primary,1.4,0
AGRN,0.04791532138446766,0.32912925956035033,primary,1,0
FN1,0.1463110302643662,0.5202857924338674,primary,0.9,0
LAMININ,0.11893100306285412,0.4696573721242949,primary,0.5,0
THBS,0.013350896267433665,0.23168679458242927,recurrent,Inf,0
TENASCIN,0.0377316612939831,0.30513334539802733,recurrent,1.7,0
COLLAGEN,0.05150358899786736,0.3371426196340933,recurrent,1.4,0
AGRN,0.049805356969504354,0.3333741459888546,recurrent,1,0
FN1,0.13358191986898252,0.49676102932763405,recurrent,0.9,0
LAMININ,0.059023518915552214,0.35337945569565654,recurrent,0.5,0
