name,contribution,contribution.scaled,group,contribution.relative.1,pvalues
GAS,0,0,primary,Inf,0
WNT,0.004904522911627469,0.18805485149932455,primary,3.8,0
EGF,0.00579729513214845,0.19416104058694156,primary,1.4,0
PSAP,0.14830966161195325,0.5239846416866787,primary,1,0
ENHO,0.002043496929654979,0.1614702119222006,primary,0.9,0
FGF,0.004610215029888707,0.18589154625007648,primary,0.9,0
BMP,0.012898248394756182,0.22984998499567247,primary,0.9,0
PTPR,0.053321316983602846,0.3411317083031806,primary,0.8,0
PTN,0.5971742659796391,1.9396899746562755,primary,0.8,0
NT,0.009607622465465107,0.21527605384845822,primary,0.7,0
GRN,0.006819148670867209,0.20048032506758692,primary,0,0
GAS,0.027452648785178866,0.2781414770584861,recurrent,Inf,0
WNT,0.018737562220351896,0.2514315826065918,recurrent,3.8,0
EGF,0.008332416542035906,0.20887284476401566,recurrent,1.4,0
PSAP,0.15358031179877701,0.5337513261300619,recurrent,1,0
ENHO,0.0018924407199960313,0.1594924847877676,recurrent,0.9,0
FGF,0.004270237730805824,0.18328157594530525,recurrent,0.9,0
BMP,0.011172071689688812,0.2225021688136862,recurrent,0.9,0
PTPR,0.04324414054657289,0.31838073762846036,recurrent,0.8,0
PTN,0.504775972872649,1.4627569653250176,recurrent,0.8,0
NT,0.006546105726289683,0.19885123831509147,recurrent,0.7,0
GRN,0,0,recurrent,0,0
