interaction_label,source,target,ligand.complex,receptor.complex,sample_type,aggregate_rank,neg_log10_rank,n_cells_source,n_cells_target
Astrocyte R__Neoplastic__Dkk3_Kremen1,Astrocyte R,Neoplastic,Dkk3,Kremen1,Recurrent,0.006622990549790931,2.1789458646385382,310,16928
Astrocyte R__Neoplastic__Ncam1_Ncam2,Astrocyte R,Neoplastic,Ncam1,Ncam2,Recurrent,0.006622990549790931,2.1789458646385382,310,16928
Astrocyte R__Neoplastic__Nrxn2_Nlgn2,Astrocyte R,Neoplastic,Nrxn2,Nlgn2,Recurrent,0.006622990549790931,2.1789458646385382,310,16928
Astrocyte R__Neoplastic__Nrxn2_Nlgn3,Astrocyte R,Neoplastic,Nrxn2,Nlgn3,Recurrent,0.006622990549790931,2.1789458646385382,310,16928
Astrocyte R__Neoplastic__Pdgfa_Pdgfra,Astrocyte R,Neoplastic,Pdgfa,Pdgfra,Recurrent,0.006622990549790931,2.1789458646385382,310,16928
Astrocyte R__Neoplastic__Dkk3_Kremen1,Astrocyte R,Neoplastic,Dkk3,Kremen1,Primary,0.020814650654965367,1.681630873746409,340,16799
Astrocyte R__Neoplastic__Ncam1_Ncam2,Astrocyte R,Neoplastic,Ncam1,Ncam2,Primary,0.055737410544860325,1.2538532116578953,340,16799
Astrocyte R__Neoplastic__Nrxn2_Nlgn2,Astrocyte R,Neoplastic,Nrxn2,Nlgn2,Primary,0.06377238719951574,1.1953673257103723,340,16799
Astrocyte R__Neoplastic__Nrxn2_Nlgn3,Astrocyte R,Neoplastic,Nrxn2,Nlgn3,Primary,0.07008029481785824,1.1544040798208592,340,16799
Astrocyte R__Neoplastic__Pdgfa_Pdgfra,Astrocyte R,Neoplastic,Pdgfa,Pdgfra,Primary,0.02212782020412509,1.6550613660070699,340,16799
Astrocyte R__Neoplastic__Bcan_Nrcam,Astrocyte R,Neoplastic,Bcan,Nrcam,Recurrent,0.024133161193919964,1.6173857862903596,310,16928
Astrocyte R__Neoplastic__Bcan_Nrcam,Astrocyte R,Neoplastic,Bcan,Nrcam,Primary,0.008713752632074873,2.0597947730724875,340,16799
Astrocyte R__Neoplastic__Mfge8_Itgav,Astrocyte R,Neoplastic,Mfge8,Itgav,Recurrent,0.07745977962928664,1.1109237429027494,310,16928
Astrocyte R__Neoplastic__Mfge8_Itgav,Astrocyte R,Neoplastic,Mfge8,Itgav,Primary,0.010270267273857372,1.988418254158221,340,16799
Astrocyte R__Neoplastic__Slitrk2_Ptprs,Astrocyte R,Neoplastic,Slitrk2,Ptprs,Recurrent,0.011537646185250123,1.9378827832968866,310,16928
Astrocyte R__Neoplastic__Slitrk2_Ptprs,Astrocyte R,Neoplastic,Slitrk2,Ptprs,Primary,0.3112434891377465,0.5068997247512252,340,16799
Astrocyte R__Neoplastic__Il34_Ptprz1,Astrocyte R,Neoplastic,Il34,Ptprz1,Recurrent,0.01155898650344198,1.9370802433599998,310,16928
Astrocyte R__Neoplastic__Il34_Ptprz1,Astrocyte R,Neoplastic,Il34,Ptprz1,Primary,0.052359773601751855,1.2810022399616647,340,16799
Astrocyte R__Neoplastic__Col4a5_Itgav_Itgb8,Astrocyte R,Neoplastic,Col4a5,Itgav_Itgb8,Recurrent,0.07587110167245163,1.1199236097965763,310,16928
