pathway,pval,padj,log2err,ES,NES,size,leadingEdge,metabolic
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9.304737656938453e-28,1.1630922071173066e-26,1.3651796021616889,0.7531501523731147,2.729068182375544,158,Ptx3;Col5a2;Cxcl1;Sntb1;Tagln;Col6a2;Crlf1;Gja1;Fstl3;Loxl1;Thbs2;Mgp;Col1a2;Bgn;Matn2;Ecm1;Snai2;Rgs4;Fn1;Serpine1;Sparc;Ccn2;Nid2;Myl9;Fstl1;Gadd45b;Cd44;Timp3;Col1a1;Col12a1;Col5a3;Fbln2;Slit3;Postn;Tgfbr3;Thy1;Vcam1;Sdc4;Fbln5;Itgb5;Fas;Itga2;Ccn1;Htra1;Acta2;Gem;Itga5;Bdnf;Wnt5a;Notch2;Tgfbi;Tgfb1;Tgm2;Thbs1;Fgf2;Capg;Sat1;Gadd45a;Col4a1;Lox;Pdlim4;Id2;Mmp14;Serpinh1;Spock1;Col4a2;Lamc1;Timp1;Loxl2;Lama2;Ntm;Igfbp2;Pcolce;Efemp2;Dst;Cthrc1;Spp1;Tnfaip3;Itgb3;Vegfc;Col5a1;Fzd8;Slc6a8;Tnc;Emp3;Bmp1;Sfrp1;Jun;Col16a1;Gas1;Flna;Plod1;Tnfrsf11b;Sgcd;Calu;Sgcb,FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB,6.507496840761295e-15,6.507496840761295e-14,0.9969862175331805,0.6569999590365416,2.391167198615335,161,Ptx3;Cxcl1;Ccl2;Sphk1;Serpine1;Ptgs2;Cebpd;Lif;Gadd45b;Cd44;Birc3;Map3k8;Sdc4;Atf3;Zc3h12a;Cxcl10;Abca1;Ccn1;Hbegf;Gem;Cebpb;Stat5a;Tlr2;Nfkb2;Nfkbia;Zfp36;Plpp3;Sat1;Gadd45a;Ier3;Dusp1;Id2;Nfe2l2;Il6st;Socs3;Junb;Tnfaip2;Icam1;Relb;Bcl3;Fjx1;Bcl6;Btg2;B4galt1;Tnfsf9;Cflar;Tgif1;Bhlhe40;Nr4a3;Litaf;Csf1;Ackr3;Fos;Trip10;Nr4a2;Ninj1;Fosl2;Pfkfb3;Serpinb8;Tnfaip3;Nr4a1;Klf4;Tnc;Sqstm1;Klf2;Btg1;Jun;Ripk2;Ccrl2;Klf9;Mxd1;Dusp5;Gfpt2;Efna1;Klf6;Ldlr;Trib1;Pmepa1;Birc2;Mcl1;Spsb1;Ier2;Egr1;Jag1;Maff;F3;Per1;Plau;Vegfa;Slc2a6;Irf1,FALSE
HALLMARK_INFLAMMATORY_RESPONSE,1.3203704446698216e-12,7.279708202630736e-12,0.9101197347744591,0.6865352808841032,2.3518531638094298,106,Osmr;Slc4a4;Pdpn;Ccl2;Ahr;Sphk1;Serpine1;Il1r1;Lif;Slc7a2;Met;Lpar1;Rgs16;Slc1a2;Has2;Rasgrp1;Cxcl10;Abca1;Hbegf;Itga5;Tlr2;Tlr3;Nfkbia;Mmp14;Irak2;Tapbp;Timp1;Icam1;Btg2;Tnfsf9;Chst2;Ndp;Sgms2;Axl;Bst2;Cd14;P2rx4;Csf1;Fzd5;Itgb3;Tpbg;Lck;Emp3;Scn1b;Il4ra;Ripk2;Ccrl2;Cd82;Mxd1;Slc11a2;P2ry2;Slc31a2;Klf6;Ldlr;Rhog,FALSE
HALLMARK_MYOGENESIS,9.47510555261149e-13,5.921940970382181e-12,0.9101197347744591,0.6689269891980454,2.336065456155131,122,Apod;Tagln;Col6a2;Fxyd1;Fst;Sod3;Itgb4;Sphk1;Igfbp7;Clu;Sparc;Hspb8;Gadd45b;Wwtr1;Ppp1r3c;Col1a1;Itgb5;Ablim1;Mef2c;Sorbs1;Hbegf;Tnni1;Cox7a1;Myl1;Prnp;Tgfb1;Fgf2;Cryab;Itga7;Cnn3;Scd1;Col4a2;Ak1;Fkbp1b;Sspn;Lama2;Erbb3;Bhlhe40;Scd2;Pfkm;Dmd;Agrn;Rb1;Slc6a8;Col15a1;Svil;App;Myl6b;Sgcd;Pcx;Crat;Aebp1;Sorbs3,FALSE
HALLMARK_COAGULATION,8.033816780123471e-10,3.651734900056124e-9,0.8012155746177786,0.7115238718663712,2.310199180859173,71,C1s1;Serping1;Prss23;Fn1;Serpine1;Clu;Sparc;Ctsh;Apoc1;Timp3;Trf;Mmp11;Crip2;Itga2;Htra1;Klk8;Dct;Thbs1;Ctsb;A2m;Ctsl;Plat;Mmp14;Ctso;Timp1;Capn2;Lamp2;Lgmn;Csrp1;Itgb3;Capn5;Furin;Pros1;Bmp1,FALSE
HALLMARK_HYPOXIA,1.455941640526147e-12,7.279708202630736e-12,0.9101197347744591,0.6328272531075394,2.298284629422533,160,Pgf;Bgn;S100a4;Angptl4;Hs3st1;Serpine1;Cp;Ccn2;Kdelr3;Lxn;Ndrg1;Ppp1r3c;Sdc4;Gcnt2;Gpc4;Atf3;Cavin1;Mt2;Ccn1;Cxcr4;Egfr;Ncan;Tgfbi;Aldoc;Anxa2;Tgm2;Zfp36;Mt1;Ier3;Lox;Dusp1;P4ha2;Cav1;Kif5a;Nedd4l;Hmox1;Chst2;Bhlhe40;Rora;Ppargc1a;Sdc2;Ackr3;Fos;Fosl2;Pfkfb3;Tnfaip3;Mxi1;Bcan;Col5a1;Ugp2;Ampd3;Tpbg;Btg1;Jun;Pam;Bcl2;Nr3c1;Ets1;Prkca;Cavin3;Ilvbl;Efna1;Klhl24;Klf6;Cdkn1c;Slc25a1;Tgfb3;Hexa;Gbe1;Igfbp3;Ndst1;Tpst2;Errfi1;Maff;F3;Vegfa;Ddit3;Pfkp;Slc2a1,FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING,4.329381141941775e-9,1.665146593054529e-8,0.7614608014455848,0.7242321133471541,2.27453476414384,56,Cxcl1;Osmr;Cd38;Il1r1;Cd44;Il13ra1;Map3k8;Fas;Cxcl10;Acvrl1;Il17ra;Tlr2;Tgfb1;A2m;Il17rb;Il3ra;Il6st;Socs3;Hmox1;Cd14;Tnfrsf21;Csf1;Myd88;Itgb3;Il4ra;Jun;Cntfr;Ifngr1;Tyk2;Il10rb,FALSE
HALLMARK_UV_RESPONSE_DN,2.1350384672157337e-9,8.895993613398892e-9,0.7749390301364363,0.5986533161517807,2.124199892851045,134,Col5a2;Gja1;Igfbp5;Erbb2;Col1a2;Snai2;Rgs4;Serpine1;Met;Lpar1;Id1;Col1a1;Tgfbr3;Fbln5;Has2;Anxa4;Ccn1;Smad7;Nrp1;Bdnf;Notch2;Anxa2;Plpp3;Mt1;Ltbp1;Dusp1;Ptprm;Runx1;Lamc1;Tgfbr2;Cav1;Bmpr1a;Rnd3;Atp2b4;Bhlhe40;Atxn1;Dbp;Sdc2;Fzd2;Dlc1;Itgb3;Mgll,FALSE
HALLMARK_IL2_STAT5_SIGNALING,1.416558644212974e-8,5.059138015046336e-8,0.7477396631498854,0.5862707754338902,2.1022884180908816,142,Col6a1;Lrig1;Dhrs3;Ahnak;Itga6;Ecm1;Ahr;Fgl2;Myo1e;Lif;Ndrg1;Gadd45b;Rgs16;Cd44;Plec;Map3k8;Glipr2;Car2;Plpp1;Anxa4;Cxcl10;Nrp1;Prnp;Itih5;Tgm2;Capg;Ifitm3;Pth1r;Lrrc8c;Il3ra;Plscr1;Hopx;Bmpr2;Smpdl3a;Slc39a8;Batf3;Bhlhe40;Ctsz;P2rx4;Rora;Tnfrsf21;Csf1;Spp1;Wls;Furin;Il4ra;Plagl1;Ikzf2;Etfbkmt;Bcl2;Nfkbiz;Serpinb6a;Enpp1;Mxd1;Ifngr1;Klf6,FALSE
HALLMARK_COMPLEMENT,2.2297757479125566e-7,7.432585826375189e-7,0.6901324587967956,0.5785253071472561,2.0417362336292935,129,C1s1;Cxcl1;Serping1;Fn1;Pla2g7;Serpine1;Cp;Clu;Lgals3;Ctsh;Anxa5;Apoc1;Car2;Rasgrp1;Cda;Cebpb;Mt3;Casp4;Prkcd;Ctsb;Ctsl;Plat;Pdp1;Ctsc;Mmp14;Ctso;Col4a2;Timp1;Scg3;Pla2g4a;Plscr1;Lamp2;Gpd2;Lgmn;Ctsd;Csrp1;Timp2;Tnfaip3;Lck;Gca;Casp1;S100a13;Dusp5;Gnai2;C1qc;Kcnip2;Rhog;Me1;Irf7;Cpq;Fcer1g;C1qa;Maff;F3;Irf1;Lipa;Ctss,FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE,3.2797859436854587e-7,9.646429246133703e-7,0.674962860011025,0.5654980812010774,2.021206686679565,140,C1s1;Serping1;Cd38;Ccl2;Fgl2;Ptgs2;Vamp5;Vcam1;Fas;Cxcl10;Mt2;Vamp8;Casp4;Nod1;Mvp;Ifitm2;Nfkbia;Lgals3bp;Ifitm3;Tapbp;Gbp9;Socs3;Sspn;Znfx1;Pla2g4a;Plscr1;H2-Aa;Tnfaip2;Il18bp;Icam1;Bst2;Lats2;Myd88;H2-Eb1;Tnfaip3;Xaf1;Ifit3;Cd74;Btg1;Il4ra;Arid5b;Zbp1;H2-DMa;Helz2;Ripk2;Casp1;Irf7;Parp14;Ddx60;Stat2;Lysmd2;Stat3;Isg15;Pfkp;Casp8;Irf1;Rnf31;Ube2l6;Ptpn2;Txnip;Nfkb1;Ifi35,FALSE
HALLMARK_TGF_BETA_SIGNALING,1.2139235770090657e-4,2.1677206732304745e-4,0.5384340963099162,0.6463765298812417,1.9924128796661995,48,Id3;Bcar3;Serpine1;Nog;Wwtr1;Id1;Smad7;Tgfb1;Thbs1;Id2;Junb;Bmpr1a;Bmpr2;Tgif1;Furin;Ski;Sptbn1;Acvr1;Cdkn1c;Pmepa1,FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.791405669439704e-5,5.815428477999384e-5,0.5756102610711286,0.6144060217961319,1.9892561050490987,67,Sema3b;Clu;Lgals3;Gpx8;S100a11;Anxa5;Cbs;Atf3;Aldoc;Scd1;Fabp5;Plscr1;Ech1;Fads2;Scd2;Lpl;Lgmn;Fbxo6;Antxr2;Tm7sf2;Acss2;Ldlr;Cd9;Sc5d;Nsdhl;Errfi1;Jag1;Hmgcs1;Cpeb2;Pnrc1;Lss;Abca2;Hsd17b7;Stard4,TRUE
HALLMARK_KRAS_SIGNALING_UP,2.7768248795228193e-7,8.67757774850881e-7,0.674962860011025,0.5558925334015327,1.9724719266214643,134,Itgbl1;Apod;Sema3b;Angptl4;Sparcl1;Ptgs2;Lif;Il1rl2;Rgs16;Birc3;Mmp11;Car2;Serpina3n;Gpnmb;Adgra2;Itga2;Cxcl10;Cxcr4;Hbegf;Nrp1;Jup;Cpe;Gng11;Pcp4;Plat;Id2;Scg3;Vwa5a;St6gal1;Plvap;Gadd45g;Spp1;Tspan7;Tnfaip3;Klf4;Reln;Scn1b;Gprc5b;Ets1;Tmem176a;Adam17;Gfpt2;Hdac9;Trib1;Sox9;Igfbp3;Mtmr10;Lat2;Crot;Fcer1g;Kif5c;Tmem158;Ly96;Gucy1a1,FALSE
HALLMARK_APOPTOSIS,1.631917040314269e-6,4.079792600785673e-6,0.6435518361507222,0.5587440605122242,1.9673943125335522,127,Erbb2;Bgn;Cd38;Clu;Lgals3;Gadd45b;Hgf;Cd44;Timp3;Tgfbr3;Hspb1;Birc3;Fas;Atf3;Nedd9;Smad7;Bmf;Lef1;Casp4;Tspo;Plat;Sat1;Ifitm3;Gadd45a;Ier3;Tgfb2;Timp1;Cav1;Retsat;Pea15a;Btg2;Hmox1;Cflar;Erbb3;Cd14;Rara;Timp2;Sqstm1;Jun;App;Casp1;Ifngr1;Lmna;Sc5d;Rnasel;Mcl1;Dpyd;Ddit3;Casp8;Dap;Irf1;Dnajc3;Bid;Ank;Txnip;Eno2;Gsn,FALSE
HALLMARK_BILE_ACID_METABOLISM,7.920106562100436e-5,1.5230974157885455e-4,0.5384340963099162,0.589758349251184,1.9206018763292692,73,Bcar3;Pipox;Rxrg;Abcd2;Cyp7b1;Abca1;Ephx2;Rbp1;Hsd3b7;Dio2;Pxmp2;Retsat;Fads2;Pfkm;Atxn1;Nr3c2;Hsd17b11;Phyh;Lck;Optn;Gstk1;Hacl1;Cyp39a1;Idh1;Fads1;Crot;Pex11g,TRUE
HALLMARK_ANGIOGENESIS,3.8456995356757264e-4,6.202741186573751e-4,0.49849310876659025,0.7382267916351912,1.9197076314941577,21,Col5a2;S100a4;Fstl1;Postn;Nrp1;Timp1;Pdgfa;Lpl;Tnfrsf21;Spp1;App;Fgfr1,FALSE
HALLMARK_XENOBIOTIC_METABOLISM,8.188786858787073e-6,1.949711156854065e-5,0.5933254763964051,0.5383029608454162,1.8992339623662795,128,Apoe;Cyp4f14;Papss2;Atoh8;Serpine1;Il1r1;Lcat;Dhrs1;Abcd2;Gcnt2;Fas;Car2;Mt2;Cda;Jup;Ephx1;Aldh2;Aox1;Tgfb2;Id2;Ndrg2;Ptgr1;Retsat;Ech1;Man1a;Pink1;Hmox1;Elovl5;Ddt;Ninj1;Ptgds;Pros1;Entpd5;Slc35d1;Tmbim6;Cyp2j9;Blvrb;Hacl1;Pcx;Acox3;Bcar1;Idh1;Acox1;Dcxr;Fah;Crot,TRUE
HALLMARK_ADIPOGENESIS,1.0105872251649544e-6,2.6594400662235644e-6,0.6435518361507222,0.5154140613508262,1.8837298417428214,176,Apoe;Angpt1;Angptl4;Sparcl1;Tst;Hspb8;Chchd10;Gpam;Cavin1;Abca1;Ephx2;Sorbs1;Rreb1;Stat5a;Cmbl;Slc27a1;Itih5;Aldh2;Lifr;Itga7;Sqor;Gadd45a;Col4a1;Stom;Cd151;Sspn;Retsat;Ech1;Bcl6;Gpd2;Lpl;Phyh;Ddt;Pfkfb3;Mgll;Enpp2;Col15a1;Acadl;Cd302;Lpcat3;Acaa2;Slc25a10;Crat;Ifngr1;Idh1;Bckdha;Ghitm;Slc25a1;Dnajb9;Acox1;Lama4;Me1;Gbe1;Fah;Ucp2;Agpat3,TRUE
HALLMARK_KRAS_SIGNALING_DN,1.0004554004054869e-4,1.8526951859360868e-4,0.5384340963099162,0.5731618546299224,1.8771779765830623,76,Itih3;Tgm1;Fgfr3;Efhd1;Selenop;Bmpr1b;Prodh;Lfng;Copz2;Klk8;Synpo;Tgfb2;Thrb;Gpr3;Btg2;Chst2;Igfbp2;Nr4a2;Mthfr;Pdk2;Gamt;Fggy;Tcf7l1;Cntfr;Ptprj;Cyp39a1;Celsr2;Idua;Col2a1,FALSE
