pathway,pval,padj,log2err,ES,NES,size,leadingEdge,metabolic
E2F_TARGETS,5.73136589085522e-59,2.86568294542761e-57,2.0043308031324996,-0.7891653566136525,-3.550549883720941,194,Cdkn3;Dlgap5;Hmmr;Plk1;Ccnb2;Mki67;Kif2c;Cdc20;Kif4;E2f8;Racgap1;Mxd3;Cdca8;Spc24;Cdca3;Bub1b;Cenpe;Depdc1a;Birc5;Trip13;Plk4;Mms22l;Cenpm;Bard1;Aurka;Ung;Mcm5;Rrm2;Hells;Spag5;Top2a;Gins1;Pttg1;Kif18b;Cdk1;Lmnb1;Timeless;Ube2t;Espl1;Mybl2;Tk1;Brca1;Kif22;Pole;Spc25;Dut;Mad2l1;Shmt1;Pold1;Asf1b;Hmgb3;Rad51ap1;Tacc3;Ncapd2;Tcf19;Nasp;Cks2;Dctpp1;Mcm7;Mcm2;Atad2;Mcm6;Lig1;Dscc1;Smc4;Pcna;Chek1;Brca2;Mcm3;Rad51c;Ube2s;Usp1;Nop56;Aurkb;Mcm4;Pms2;Cks1b;Dck;Melk;Stmn1;Ccne1;Exosc8;Tipin;Tmpo;Cse1l;Nolc1;Dek;Ccp110;Pold2;Chek2;Orc6;Wdr90;Rnaseh2a;Nup205;Pa2g4;Jpt1;Pola2;Wee1;Nup107;Prim2;Tubb5;Dnmt1;Prps1;Mthfd2;Ranbp1;Rfc3;Cdc25b;Tbrg4;Snrpb;Cdk4;Rpa2;Nme1;Nudt21;Lbr;Msh2;Hnrnpd;Ilf3;Tfrc;Gins3;Anp32e;Tubg1;Smc6;Ezh2;Srsf1;Srsf2;Mre11a;Tra2b;Lyar;Xpo1;Naa38;Ak2;Slbp;Cit;Ssrp1;Nap1l1;Ran,FALSE
G2M_CHECKPOINT,9.060482659569685e-42,2.2651206648924214e-40,1.6843363428421345,-0.7223077607156408,-3.2614721048406734,187,Cdkn3;Hmmr;Nek2;Plk1;Ccnb2;Mki67;Ube2c;Cenpf;Ndc80;Kif2c;Cdc20;Kif11;Ccnf;Knl1;Kif4;Racgap1;Ttk;Ccna2;Kif23;Cenpe;Birc5;Cenpa;Plk4;Kif15;Kif20b;Cdc6;Bard1;Aurka;Rad54l;Mcm5;Cdc45;Top2a;Bub1;Pttg1;Exo1;Stil;Cdk1;Pbk;Lmnb1;Prc1;Espl1;Troap;Tpx2;Nusap1;Mybl2;Kif22;Pole;Mad2l1;Fbxo5;Hmgb3;E2f1;Ccnd1;Tacc3;Chaf1a;Nasp;Cks2;Smc2;Mcm2;Incenp;Polq;Mcm6;Smc4;Chek1;Brca2;Mcm3;Ube2s;Aurkb;Gins2;Slc7a1;Cdc7;Dbf4;Tfdp1;Slc38a1;Cks1b;Rbl1;E2f2;Stmn1;Tmpo;Dkc1;Nolc1;Orc6;Smarcc1;Jpt1;Pola2;Prim2;Sfpq;Cdc25b;Cdk4;Rpa2;Lbr;G3bp1;Hnrnpd;Ilf3;Nsd2;Snrpd1;Ezh2;Srsf1;Srsf2;Tra2b;Kmt5a;Bub3;Xpo1;Casp8ap2,FALSE
MYC_TARGETS_V1,1.5633774620002458e-31,2.605629103333743e-30,1.4604515308413264,-0.6823513766301934,-3.05745960775683,181,Cdc20;Ccna2;Mcm5;Cdc45;Dut;Mad2l1;Tyms;Mcm7;Mcm2;Mcm6;Pcna;Usp1;Nop56;Mcm4;Rfc4;Tfdp1;Gnl3;Nolc1;Dek;Srm;Pold2;Srsf3;Cad;Fbl;Hprt;Erh;Ruvbl2;Rrm1;Smarcc1;Pa2g4;Hnrnpa1;Set;Trim28;Npm1;Srsf7;Ranbp1;Lsm7;Abce1;Cdk4;Ddx21;Cdk2;Nme1;Hnrnpa2b1;G3bp1;Snrpg;Hnrnpd;Cct4;Ncbp1;Snrpd1;Serbp1;Snrpa1;Srsf1;Aimp2;Pabpc4;Srsf2;Tra2b;Lsm2;C1qbp;Hddc2;Bub3;Tcp1;Xpo1;Cct3;Eif4a1;Rack1;Tufm;U2af1;Cnbp;Dhx15;Cct5;Ilf2;Cct7;Phb2;Nap1l1;Prdx3;Cbx3;Ran;Hspd1;Nhp2;Eif4e;Sf3b3;Uba2;Exosc7;Snrpd3;Cstf2;Psmd14;Impdh2;Clns1a;Ptges3;Eif2s1;Tardbp;Hnrnpr;Ppm1g;Hdac2;Hnrnpu;Kars;Kpnb1;Snrpa;Phb;Ppia;Hsp90ab1;Cct2;Iars;Nop16;Psmc6;Eif3b;Tomm70a;Pwp1;Rnps1;Acp1;Stard7;Ddx18;Ssb;Hspe1;Snrpd2;Pole3;Txnl4a;Syncrip;Prpf31;Eif2s2;Hdgf;Ndufab1;Rrp9;Hnrnpc;Vdac3;Etf1;Cyc1;Gspt1;Got2;Srpk1;Pabpc1;Prdx4;Ncbp2;Rad23b;Psmb2;Pcbp1;Ywhaq;Orc2;Apex1;Eif3d;Vbp1;Xpot;Psma7;Eif4h;Eef1b2;Psma6;Psmc4;Cox5a;Cul1;Snrpb2;Xrcc6,FALSE
EPITHELIAL_MESENCHYMAL_TRANSITION,9.304737656938453e-28,1.1630922071173066e-26,1.3651796021616889,0.7531501523731147,2.729068182375544,158,Ptx3;Col5a2;Cxcl1;Sntb1;Tagln;Col6a2;Crlf1;Gja1;Fstl3;Loxl1;Thbs2;Mgp;Col1a2;Bgn;Matn2;Ecm1;Snai2;Rgs4;Fn1;Serpine1;Sparc;Ccn2;Nid2;Myl9;Fstl1;Gadd45b;Cd44;Timp3;Col1a1;Col12a1;Col5a3;Fbln2;Slit3;Postn;Tgfbr3;Thy1;Vcam1;Sdc4;Fbln5;Itgb5;Fas;Itga2;Ccn1;Htra1;Acta2;Gem;Itga5;Bdnf;Wnt5a;Notch2;Tgfbi;Tgfb1;Tgm2;Thbs1;Fgf2;Capg;Sat1;Gadd45a;Col4a1;Lox;Pdlim4;Id2;Mmp14;Serpinh1;Spock1;Col4a2;Lamc1;Timp1;Loxl2;Lama2;Ntm;Igfbp2;Pcolce;Efemp2;Dst;Cthrc1;Spp1;Tnfaip3;Itgb3;Vegfc;Col5a1;Fzd8;Slc6a8;Tnc;Emp3;Bmp1;Sfrp1;Jun;Col16a1;Gas1;Flna;Plod1;Tnfrsf11b;Sgcd;Calu;Sgcb,FALSE
MYC_TARGETS_V2,6.209101536616849e-14,5.174251280514041e-13,0.9545416307257243,-0.7409591634522673,-2.64970470477263,53,Plk1;Plk4;Ung;Mcm5;Dctpp1;Nop56;Mcm4;Utp20;Sord;Tmem97;Ppan;Gnl3;Nolc1;Srm;Pa2g4;Npm1;Mybbp1a;Tbrg4;Pprc1;Farsa;Cdk4;Tcof1;Rcl1;Aimp2;Grwd1;Slc29a2;Cbx3;Hspd1;Ipo4;Prmt3;Wdr43;Nop2;Phb;Nop16;Bysl;Ndufaf4;Ddx18;Hspe1;Rrp9;Nip7;Imp4;Mphosph10,FALSE
TNFA_SIGNALING_VIA_NFKB,6.507496840761295e-15,6.507496840761295e-14,0.9969862175331805,0.6569999590365416,2.391167198615335,161,Ptx3;Cxcl1;Ccl2;Sphk1;Serpine1;Ptgs2;Cebpd;Lif;Gadd45b;Cd44;Birc3;Map3k8;Sdc4;Atf3;Zc3h12a;Cxcl10;Abca1;Ccn1;Hbegf;Gem;Cebpb;Stat5a;Tlr2;Nfkb2;Nfkbia;Zfp36;Plpp3;Sat1;Gadd45a;Ier3;Dusp1;Id2;Nfe2l2;Il6st;Socs3;Junb;Tnfaip2;Icam1;Relb;Bcl3;Fjx1;Bcl6;Btg2;B4galt1;Tnfsf9;Cflar;Tgif1;Bhlhe40;Nr4a3;Litaf;Csf1;Ackr3;Fos;Trip10;Nr4a2;Ninj1;Fosl2;Pfkfb3;Serpinb8;Tnfaip3;Nr4a1;Klf4;Tnc;Sqstm1;Klf2;Btg1;Jun;Ripk2;Ccrl2;Klf9;Mxd1;Dusp5;Gfpt2;Efna1;Klf6;Ldlr;Trib1;Pmepa1;Birc2;Mcl1;Spsb1;Ier2;Egr1;Jag1;Maff;F3;Per1;Plau;Vegfa;Slc2a6;Irf1,FALSE
INFLAMMATORY_RESPONSE,1.3203704446698216e-12,7.279708202630736e-12,0.9101197347744591,0.6865352808841032,2.3518531638094298,106,Osmr;Slc4a4;Pdpn;Ccl2;Ahr;Sphk1;Serpine1;Il1r1;Lif;Slc7a2;Met;Lpar1;Rgs16;Slc1a2;Has2;Rasgrp1;Cxcl10;Abca1;Hbegf;Itga5;Tlr2;Tlr3;Nfkbia;Mmp14;Irak2;Tapbp;Timp1;Icam1;Btg2;Tnfsf9;Chst2;Ndp;Sgms2;Axl;Bst2;Cd14;P2rx4;Csf1;Fzd5;Itgb3;Tpbg;Lck;Emp3;Scn1b;Il4ra;Ripk2;Ccrl2;Cd82;Mxd1;Slc11a2;P2ry2;Slc31a2;Klf6;Ldlr;Rhog,FALSE
MITOTIC_SPINDLE,2.736941008773956e-13,1.9549578634099685e-12,0.932595211336209,-0.5180658570388992,-2.33706247690309,190,Pif1;Dlgap5;Nek2;Plk1;Ccnb2;Cenpf;Ndc80;Kif2c;Kif11;Kif4;Racgap1;Ttk;Kntc1;Kif23;Cenpe;Birc5;Ect2;Kif15;Kif20b;Aurka;Top2a;Bub1;Cdk1;Lmnb1;Prc1;Espl1;Tpx2;Nusap1;Kif22;Cenpj;Anln;Fbxo5;Incenp;Smc4;Brca2;Cep72;Nin;Alms1;Epb41;Cntrob;Bin1;Tiam1,FALSE
MYOGENESIS,9.47510555261149e-13,5.921940970382181e-12,0.9101197347744591,0.6689269891980454,2.336065456155131,122,Apod;Tagln;Col6a2;Fxyd1;Fst;Sod3;Itgb4;Sphk1;Igfbp7;Clu;Sparc;Hspb8;Gadd45b;Wwtr1;Ppp1r3c;Col1a1;Itgb5;Ablim1;Mef2c;Sorbs1;Hbegf;Tnni1;Cox7a1;Myl1;Prnp;Tgfb1;Fgf2;Cryab;Itga7;Cnn3;Scd1;Col4a2;Ak1;Fkbp1b;Sspn;Lama2;Erbb3;Bhlhe40;Scd2;Pfkm;Dmd;Agrn;Rb1;Slc6a8;Col15a1;Svil;App;Myl6b;Sgcd;Pcx;Crat;Aebp1;Sorbs3,FALSE
COAGULATION,8.033816780123471e-10,3.651734900056124e-9,0.8012155746177786,0.7115238718663712,2.310199180859173,71,C1s1;Serping1;Prss23;Fn1;Serpine1;Clu;Sparc;Ctsh;Apoc1;Timp3;Trf;Mmp11;Crip2;Itga2;Htra1;Klk8;Dct;Thbs1;Ctsb;A2m;Ctsl;Plat;Mmp14;Ctso;Timp1;Capn2;Lamp2;Lgmn;Csrp1;Itgb3;Capn5;Furin;Pros1;Bmp1,FALSE
