Level_4,sample_type,Lipid_FattyAcid,Cholesterol,Adipogenesis,OxPhos,Glycolysis,Lipid_KEGG_React
Neopl-Bulk,Primary,0.03869940256043913,0.08153413833762119,0.08131998325671104,0.20555984047624698,0.04792384221757333,0.029406237165417685
Neopl-Bulk,Recurrent,0.04392913112296575,0.064671797556418,0.09739061716677702,0.23650015923982237,0.07350317247369212,0.025964762339900457
Neopl-CC-I,Primary,0.029362596186027712,0.05091874300219336,0.06048622874505358,0.21047116831672283,0.05233182643893307,0.018926104742623528
Neopl-CC-I,Recurrent,0.03850872222825874,0.04931779553037933,0.07524864026753439,0.23688519990767692,0.07302335960993138,0.017717589496724088
Neopl-CC-II,Primary,0.012157465788833964,0.028097569363914113,0.04336640701606951,0.181187519197652,0.06033437340196837,0.0069898272942979815
Neopl-CC-II,Recurrent,0.03153220418333043,0.03224437325608028,0.06613822865360647,0.2216930699919131,0.08473399164663725,0.009551096817419235
Neopl-CC-III,Primary,0.022887864402396492,0.026895860137609365,0.054109654827961096,0.19430259621802634,0.06968538241239293,0.007894523821063435
Neopl-CC-III,Recurrent,0.034585311865793174,0.026975179855676174,0.07266535574584147,0.22169967995433196,0.0917134895743899,0.008795426368130502
Neopl-OPC,Primary,0.020525859599980947,0.07868793209063617,0.06448631050443686,0.14283708304827916,0.02214433834704878,0.037455626892438865
Neopl-OPC,Recurrent,0.0037854654601224796,0.04314171340333321,0.061965043240535776,0.129418412094126,0.019936678823536086,0.0346797963226992
Neopl-COP,Primary,0.03263861773901928,0.0804488254409059,0.09380109367357849,0.15486879982961496,0.04150188865893242,0.051342413705139596
Neopl-COP,Recurrent,0.02567465972416667,0.07576361313210211,0.09421898512606146,0.14942999213015656,0.042360205604746855,0.05020306595260262
Neopl-NC,Primary,-0.019678672123358405,0.009779133551573723,0.02954485401659082,0.050498604735674635,0.008287530907259434,0.009020257160761068
Neopl-NC,Recurrent,-0.02066596567005592,0.019321266690941596,0.052848102648708255,0.10397364887953428,0.01285785098086429,0.014344207842186742
Neopl-ACR,Primary,0.06872969730738275,0.2241692981303256,0.1393580954694812,0.12428576684542082,0.05712000102059512,0.04762995682337274
Neopl-ACR,Recurrent,0.0696498215098136,0.1856077906794852,0.1469877495627306,0.1503860468438812,0.06793446417345361,0.04592803255472289
Neopl-ECM,Primary,0.05871311218593574,0.04501704315993826,0.10359173653607268,0.21820675157936265,0.08673284349051034,0.03260520851093958
Neopl-ECM,Recurrent,0.05690683082151169,0.06255376285471598,0.11223706532343215,0.2576868416868961,0.08603666628280152,0.02811233081614182
Neopl-RNA-low,Primary,0.015993511089080148,0.006414643113108757,0.03204763461120412,0.10894875321385589,0.01123848222725444,0.008170048163637493
Neopl-RNA-low,Recurrent,0.025073199164164645,0.0067846334904194784,0.047205241234175854,0.1488856117456821,0.02975057400123996,0.004054226158877857
