Level_4,program,score
Neopl-Bulk,Lipid_FattyAcid,0.04069608396842511
Neopl-Bulk,Cholesterol,0.07509618999471795
Neopl-Bulk,Adipogenesis,0.08745566229992217
Neopl-Bulk,OxPhos,0.21737268286257216
Neopl-Bulk,Glycolysis,0.05768988887572915
Neopl-Bulk,Lipid_KEGG_React,0.028092301132599553
Neopl-CC-I,Lipid_FattyAcid,0.034007007144322574
Neopl-CC-I,Cholesterol,0.05010578044871275
Neopl-CC-I,Adipogenesis,0.06798259447730887
Neopl-CC-I,OxPhos,0.22388423710752306
Neopl-CC-I,Glycolysis,0.06283900543029812
Neopl-CC-I,Lipid_KEGG_React,0.018312419623327643
Neopl-CC-II,Lipid_FattyAcid,0.022773252077822857
Neopl-CC-II,Cholesterol,0.03036968179223409
Neopl-CC-II,Adipogenesis,0.05584351958362467
Neopl-CC-II,OxPhos,0.203381277998122
Neopl-CC-II,Glycolysis,0.0737033865749099
Neopl-CC-II,Lipid_KEGG_React,0.008393195398286358
Neopl-CC-III,Lipid_FattyAcid,0.029704988468633158
Neopl-CC-III,Cholesterol,0.026942086663580292
Neopl-CC-III,Adipogenesis,0.06492368204962645
Neopl-CC-III,OxPhos,0.21026926924373587
Neopl-CC-III,Glycolysis,0.08252308396545331
Neopl-CC-III,Lipid_KEGG_React,0.008419558402681597
Neopl-OPC,Lipid_FattyAcid,0.016212512266884197
Neopl-OPC,Cholesterol,0.06952905648139988
Neopl-OPC,Adipogenesis,0.06383667816376941
Neopl-OPC,OxPhos,0.13937961435965437
Neopl-OPC,Glycolysis,0.021575510502341317
Neopl-OPC,Lipid_KEGG_React,0.03674040350611446
Neopl-COP,Lipid_FattyAcid,0.028038405264456067
Neopl-COP,Cholesterol,0.07735389407242715
Neopl-COP,Adipogenesis,0.09407714207430484
Neopl-COP,OxPhos,0.15127606262866725
Neopl-COP,Glycolysis,0.042068870871180594
Neopl-COP,Lipid_KEGG_React,0.0505897897328371
Neopl-NC,Lipid_FattyAcid,-0.019920010545884465
Neopl-NC,Cholesterol,0.01211165498564142
Neopl-NC,Adipogenesis,0.03524120368221953
Neopl-NC,OxPhos,0.06357028219306254
Neopl-NC,Glycolysis,0.009404720258585061
Neopl-NC,Lipid_KEGG_React,0.010321667327331792
Neopl-ACR,Lipid_FattyAcid,0.06950027536404606
Neopl-ACR,Cholesterol,0.19187512371889948
Neopl-ACR,Adipogenesis,0.1457477154888842
Neopl-ACR,OxPhos,0.14614401488024883
Neopl-ACR,Glycolysis,0.06617680876260529
Neopl-ACR,Lipid_KEGG_React,0.04620464327107231
Neopl-ECM,Lipid_FattyAcid,0.05691820370417658
Neopl-ECM,Cholesterol,0.062443346471452554
Neopl-ECM,Adipogenesis,0.11218263177180803
Neopl-ECM,OxPhos,0.2574382633417746
Neopl-ECM,Glycolysis,0.08604104962077594
Neopl-ECM,Lipid_KEGG_React,0.02814061930533127
Neopl-RNA-low,Lipid_FattyAcid,0.019900881128229745
Neopl-RNA-low,Cholesterol,0.006573865467789052
Neopl-RNA-low,Adipogenesis,0.03857058754681631
Neopl-RNA-low,OxPhos,0.12613525600938968
Neopl-RNA-low,Glycolysis,0.019205010610332827
Neopl-RNA-low,Lipid_KEGG_React,0.006398837582956741
