Level_4,Lipid_FattyAcid,Cholesterol,Adipogenesis,OxPhos,Glycolysis,Lipid_KEGG_React
Neopl-Bulk,0.04069608396842511,0.07509618999471795,0.08745566229992217,0.21737268286257216,0.05768988887572915,0.028092301132599553
Neopl-CC-I,0.034007007144322574,0.05010578044871275,0.06798259447730887,0.22388423710752306,0.06283900543029812,0.018312419623327643
Neopl-CC-II,0.022773252077822857,0.03036968179223409,0.05584351958362467,0.203381277998122,0.0737033865749099,0.008393195398286358
Neopl-CC-III,0.029704988468633158,0.026942086663580292,0.06492368204962645,0.21026926924373587,0.08252308396545331,0.008419558402681597
Neopl-OPC,0.016212512266884197,0.06952905648139988,0.06383667816376941,0.13937961435965437,0.021575510502341317,0.03674040350611446
Neopl-COP,0.028038405264456067,0.07735389407242715,0.09407714207430484,0.15127606262866725,0.042068870871180594,0.0505897897328371
Neopl-NC,-0.019920010545884465,0.01211165498564142,0.03524120368221953,0.06357028219306254,0.009404720258585061,0.010321667327331792
Neopl-ACR,0.06950027536404606,0.19187512371889948,0.1457477154888842,0.14614401488024883,0.06617680876260529,0.04620464327107231
Neopl-ECM,0.05691820370417658,0.062443346471452554,0.11218263177180803,0.2574382633417746,0.08604104962077594,0.02814061930533127
Neopl-RNA-low,0.019900881128229745,0.006573865467789052,0.03857058754681631,0.12613525600938968,0.019205010610332827,0.006398837582956741
