cell_type,sample_id,cond,sample_mean
Astrocyte R,TP_1083,Primary,0.05758331754101155
Astrocyte R,TP_987,Primary,0.09253930643087702
Astrocyte R,TR_03d_990,Recurrent,0.12522642234228
Astrocyte TE-NT,TP_1083,Primary,0.01647314571996584
Astrocyte TE-NT,TP_987,Primary,0.009856599024171181
Astrocyte TE-NT,TR_03d_990,Recurrent,0.04982962036420439
Choroid,TP_1083,Primary,0.0031369658869394032
Choroid,TP_987,Primary,0.0012273088795660815
Choroid,TR_03d_990,Recurrent,0.004233562661029278
Ependymal,TP_1083,Primary,0.004224155921806282
Ependymal,TP_987,Primary,0.004632415815207648
Ependymal,TR_03d_990,Recurrent,0.011982736406672027
Immune-other,TP_1083,Primary,0.0027143078776930615
Immune-other,TP_987,Primary,0.005080304750739012
Immune-other,TR_03d_990,Recurrent,0.007035636151878274
Myeloid,TP_1083,Primary,0.01975092846379087
Myeloid,TP_987,Primary,0.03411837059321461
Myeloid,TR_03d_990,Recurrent,0.08106301933287771
Neopl-ACR,TP_1083,Primary,0.017662023184360425
Neopl-ACR,TP_987,Primary,0.030324360415244778
Neopl-ACR,TR_03d_990,Recurrent,0.02372624635314619
Neopl-Bulk,TP_1083,Primary,0.2115208871079759
Neopl-Bulk,TP_987,Primary,0.3387590640559636
Neopl-Bulk,TR_03d_990,Recurrent,0.08278598088078126
Neopl-COP,TP_1083,Primary,0.033243399537647524
Neopl-COP,TP_987,Primary,0.018959752725170004
Neopl-COP,TR_03d_990,Recurrent,0.020882119277156917
Neopl-ECM,TP_1083,Primary,0.04358416244038575
Neopl-ECM,TP_987,Primary,0.03343281049193043
Neopl-ECM,TR_03d_990,Recurrent,0.025106672259811922
Neopl-OPC,TP_1083,Primary,0.43514729651031403
Neopl-OPC,TP_987,Primary,0.22934219214987409
Neopl-OPC,TR_03d_990,Recurrent,0.06905912625191453
Neuron,TP_1083,Primary,0.09175761580638736
Neuron,TP_987,Primary,0.10356650417782583
Neuron,TR_03d_990,Recurrent,0.2942752619624999
OPC-COP-OLG,TP_1083,Primary,0.03974784790882522
OPC-COP-OLG,TP_987,Primary,0.06600512048383307
OPC-COP-OLG,TR_03d_990,Recurrent,0.16817611455916268
Vascular,TP_1083,Primary,0.023453946092896784
Vascular,TP_987,Primary,0.03215589000638266
Vascular,TR_03d_990,Recurrent,0.036617481196584846
