cell_type,cond,n_bins,mean,median,q25,q75,min,max
Astrocyte R,Primary,152405,0.07108749232444138,0.04135026405408412,0.00911725535925721,0.09637818642827128,1.459040678851044e-5,0.8821720640159054
Astrocyte R,Recurrent,16573,0.12522642234228,0.08996898569868847,0.03292315967945533,0.18106995541177387,3.901807685134959e-6,0.8853380425953413
Astrocyte TE-NT,Primary,152405,0.013917045724504404,1.2215486351678832e-4,8.443298433467127e-5,0.01334042234854808,1.001514320196505e-5,0.5917763750581817
Astrocyte TE-NT,Recurrent,16573,0.04982962036420439,0.0188956244409177,9.883285615542472e-5,0.07211158274533845,1.3753030613134717e-5,0.7267531365307395
Choroid,Primary,152405,0.002399228439853553,8.788393026366605e-5,6.345362484695416e-5,1.233175653828913e-4,1.0015152550034906e-5,0.833069050398051
Choroid,Recurrent,16573,0.004233562661029278,9.404109452307988e-5,6.479068772812398e-5,1.412640992079906e-4,1.3157936837215573e-5,0.2259058633607697
Ependymal,Primary,152405,0.00438187461701833,9.146425193376126e-5,8.254692543223339e-5,0.00248616896682704,3.625650979602164e-6,0.8656947850816484
Ependymal,Recurrent,16573,0.011982736406672027,1.9542558163204731e-4,8.829144252436394e-5,0.0123130046453868,1.315793643014587e-5,0.9046209429600812
Immune-other,Primary,152405,0.0036283382434574786,9.144358633286874e-5,8.283568211815341e-5,0.00182477621253847,1.03873212276561e-7,0.5203588770600134
Immune-other,Recurrent,16573,0.007035636151878274,9.897694909939612e-5,6.649402814126242e-5,0.00244759296020716,3.901808498332979e-6,0.47821771487627174
Myeloid,Primary,152405,0.02530134931779227,0.00799556736477379,9.514177577616812e-5,0.02884953452614048,1.0387321228088575e-7,0.7267856806778423
Myeloid,Recurrent,16573,0.08106301933287771,0.03633092360752749,0.0071876140316914,0.10860320208694228,3.90180768499708e-6,0.8262098452776722
Neopl-ACR,Primary,152405,0.022553729028281403,9.396574481444136e-5,8.395933024410389e-5,0.02015917580199891,2.527765008079029e-6,0.6462871746579697
Neopl-ACR,Recurrent,16573,0.02372624635314619,1.280148540312641e-4,6.840714257173962e-5,0.02471356338888542,3.90180768513944e-6,0.48666565969345305
Neopl-Bulk,Primary,152405,0.260675456473592,0.2089452902893428,0.06828389015384034,0.3827125244660198,1.0861806515312083e-7,0.9993364279764636
Neopl-Bulk,Recurrent,16573,0.08278598088078126,3.001590009563302e-4,9.032130917163255e-5,0.12756815556158654,4.308545005793269e-6,0.8804967211189085
Neopl-COP,Primary,152405,0.027725350435726704,1.3437195716097458e-4,8.91715383276675e-5,0.03116537121269676,1.0387321227617668e-7,0.816067690533477
Neopl-COP,Recurrent,16573,0.020882119277156917,1.3693414033932131e-4,8.899242014435642e-5,0.02470906962673481,1.440483602704584e-5,0.8247643838849489
Neopl-ECM,Primary,152405,0.039662498789788975,1.2969899779522224e-4,8.887592833266526e-5,0.04657217611896762,2.5277650082265816e-6,0.868743470964825
Neopl-ECM,Recurrent,16573,0.025106672259811922,1.1501209011356882e-4,6.683992804034768e-5,0.02209782735010564,3.901807685734129e-6,0.6827137269741024
Neopl-OPC,Primary,152405,0.3556408030919236,0.345042621944068,0.1321335593369437,0.5569741685907497,1.4865822275588342e-5,0.9987802512350336
Neopl-OPC,Recurrent,16573,0.06905912625191453,0.00593132313129513,9.074062341145008e-5,0.10775488931845036,1.3187284250500427e-5,0.7632443918889632
Neuron,Primary,152405,0.0963196178446747,0.01745248089051946,8.919010427109644e-5,0.13241460728108692,1.3899578104376724e-5,0.9605235888662093
Neuron,Recurrent,16573,0.2942752619624999,0.24610606733941356,0.07265731289185244,0.4779715418115723,1.3157936430149194e-5,0.9870100054907242
OPC-COP-OLG,Primary,152405,0.04989154029030053,0.01093071029846295,9.155289676392048e-5,0.05004050922281094,1.1336770023782052e-5,0.9886874853705582
OPC-COP-OLG,Recurrent,16573,0.16817611455916268,0.08317528237259411,0.02679496684812221,0.23287681137517377,1.4290659225998427e-5,0.9935347983609852
Vascular,Primary,152405,0.02681567537864405,0.00457060357813025,8.921155940483735e-5,0.02097230470043041,2.5277650080768897e-6,0.9029875811999424
Vascular,Recurrent,16573,0.036617481196584846,0.00620112365304627,9.234384055840912e-5,0.03012655753253544,3.9018076851353045e-6,0.821817734845752
