signature,Nomura Cilia-like,Nomura GPC-like,Nomura NEU-like,Neopl-NC (ours),Neftel NPC2,Richards Developmental,Nomura NPC-like,Nomura Stress,Nomura MES-like,Nomura OPC-like,Neopl-OPC (ours),Neftel NPC1,Neopl-ECM (ours),Nomura Cell cycle,Neopl-CC/Bulk (ours),Richards Injury-Response,Neftel MES1,HALLMARK_HYPOXIA,Nomura Hypoxia,Neftel MES2,"Neopl-ACR (ours, refined)",Neopl-ACR (ours),Neftel AC,Nomura AC-like,Neftel OPC,Neopl-COP (ours)
Neopl-COP (ours),0.028893529357577098,0.05033598314205054,-0.1426843083101582,-0.155636563662257,-0.15662718718631496,0.07395419646540208,-0.023287630554250937,-0.07979013468491336,-0.12209241654107784,0.13500960922145322,0.27231156282208296,0.07513675841835046,0.2144433978008443,-0.08639561785785745,-0.17504582200419355,0.01162953155410185,0.07369420261594702,-0.001951629523005075,-0.060772194705945026,-0.1432631088252369,0.1291799397906531,0.1292586982954727,0.2286123245489833,0.08656925969789651,0.4321103285478922,NA
Neftel OPC,-0.02123493582019593,0.07576611686510433,-0.24814825589693104,-0.40435042390448955,-0.275784527756436,0.35093849350853384,-0.03944277647730685,-0.09198814537756053,-0.17254026444904005,0.47373633399930093,0.4950311673808289,0.3280978107964506,0.3281568160298655,0.028123897762859687,0.048803150817049855,-0.11535822512651688,-0.005646221576951707,-0.08233502357176857,-0.03919394479285806,-0.13042929782804774,0.12005424037690154,0.03663752954361565,0.40411104850816243,0.004863176098766093,NA,0.3908947443825335
Nomura AC-like,0.10156688704902216,0.1719226697768062,0.09328046726603317,0.16938023634403654,0.023802029443503556,-0.09839754190956483,0.09399663877668668,-0.04518902972928387,0.052305988581651024,-0.11123422116913857,-0.044363104762719756,-0.08678078084286212,-0.09634918927184749,-0.1521957970655017,-0.22512263074795238,0.032870713229474366,0.16322213484843867,0.1540269915859591,-0.02220076971574606,0.0015249172276000607,0.22740288809163728,0.38131939385434166,0.3696819785768063,NA,0.17606550252964015,0.024845545507203734
Neftel AC,0.022071846078339136,0.1816971719713198,-0.09991251484035615,-0.17210474397187153,-0.21930099353790722,0.05271253424484303,-0.09575830240580235,-0.10143737976282091,-0.06168227765552831,0.09126884052361388,0.18754541355682222,0.03343567900184081,0.1200768778429453,-0.1058666528300686,-0.18017790645917636,0.07030821063405496,0.29129547020300844,0.14214652696218094,-0.020278327798773844,-0.020659309310065967,0.3533823174843311,0.42236458646573527,NA,0.5241788264605185,0.4899445195770321,0.1218236082893253
Neopl-ACR (ours),-0.016279813108865577,0.06163000519501995,-0.14941175354533484,-0.058169111177338965,-0.1468029910859648,-0.3294119990686546,-0.15358609312920135,-0.02473386114710274,0.13353546607119782,-0.22272482831189103,-0.11418795716736446,-0.1798297614333935,0.020126107753354675,-0.08747596726949562,-0.16182963499397127,0.396931639207513,0.5509370141116819,0.368199215872045,0.034830762336309065,0.13780230568301352,0.8775701013357641,NA,0.6366084731672398,0.47656389046939623,0.3212833608352191,0.0953314561678388
"Neopl-ACR (ours, refined)",-0.06348819027404431,0.010954234799271685,-0.22834579622935502,-0.2266101566011655,-0.20723137280472156,-0.19538032310149578,-0.16546802393484594,0.0010464173769909543,0.1324700959411414,-0.09910301624678292,-0.024790686439766205,-0.09000536366271572,0.11703305884855876,-0.027757676996570033,-0.0444451223096879,0.36265774473547974,0.4864334637653735,0.3014968512115331,0.061056826928341495,0.1460761099055734,NA,0.8991096921067053,0.5353915651576232,0.3588706416765424,0.31609435181599943,0.09958353227484004
Neftel MES2,-0.07582507221134091,-0.07170989135533401,-0.06030475367346013,-0.08080616259120807,-0.018681565297108436,-0.16539116994261563,-0.10514185928276125,0.2378594525451665,0.20562634474321678,-0.15970436711867536,-0.22083932736449396,-0.093593532373998,-0.02722092016476433,0.03467919415756037,0.11766145219194968,0.26299693255021106,0.27377317703112747,0.40149418177336005,0.4503523227130663,NA,0.15652730281625465,0.17020720414804166,0.10592009936064939,0.0403566981625546,0.049048835619758174,-0.021368324141244517
Nomura Hypoxia,-0.04950427519258859,-0.03618518160597874,-0.05402074879825511,-0.08429908414912454,-0.04067366955032612,-0.042970906763852144,-0.052078341775653056,0.19460199013502996,0.11168953817806448,-0.03889310168693094,-0.07482482721028598,-0.041120166059035616,0.012926164436270988,-0.0154045695066294,0.029279369640921857,0.1360094919866017,0.09234908698277017,0.2779904194844295,NA,0.3713322468924705,0.1114618084627188,0.11333653238282386,0.09531110897061464,0.049010098032761094,0.06608605845390603,0.03218945312667584
HALLMARK_HYPOXIA,-0.07610010248596442,-0.010248687839205942,-0.08635985151745969,-0.045852268318198594,-0.06514262466088064,-0.2620890059713938,-0.12657780282947642,0.08115819232623979,0.15672873815496294,-0.19673560532356082,-0.1592126667739174,-0.14427686138702395,-0.01983488716110076,-0.07467642462273762,-0.09228324799467635,0.3777869909764248,0.3701210646528479,NA,0.2123772801551693,0.35598738529981827,0.35232280889579876,0.4232816016267062,0.3936018158592761,0.25475862831357615,0.13815475747140507,0.0012285582915698117
Neftel MES1,-0.11971192377490425,-0.04706779256634984,-0.2845302534029824,-0.22369711759725874,-0.24272621398707517,-0.4283578349805998,-0.2444624877918407,0.027984424049144033,0.24588259225254996,-0.2511217891384384,-0.16210393721618777,-0.1960511786323854,0.05265031775876922,0.012743616345611513,-0.0430155381910929,0.5895333004567954,NA,0.41823942286850163,0.14592941764772732,0.3030488100326046,0.5525310187104705,0.6134144660943366,0.5547337693092382,0.28038515808651876,0.3279011262085389,0.09674817717303644
