target,program,section,r,source
Neopl-ACR (ours),Neftel AC,UKF242_T_ST,0.07502173896285563,Neftel 2019
"Neopl-ACR (ours, refined)",Neftel AC,UKF242_T_ST,0.03864400452565117,Neftel 2019
Neopl-ECM (ours),Neftel AC,UKF242_T_ST,0.04217540206150746,Neftel 2019
Neopl-COP (ours),Neftel AC,UKF242_T_ST,0.021210847360091017,Neftel 2019
Neopl-NC (ours),Neftel AC,UKF242_T_ST,-0.0484649137580345,Neftel 2019
Neopl-OPC (ours),Neftel AC,UKF242_T_ST,0.1047064245652929,Neftel 2019
Neopl-CC/Bulk (ours),Neftel AC,UKF242_T_ST,-0.0029391181956368905,Neftel 2019
Neopl-ACR (ours),Neftel MES1,UKF242_T_ST,0.17444782409663764,Neftel 2019
"Neopl-ACR (ours, refined)",Neftel MES1,UKF242_T_ST,0.08563389161573595,Neftel 2019
Neopl-ECM (ours),Neftel MES1,UKF242_T_ST,-0.036645347795355145,Neftel 2019
Neopl-COP (ours),Neftel MES1,UKF242_T_ST,-0.08720904645706641,Neftel 2019
Neopl-NC (ours),Neftel MES1,UKF242_T_ST,-0.06220974443888738,Neftel 2019
Neopl-OPC (ours),Neftel MES1,UKF242_T_ST,-0.1137346903961019,Neftel 2019
Neopl-CC/Bulk (ours),Neftel MES1,UKF242_T_ST,0.04082107283624196,Neftel 2019
Neopl-ACR (ours),Neftel MES2,UKF242_T_ST,-0.00289363671161548,Neftel 2019
"Neopl-ACR (ours, refined)",Neftel MES2,UKF242_T_ST,-0.014274559220440759,Neftel 2019
Neopl-ECM (ours),Neftel MES2,UKF242_T_ST,0.008531493224377745,Neftel 2019
Neopl-COP (ours),Neftel MES2,UKF242_T_ST,-0.04680839129221815,Neftel 2019
Neopl-NC (ours),Neftel MES2,UKF242_T_ST,0.03137487623458181,Neftel 2019
Neopl-OPC (ours),Neftel MES2,UKF242_T_ST,-0.05267338712171536,Neftel 2019
Neopl-CC/Bulk (ours),Neftel MES2,UKF242_T_ST,0.04485283089299692,Neftel 2019
Neopl-ACR (ours),Neftel NPC1,UKF242_T_ST,-0.04618384849919424,Neftel 2019
