target,program,source,mean_r,min_r,max_r,n
Neopl-ACR (ours),Neftel AC,Neftel 2019,0.3402521101122054,-0.04354509887170291,0.7055993584520381,18
Neopl-ACR (ours),Neftel MES1,Neftel 2019,0.3932504723134653,0.03501095126553211,0.7461738894537915,18
Neopl-ACR (ours),Neftel MES2,Neftel 2019,0.0884068841989118,-0.43360714818288254,0.4726556177150627,18
Neopl-ACR (ours),Neftel NPC1,Neftel 2019,-0.09214067239708056,-0.37736878414188935,0.32767775861522147,18
Neopl-ACR (ours),Neftel NPC2,Neftel 2019,-0.1993617553976689,-0.6172945432381293,0.08482801834270583,18
Neopl-ACR (ours),Neftel OPC,Neftel 2019,0.09056830972669087,-0.25420703361760644,0.5642594475247475,18
Neopl-ACR (ours),Nomura AC-like,Nomura 2025,0.4170361947741694,0.2036246069706484,0.719482674198037,18
Neopl-ACR (ours),Nomura Cell cycle,Nomura 2025,0.019966076602336465,-0.13006532216150626,0.3680840609264172,18
Neopl-ACR (ours),Nomura Cilia-like,Nomura 2025,0.021224095810311844,-0.16502844662895316,0.19779070167367557,18
Neopl-ACR (ours),Nomura GPC-like,Nomura 2025,0.01400154629003926,-0.2512599832687506,0.487516965964615,18
Neopl-ACR (ours),Nomura Hypoxia,Nomura 2025,-1.8783787763654148e-4,-0.36715622627306116,0.461719420177338,18
Neopl-ACR (ours),Nomura MES-like,Nomura 2025,0.24438665975675064,-0.12317463458803449,0.5350901923476787,18
Neopl-ACR (ours),Nomura NEU-like,Nomura 2025,-0.14782751210842457,-0.5714123028316624,0.25877632480057666,18
Neopl-ACR (ours),Nomura NPC-like,Nomura 2025,-0.15923587704842193,-0.6038045100520413,0.010558010356236392,18
Neopl-ACR (ours),Nomura OPC-like,Nomura 2025,-0.08424483186069487,-0.35679329347915506,0.19521526543241818,18
Neopl-ACR (ours),Nomura Stress,Nomura 2025,-0.04403852087239214,-0.41374998842527944,0.2612012099446901,18
Neopl-ACR (ours),Richards Developmental,Richards 2021,-0.06801810358587988,-0.44630598942641253,0.3911219544796521,18
Neopl-ACR (ours),Richards Injury-Response,Richards 2021,0.1695266164012105,-0.25118736920608653,0.4584452675596965,18
"Neopl-ACR (ours, refined)",Neftel AC,Neftel 2019,0.21978563879439147,-0.16311477116757483,0.6388684667880083,18
"Neopl-ACR (ours, refined)",Neftel MES1,Neftel 2019,0.31217541024565487,-0.03949089050953122,0.6638833815556752,18
"Neopl-ACR (ours, refined)",Neftel MES2,Neftel 2019,0.08725406011509845,-0.29796176864161766,0.4081485230497064,18
"Neopl-ACR (ours, refined)",Neftel NPC1,Neftel 2019,-0.06833062892229164,-0.3346587763895018,0.2597494665951268,18
"Neopl-ACR (ours, refined)",Neftel NPC2,Neftel 2019,-0.16014821305542415,-0.5965174696919716,0.25815739114624486,18
"Neopl-ACR (ours, refined)",Neftel OPC,Neftel 2019,0.0692651913120987,-0.2622128506144642,0.44919950222823124,18
"Neopl-ACR (ours, refined)",Nomura AC-like,Nomura 2025,0.23468969075024676,0.005105297685393453,0.5670314511148989,18
"Neopl-ACR (ours, refined)",Nomura Cell cycle,Nomura 2025,0.0530225258304026,-0.15281815655803527,0.409717382465328,18
"Neopl-ACR (ours, refined)",Nomura Cilia-like,Nomura 2025,0.02046960236140402,-0.12501409093517624,0.20223417662503856,18
"Neopl-ACR (ours, refined)",Nomura GPC-like,Nomura 2025,0.06082204519341689,-0.16095837982192876,0.39101163137566824,18
"Neopl-ACR (ours, refined)",Nomura Hypoxia,Nomura 2025,0.04553060373695712,-0.23050472446081982,0.39722364478705474,18
"Neopl-ACR (ours, refined)",Nomura MES-like,Nomura 2025,0.22368210464054514,-0.09043767194550276,0.49525429839265955,18
"Neopl-ACR (ours, refined)",Nomura NEU-like,Nomura 2025,-0.1674953116221199,-0.5618919324719147,0.18921373292942537,18
"Neopl-ACR (ours, refined)",Nomura NPC-like,Nomura 2025,-0.11972392084233426,-0.5800623923141722,0.3818764062300483,18
"Neopl-ACR (ours, refined)",Nomura OPC-like,Nomura 2025,-0.04545345106331828,-0.25770355854113725,0.3668098255526247,18
"Neopl-ACR (ours, refined)",Nomura Stress,Nomura 2025,-0.015422577486825366,-0.3117884593225878,0.21580850436668778,18
"Neopl-ACR (ours, refined)",Richards Developmental,Richards 2021,-0.07973749831892302,-0.36352042786748934,0.2800244075688119,18
"Neopl-ACR (ours, refined)",Richards Injury-Response,Richards 2021,0.125560730046158,-0.2497710295085433,0.4787646393477418,18
Neopl-CC/Bulk (ours),Neftel AC,Neftel 2019,-0.00226497574982647,-0.3672420309228221,0.424770843687517,18
Neopl-CC/Bulk (ours),Neftel MES1,Neftel 2019,-0.1081152371877602,-0.5435483356554712,0.40077540579458354,18
Neopl-CC/Bulk (ours),Neftel MES2,Neftel 2019,-0.10398413639410593,-0.5083898752543358,0.17535249249211388,18
Neopl-CC/Bulk (ours),Neftel NPC1,Neftel 2019,0.21873699330775828,-0.10782256831270008,0.5236183578549409,18
Neopl-CC/Bulk (ours),Neftel NPC2,Neftel 2019,0.12250135152228268,-0.44651053569718624,0.603107579610346,18
Neopl-CC/Bulk (ours),Neftel OPC,Neftel 2019,0.07896972235810777,-0.32608416493904635,0.5355553349853289,18
Neopl-CC/Bulk (ours),Nomura AC-like,Nomura 2025,-0.03399851085510108,-0.3435716330035663,0.16108063940439094,18
Neopl-CC/Bulk (ours),Nomura Cell cycle,Nomura 2025,0.2787044868320198,-0.12915282232376304,0.6068969627077219,18
Neopl-CC/Bulk (ours),Nomura Cilia-like,Nomura 2025,-0.030773793208070454,-0.27642971603047445,0.19120578486226306,18
Neopl-CC/Bulk (ours),Nomura GPC-like,Nomura 2025,0.11354768146755581,-0.39029522054271076,0.3861413886918747,18
Neopl-CC/Bulk (ours),Nomura Hypoxia,Nomura 2025,-0.04728642698788259,-0.4689197334148602,0.3107387826007748,18
Neopl-CC/Bulk (ours),Nomura MES-like,Nomura 2025,0.08523367611609595,-0.3420262438162367,0.4254121828782479,18
Neopl-CC/Bulk (ours),Nomura NEU-like,Nomura 2025,0.04916675940398631,-0.4842375540852147,0.5532016404605684,18
Neopl-CC/Bulk (ours),Nomura NPC-like,Nomura 2025,0.08263403734391679,-0.43930014780959437,0.51782358683699925,18
Neopl-CC/Bulk (ours),Nomura OPC-like,Nomura 2025,0.1519966467294986,-0.09143651772186846,0.40535165284771724,18
Neopl-CC/Bulk (ours),Nomura Stress,Nomura 2025,0.001583464864799959,-0.32835450730897614,0.18065767810856237,18
Neopl-CC/Bulk (ours),Richards Developmental,Richards 2021,0.11904065491752472,-0.1542325072092581,0.4450976324156827,18
Neopl-CC/Bulk (ours),Richards Injury-Response,Richards 2021,-0.051058824304016724,-0.3519330465336663,0.42970336826043276,18
Neopl-COP (ours),Neftel AC,Neftel 2019,0.20618803477857534,-0.0894372564857958,0.5724432125712734,18
Neopl-COP (ours),Neftel MES1,Neftel 2019,-0.09581658554597695,-0.6187005993418637,0.40649537045375017,18
Neopl-COP (ours),Neftel MES2,Neftel 2019,-0.17868998855025928,-0.7055046593678294,0.21144421854589998,18
Neopl-COP (ours),Neftel NPC1,Neftel 2019,0.21580751887564728,-0.15117513754139078,0.6956277925471056,18
Neopl-COP (ours),Neftel NPC2,Neftel 2019,0.009850119296974326,-0.5033076462470915,0.2473096734137923,18
Neopl-COP (ours),Neftel OPC,Neftel 2019,0.4070194982796812,0.1716504957247653,0.8046326414130118,18
Neopl-COP (ours),Nomura AC-like,Nomura 2025,0.08744411902296761,-0.15222583840047837,0.43806628866612213,18
Neopl-COP (ours),Nomura Cell cycle,Nomura 2025,0.12084326785114688,-0.07951642364702376,0.5789185172634712,18
Neopl-COP (ours),Nomura Cilia-like,Nomura 2025,-0.007608368190566906,-0.3027491924716595,0.162240547306551,18
Neopl-COP (ours),Nomura GPC-like,Nomura 2025,0.08566635359485886,-0.362223176106591,0.46782442812525155,18
Neopl-COP (ours),Nomura Hypoxia,Nomura 2025,-0.17384826400718126,-0.6564412110692623,0.25865534543192115,18
Neopl-COP (ours),Nomura MES-like,Nomura 2025,-0.12079632336887824,-0.5015426577402474,0.16217960797215214,18
Neopl-COP (ours),Nomura NEU-like,Nomura 2025,-0.04069241317568907,-0.6398033055390624,0.2358803582585074,18
Neopl-COP (ours),Nomura NPC-like,Nomura 2025,0.03900139165575403,-0.3817390735030048,0.33112688731094825,18
Neopl-COP (ours),Nomura OPC-like,Nomura 2025,0.17806898855485884,-0.2932477072577883,0.5699832645238586,18
Neopl-COP (ours),Nomura Stress,Nomura 2025,-0.13216887298662666,-0.45540828548675744,0.03989017655999117,18
Neopl-COP (ours),Richards Developmental,Richards 2021,0.13280051383378624,-0.1654511842398624,0.6110201852947839,18
Neopl-COP (ours),Richards Injury-Response,Richards 2021,-0.11379677473855958,-0.3922282341695908,0.32340238189519527,18
Neopl-ECM (ours),Neftel AC,Neftel 2019,0.17467982962055406,-0.05348150414875892,0.6347420031427498,18
Neopl-ECM (ours),Neftel MES1,Neftel 2019,-0.06723087095615007,-0.36112811607689815,0.2257076400147126,18
Neopl-ECM (ours),Neftel MES2,Neftel 2019,-0.14780401347460942,-0.6455728836810521,0.12636760793306395,18
Neopl-ECM (ours),Neftel NPC1,Neftel 2019,0.2223791824930445,0.030442724779526652,0.5798821435196406,18
