module,px,py,score
Richards Developmental,-566,-1923,0.08030261180562526
Richards Developmental,-1176,-3501,0.013101951463768136
Richards Developmental,-2718,-845,0.10017243707215899
Richards Developmental,-2935,-968,0.07860310171889083
Richards Developmental,-3742,-556,0.03797104468600912
Richards Developmental,-2669,-1436,0.09247648332086612
Richards Developmental,-3214,-1866,0.07924122785841166
Richards Developmental,-2396,-1159,0.10297629736778609
Richards Developmental,-734,-2574,0.027694423771458282
Richards Developmental,-3527,-682,0.0802934900299971
Richards Developmental,-2306,-3024,0.052415080728901775
Richards Developmental,-2843,-2646,0.07822539612788508
Richards Developmental,-3854,-928,0.06512776453405808
Richards Developmental,-2829,-1155,0.07512751377775087
Richards Developmental,-3851,-617,0.08523148633103413
Richards Developmental,-946,-2074,0.031036076325332285
Richards Developmental,-1963,-1039,0.087844018010138
Richards Developmental,-3758,-2233,0.06458149771585972
Richards Developmental,-3380,-2268,0.07567559975276149
Richards Developmental,-1707,-2502,0.044578016108207164
Richards Developmental,-1696,-1384,0.05259347496697851
Richards Developmental,-3156,-1400,0.08461322412354055
Richards Developmental,-947,-2199,0.026263155891627532
Richards Developmental,-2797,-3486,0.05453806188613036
Richards Developmental,-2690,-3549,0.02142436606809156
Richards Developmental,-1174,-3315,0.023395498062730502
Richards Developmental,-2952,-2707,0.08920747930925663
Richards Developmental,-3279,-3015,0.04875045037704642
Richards Developmental,-3473,-714,0.09382494174148365
Richards Developmental,-2786,-2305,0.08636250834784394
Richards Developmental,-1263,-1326,0.08418532359926852
Richards Developmental,-1114,-2725,0.02005003483629912
Richards Developmental,-2190,-2156,0.07323596744510928
Richards Developmental,-1796,-575,0.08782610952408386
Richards Developmental,-2246,-2372,0.0792974520593578
Richards Developmental,-2121,-696,0.05722844503121716
Richards Developmental,-1173,-3253,0.017327350842127373
Richards Developmental,-1824,-3495,0.04832455829049305
Richards Developmental,-3373,-1523,0.08594721527061885
Richards Developmental,-667,-1176,0.06629943476159308
Richards Developmental,-742,-3381,0.040618419363794886
Richards Developmental,-2941,-1589,0.08257227014466699
Richards Developmental,-1917,-1879,0.0762228828604426
Richards Developmental,-3699,-1706,0.06714943601071735
Richards Developmental,-1966,-1350,0.0871566423197471
Richards Developmental,-3176,-3451,0.04062691960587206
Richards Developmental,-897,-2603,0.013245937963396459
Richards Developmental,-2829,-1217,0.06691454398433307
Richards Developmental,-725,-1642,0.07267909481707764
Richards Developmental,-3589,-1520,0.061933447167654865
Richards Developmental,-1222,-2662,0.02469650633569262
Richards Developmental,-1968,-1536,0.07602335980781884
Richards Developmental,-1880,-3650,0.03558466147532571
Richards Developmental,-558,-1115,0.03314497265321374
Richards Developmental,-2344,-1315,0.08030982195102673
Richards Developmental,-743,-3443,0.04989286905240911
Richards Developmental,-3907,-896,0.0724836239235634
Richards Developmental,-1156,-1513,0.07381367877966984
Richards Developmental,-1213,-1792,0.03928940849319523
Richards Developmental,-2582,-3550,0.05276958017805805
Richards Developmental,-844,-2759,0.010747562790729082
Richards Developmental,-1709,-2751,0.04593142034363211
Richards Developmental,-2905,-3422,0.03385028796274138
Richards Developmental,-1059,-2570,0.007374355568308517
Richards Developmental,-3767,-3103,0.05508379277855083
Richards Developmental,-3330,-2673,0.047924547640437326
Richards Developmental,-1283,-3438,0.022007205159670362
Richards Developmental,-3528,-806,0.07727712162234629
Richards Developmental,-3278,-2828,0.03061356694638709
Richards Developmental,-1217,-2227,0.02259653869430367
Richards Developmental,-1711,-2937,0.039593967452331305
Richards Developmental,-1503,-3809,0.018635388340776382
Richards Developmental,-830,-1268,0.07923214179137832
Richards Developmental,-1653,-2596,0.05137702179121492
Richards Developmental,-3338,-3480,0.022070443295826997
Richards Developmental,-3121,-3420,0.05070072853494077
Richards Developmental,-2943,-1775,0.08077381242985614
Richards Developmental,-2998,-1868,0.07987242095160278
Richards Developmental,-1700,-1819,0.05311924838725286
Richards Developmental,-902,-3162,0.02701145143904675
Richards Developmental,-2359,-2868,0.0695362621067727
Richards Developmental,-1583,-888,0.08533729181342302
Richards Developmental,-621,-2078,0.04533012326314839
Richards Developmental,-3382,-2455,0.07635097559439653
Richards Developmental,-2458,-1935,0.08146350970783561
Richards Developmental,-1067,-3440,0.027612817775591922
Richards Developmental,-993,-1422,0.07955174718317685
Richards Developmental,-2311,-3459,0.04016433210215635
Richards Developmental,-3268,-1834,0.07633998066433029
Richards Developmental,-1275,-2630,0.023005070056179265
Richards Developmental,-1492,-2628,0.05341010485770645
Richards Developmental,-784,-2107,0.04622245252594619
Richards Developmental,-1369,-1138,0.09108612628657012
Richards Developmental,-1966,-1412,0.07273458737440268
Richards Developmental,-1153,-1202,0.08882023755624192
Richards Developmental,-2068,-790,0.06908471647948837
Richards Developmental,-676,-2108,0.024112708800778926
Richards Developmental,-1101,-1358,0.08228522649175184
Richards Developmental,-3744,-742,0.07864719676467169
Richards Developmental,-3650,-2234,0.06252731658222199
Richards Developmental,-669,-1425,0.049175252969997266
Richards Developmental,-2357,-2682,0.09628559345292263
Richards Developmental,-1858,-1413,0.08056996122262385
Richards Developmental,-2306,-2962,0.06052713970397096
Richards Developmental,-2507,-1469,0.08491927089814297
Richards Developmental,-2361,-3055,0.03461556247344032
Richards Developmental,-3592,-1769,0.07029721549968539
Richards Developmental,-1823,-3371,0.045718174131520045
Richards Developmental,-3602,-2825,0.01999855024696258
Richards Developmental,-3276,-2704,0.052236114707465156
Richards Developmental,-906,-3597,0.0373447907330038
Richards Developmental,-3482,-1646,0.07537520325126955
Richards Developmental,-3114,-2675,0.07089562691477044
Richards Developmental,-2305,-2838,0.05533880993623605
Richards Developmental,-3496,-3075,0.042833275487766
Richards Developmental,-570,-2358,0.040389679201384324
Richards Developmental,-1919,-2065,0.05582551202378609
Richards Developmental,-1876,-3277,0.06287265865694583
Richards Developmental,-1699,-1756,0.07064073948854377
Richards Developmental,-2026,-2002,0.08134232431700403
Richards Developmental,-3802,-1208,0.052801495293089806
Richards Developmental,-1824,-3433,0.05671088631802501
Richards Developmental,-3642,-1365,0.07244143938905383
Richards Developmental,-3580,-588,0.08556529671323562
Richards Developmental,-1766,-3092,0.0548790126939569
Richards Developmental,-2797,-3423,0.05337984564719389
Richards Developmental,-1432,-2039,0.031148239463374985
Richards Developmental,-2184,-1534,0.08553858286091079
Richards Developmental,-2500,-661,0.0970147570735202
Richards Developmental,-2614,-1344,0.07933749904346057
Richards Developmental,-3756,-2047,0.05369387971352216
Richards Developmental,-1907,-884,0.07954002006758758
Richards Developmental,-3047,-1401,0.08496066078079148
Richards Developmental,-3226,-3046,0.07664582022098201
Richards Developmental,-3497,-3199,0.056359109110507996
Richards Developmental,-1395,-3810,0.010114526102715155
Richards Developmental,-2887,-1621,0.0705104932980098
Richards Developmental,-679,-2481,0.021714237795558353
Richards Developmental,-2346,-1502,0.06896507149747606
Richards Developmental,-3213,-1742,0.07568119178664748
Richards Developmental,-682,-2792,0.011578841023334063
Richards Developmental,-1640,-1167,0.0911122904854862
Richards Developmental,-3215,-1990,0.07126098329009137
Richards Developmental,-3011,-3235,0.07825105814959221
Richards Developmental,-3489,-2329,0.07795316571560501
Richards Developmental,-1744,-793,0.09029466044138396
Richards Developmental,-836,-1889,0.05856248862943712
Richards Developmental,-2878,-626,0.10515808818159916
Richards Developmental,-1881,-3712,0.04887521118701546
Richards Developmental,-2343,-1253,0.07971906340430177
Richards Developmental,-668,-1300,0.06874511847938006
Richards Developmental,-1107,-2042,0.018964184674565003
Richards Developmental,-831,-1392,0.0655530334733165
Richards Developmental,-2523,-3022,0.09653704251981221
Richards Developmental,-841,-2448,0.017896476586610963
Richards Developmental,-2448,-879,0.092897700564542
Richards Developmental,-2148,-3430,0.0627520855263367
Richards Developmental,-2994,-1495,0.08328650292639381
Richards Developmental,-2793,-2988,0.08845813958260759
Richards Developmental,-1648,-2037,0.0386166055879288
Richards Developmental,-1208,-1233,0.06295171820887188
Richards Developmental,-1662,-3466,0.03169731645783161
Richards Developmental,-1772,-3713,0.04798681322496484
Richards Developmental,-1760,-2408,0.0417698015123166
Richards Developmental,-1447,-3592,0.01945371654566122
Richards Developmental,-2017,-1070,0.07403946071029191
Richards Developmental,-1428,-1666,0.060367694836481134
Richards Developmental,-3907,-834,0.09255492300833093
Richards Developmental,-3372,-1398,0.07488826965695486
Richards Developmental,-2568,-2121,0.0928562374215348
Richards Developmental,-3546,-2608,0.031942304496985985
Richards Developmental,-3581,-713,0.07672416644305868
Richards Developmental,-933,-832,0.07958713414475202
Richards Developmental,-3166,-2519,0.06439863119187286
Richards Developmental,-1661,-3403,0.019347103303094984
Richards Developmental,-3799,-835,0.09626339567060636
Richards Developmental,-3058,-2520,0.07664247839189245
Richards Developmental,-2848,-3143,0.07141463630336302
Richards Developmental,-4015,-833,0.06371189510414622
Richards Developmental,-1121,-3409,0.02500673837037594
Richards Developmental,-1005,-2664,0.01822830867114334
Richards Developmental,-2878,-689,0.08459050218355214
Richards Developmental,-3118,-3110,0.041766294142979415
Richards Developmental,-2794,-3175,0.07250406274165859
Richards Developmental,-800,-3785,0.03394857678095302
Richards Developmental,-2142,-2808,0.09474890793367562
Richards Developmental,-1589,-1509,0.09030695028765665
Richards Developmental,-2020,-1380,0.08497808535224524
Richards Developmental,-2391,-600,0.09520997000023014
Richards Developmental,-3062,-2893,0.081646816973892
Richards Developmental,-1969,-1723,0.06218917889432815
Richards Developmental,-2792,-2926,0.07677915931595168
Richards Developmental,-2667,-1188,0.06609258753389904
Richards Developmental,-2346,-1564,0.08464341625712934
Richards Developmental,-3481,-1522,0.09245069387267013
Richards Developmental,-2069,-852,0.07114644589755198
Richards Developmental,-1929,-3121,0.07920489230019132
Richards Developmental,-1705,-2316,0.03503659223088437
Richards Developmental,-2796,-3361,0.05222454809533633
Richards Developmental,-1167,-2569,0.020859330947068613
Richards Developmental,-825,-833,0.05605721560808473
Richards Developmental,-1703,-2129,0.020582024834801968
Richards Developmental,-1429,-1790,0.04930497338667805
Richards Developmental,-1203,-736,0.08086802069193719
Richards Developmental,-1755,-1911,0.0494588143241899
Richards Developmental,-2088,-2778,0.08104490382607515
Richards Developmental,-790,-2791,0.01659341418627293
Richards Developmental,-1872,-2780,0.06691801051590462
Richards Developmental,-1315,-1108,0.06325198086590426
Richards Developmental,-3216,-2052,0.068366757109994
Richards Developmental,-3209,-1307,0.09114739204004765
Richards Developmental,-786,-2356,0.03914313805625304
Richards Developmental,-949,-2385,0.025244978721034747
Richards Developmental,-955,-3069,0.011135425270113061
Richards Developmental,-3282,-3263,0.058935264667172735
Richards Developmental,-3159,-1773,0.0730429729956747
Richards Developmental,-2445,-569,0.08104375347812963
Richards Developmental,-3582,-837,0.07595008101991647
Richards Developmental,-1545,-2535,0.04971269071294897
Richards Developmental,-2124,-944,0.06007473822663904
Richards Developmental,-3381,-2330,0.07368193793193266
Richards Developmental,-2680,-2492,0.07127268805866517
Richards Developmental,-2618,-1716,0.07989450453270261
Richards Developmental,-2848,-3081,0.08678923597820609
Richards Developmental,-900,-2914,0.010777126453253835
Richards Developmental,-629,-2885,0.020246265263019245
Richards Developmental,-827,-1019,0.08213790238816529
Richards Developmental,-3166,-2457,0.06033319383428143
Richards Developmental,-573,-2668,0.042060471512508496
Richards Developmental,-3270,-2083,0.07515839979791801
Richards Developmental,-1324,-2102,0.008115297043215598
Richards Developmental,-3441,-2982,0.045106338406803115
Richards Developmental,-793,-3101,0.019922576588668917
Richards Developmental,-2029,-2250,0.05940183829184363
Richards Developmental,-3008,-2924,0.09404911123365695
Richards Developmental,-933,-770,0.069000316932828
Richards Developmental,-2446,-693,0.10681796596920826
Richards Developmental,-629,-2823,0.022443995520168444
Richards Developmental,-908,-3784,0.04819404612858531
Richards Developmental,-3014,-3483,0.06187946973289994
Richards Developmental,-2462,-2308,0.07941031709064697
Richards Developmental,-2773,-938,0.09092081732021373
Richards Developmental,-2674,-1871,0.07269824734015022
Richards Developmental,-1095,-737,0.08612015183302947
Richards Developmental,-2038,-3244,0.04089334997916057
Richards Developmental,-1749,-1352,0.0882349472352759
Richards Developmental,-2402,-1718,0.07107875607572786
Richards Developmental,-3697,-1457,0.06729760972806749
Richards Developmental,-3491,-2578,0.05385054918038294
Richards Developmental,-2475,-3675,0.031086981658347237
Richards Developmental,-2675,-2058,0.09392673063591377
Richards Developmental,-4339,-830,0.0961815320681089
Richards Developmental,-3542,-2236,0.07834794182535638
Richards Developmental,-1045,-1204,0.06881238563842826
Richards Developmental,-3430,-1802,0.08499758240785474
