niche_name,cell_type,mw,z
Tumor: Proneural (OPC),Astrocyte R,0.048456836101468934,-0.3580919686379071
Tumor: Proneural (OPC),Astrocyte TE-NT,0.024262771637055928,-0.5065922320616095
Tumor: Proneural (OPC),Choroid,5.630911789937104e-4,-0.3177201591739816
Tumor: Proneural (OPC),Ependymal,0.003129990886478328,-0.6424340988213125
Tumor: Proneural (OPC),Immune-other,0.0017590101100173252,-1.015385803923686
Tumor: Proneural (OPC),Myeloid,0.014429051592771285,-0.6070184744550304
Tumor: Proneural (OPC),Neopl-ACR,0.008720507977372801,-0.6288327568538069
Tumor: Proneural (OPC),Neopl-Bulk,0.10552265219761989,-0.13838392841340738
Tumor: Proneural (OPC),Neopl-COP,0.030000771575359197,0.8333684749508132
Tumor: Proneural (OPC),Neopl-ECM,0.017533626147214734,-0.29060231243298207
Tumor: Proneural (OPC),Neopl-OPC,0.622379064244005,2.4870784646973236
Tumor: Proneural (OPC),Neuron,0.07805504801098961,-0.6579117769929205
Tumor: Proneural (OPC),OPC-COP-OLG,0.027236070217935136,-0.5747631162862193
Tumor: Proneural (OPC),Vascular,0.017951508122718212,-0.9316096612067277
Tumor: OPC/Bulk,Astrocyte R,0.04403567568729161,-0.4262344203311966
Tumor: OPC/Bulk,Astrocyte TE-NT,0.0064260898878602405,-0.737686756839875
Tumor: OPC/Bulk,Choroid,0.00230096029967144,-0.3094067813757926
Tumor: OPC/Bulk,Ependymal,0.003302531773775586,-0.6346191024690845
Tumor: OPC/Bulk,Immune-other,0.0023517885609142565,-0.7552315743260906
Tumor: OPC/Bulk,Myeloid,0.02179158222308915,-0.2773287097321634
Tumor: OPC/Bulk,Neopl-ACR,0.022586706788762494,0.5860057648017394
Tumor: OPC/Bulk,Neopl-Bulk,0.3072684852841232,0.8130186344070668
Tumor: OPC/Bulk,Neopl-COP,0.025691175394817498,0.4214486062743972
Tumor: OPC/Bulk,Neopl-ECM,0.060165515994656735,1.9766583145624592
Tumor: OPC/Bulk,Neopl-OPC,0.4287678405933332,1.4983048548423534
Tumor: OPC/Bulk,Neuron,0.02095296627779297,-0.8930173094493951
Tumor: OPC/Bulk,OPC-COP-OLG,0.03176343091731952,-0.5525855322680872
Tumor: OPC/Bulk,Vascular,0.022595250316592045,-0.6885088118239292
Tumor: Bulk/OPC (reactive),Astrocyte R,0.11153944599341993,0.6141875450084592
Tumor: Bulk/OPC (reactive),Astrocyte TE-NT,0.010539752755437658,-0.6843895696809648
Tumor: Bulk/OPC (reactive),Choroid,0.0020907366826619193,-0.31041242002228653
Tumor: Bulk/OPC (reactive),Ependymal,0.006215140063171837,-0.5026966143350949
Tumor: Bulk/OPC (reactive),Immune-other,0.005604108684285386,0.6721226670774801
Tumor: Bulk/OPC (reactive),Myeloid,0.03957873181766423,0.5191693232645044
Tumor: Bulk/OPC (reactive),Neopl-ACR,0.040984020608894306,2.1978220835843594
Tumor: Bulk/OPC (reactive),Neopl-Bulk,0.25935482932345866,0.587065144425794
Tumor: Bulk/OPC (reactive),Neopl-COP,0.037065608229972236,1.5086397683792245
Tumor: Bulk/OPC (reactive),Neopl-ECM,0.05761052304804122,1.8407779927929564
Tumor: Bulk/OPC (reactive),Neopl-OPC,0.21855960455363924,0.42477020922062086
Tumor: Bulk/OPC (reactive),Neuron,0.10226687918070447,-0.558224772839571
Tumor: Bulk/OPC (reactive),OPC-COP-OLG,0.07092267149405744,-0.3607613314495064
Tumor: Bulk/OPC (reactive),Vascular,0.03766794756459158,0.1005499581293991
Tumor: Bulk,Astrocyte R,0.030317336276614853,-0.6376724124037224
Tumor: Bulk,Astrocyte TE-NT,0.0029190274263240458,-0.7831247449316312
Tumor: Bulk,Choroid,7.392385562704451e-4,-0.31687752972735755
Tumor: Bulk,Ependymal,0.0016123012855897617,-0.7111757106244582
Tumor: Bulk,Immune-other,0.00502587416973369,0.4183513728741894
Tumor: Bulk,Myeloid,0.02486275957629469,-0.13980320527707127
Tumor: Bulk,Neopl-ACR,0.011301375644176251,-0.40271906098261134
Tumor: Bulk,Neopl-Bulk,0.727611393525279,2.7952916461751656
Tumor: Bulk,Neopl-COP,0.006570948790857148,-1.406101099502603
Tumor: Bulk,Neopl-ECM,0.017337654391091348,-0.30102453505205196
Tumor: Bulk,Neopl-OPC,0.06839484590050311,-0.3421220591447654
Tumor: Bulk,Neuron,0.06400875614646429,-0.715744360807959
Tumor: Bulk,OPC-COP-OLG,0.01875372731909068,-0.6163144493477337
Tumor: Bulk,Vascular,0.020544760991710802,-0.795852345490935
Tumor margin (neuronal / reactive-astro),Astrocyte R,0.1354484331246543,0.9826919302827892
Tumor margin (neuronal / reactive-astro),Astrocyte TE-NT,0.0457491577228577,-0.22821163125705674
Tumor margin (neuronal / reactive-astro),Choroid,0.003991948892782876,-0.3013176641576438
Tumor margin (neuronal / reactive-astro),Ependymal,0.008998802029433883,-0.37661456820133055
Tumor margin (neuronal / reactive-astro),Immune-other,0.005794053561081215,0.7554842720988155
Tumor margin (neuronal / reactive-astro),Myeloid,0.0460667426204719,0.8096986076234519
Tumor margin (neuronal / reactive-astro),Neopl-ACR,0.014882903664285707,-0.08893600735699951
Tumor margin (neuronal / reactive-astro),Neopl-Bulk,0.07345320255207521,-0.28961855920714996
Tumor margin (neuronal / reactive-astro),Neopl-COP,0.020803190124810612,-0.04575485459845177
Tumor margin (neuronal / reactive-astro),Neopl-ECM,0.025754214070074034,0.1465872044978856
Tumor margin (neuronal / reactive-astro),Neopl-OPC,0.11183574954428442,-0.12026911952013357
Tumor margin (neuronal / reactive-astro),Neuron,0.40813165077987973,0.7011075983075303
