gene,original,refined
Ptx3,TRUE,TRUE
P4ha3,TRUE,FALSE
Gfap,TRUE,FALSE
Ccdc80,TRUE,FALSE
Pdzrn3,TRUE,TRUE
Npy,TRUE,TRUE
Pdpn,TRUE,FALSE
Plce1,TRUE,TRUE
Id3,TRUE,FALSE
Serpina3n,TRUE,TRUE
Cebpd,TRUE,TRUE
Bgn,TRUE,TRUE
Lrig1,TRUE,FALSE
Dhrs1,TRUE,FALSE
Cd44,TRUE,FALSE
Paqr8,TRUE,TRUE
Rbp1,TRUE,TRUE
Ncan,TRUE,TRUE
Fstl1,TRUE,TRUE
Lxn,TRUE,FALSE
Dkk3,TRUE,FALSE
Ggta1,TRUE,TRUE
Plec,TRUE,TRUE
Hey1,TRUE,TRUE
Gpam,TRUE,TRUE
Sorbs1,TRUE,TRUE
Id4,TRUE,FALSE
Ccn1,TRUE,TRUE
Plat,TRUE,TRUE
Igsf11,TRUE,TRUE
S100a6,TRUE,FALSE
Pcp4,TRUE,TRUE
Fabp7,TRUE,TRUE
Timp1,TRUE,TRUE
Fam129b,TRUE,TRUE
Cnn3,TRUE,TRUE
Chl1,TRUE,TRUE
Vcam1,TRUE,TRUE
C4b,TRUE,TRUE
S100a11,TRUE,TRUE
Ltbp3,TRUE,TRUE
Sdc4,TRUE,FALSE
Fxyd1,TRUE,FALSE
Scd1,TRUE,TRUE
Dock7,TRUE,TRUE
Arhgef26,TRUE,TRUE
Bmpr1a,TRUE,TRUE
Tnc,TRUE,TRUE
Limch1,TRUE,TRUE
Susd6,TRUE,TRUE
