gene,in_AstR_top50,in_NeoACR_top50,in_overlap,retained_AstR,retained_NeoACR
Gfap,TRUE,TRUE,TRUE,FALSE,FALSE
P4ha3,TRUE,TRUE,TRUE,FALSE,FALSE
Pdpn,TRUE,TRUE,TRUE,FALSE,FALSE
Dkk3,TRUE,TRUE,TRUE,FALSE,FALSE
Ccdc80,TRUE,TRUE,TRUE,FALSE,FALSE
Id4,TRUE,TRUE,TRUE,FALSE,FALSE
Cd44,TRUE,TRUE,TRUE,FALSE,FALSE
S100a6,TRUE,TRUE,TRUE,FALSE,FALSE
Sdc4,TRUE,TRUE,TRUE,FALSE,FALSE
Dhrs1,TRUE,TRUE,TRUE,FALSE,FALSE
Id3,TRUE,TRUE,TRUE,FALSE,FALSE
Fxyd1,TRUE,TRUE,TRUE,FALSE,FALSE
Lrig1,TRUE,TRUE,TRUE,FALSE,FALSE
Lxn,TRUE,TRUE,TRUE,FALSE,FALSE
S1pr3,TRUE,FALSE,FALSE,TRUE,FALSE
Aqp4,TRUE,FALSE,FALSE,TRUE,FALSE
Serping1,TRUE,FALSE,FALSE,TRUE,FALSE
Osmr,TRUE,FALSE,FALSE,TRUE,FALSE
A2m,TRUE,FALSE,FALSE,TRUE,FALSE
Aldh1l1,TRUE,FALSE,FALSE,TRUE,FALSE
Fbxo2,TRUE,FALSE,FALSE,TRUE,FALSE
Mlc1,TRUE,FALSE,FALSE,TRUE,FALSE
Mt2,TRUE,FALSE,FALSE,TRUE,FALSE
Slc7a2,TRUE,FALSE,FALSE,TRUE,FALSE
Hbegf,TRUE,FALSE,FALSE,TRUE,FALSE
Clu,TRUE,FALSE,FALSE,TRUE,FALSE
Tmem47,TRUE,FALSE,FALSE,TRUE,FALSE
Slc14a1,TRUE,FALSE,FALSE,TRUE,FALSE
Lcat,TRUE,FALSE,FALSE,TRUE,FALSE
Lrtm2,TRUE,FALSE,FALSE,TRUE,FALSE
Tst,TRUE,FALSE,FALSE,TRUE,FALSE
Gstm1,TRUE,FALSE,FALSE,TRUE,FALSE
Lgi4,TRUE,FALSE,FALSE,TRUE,FALSE
Slc4a4,TRUE,FALSE,FALSE,TRUE,FALSE
Cyp2d22,TRUE,FALSE,FALSE,TRUE,FALSE
Pbxip1,TRUE,FALSE,FALSE,TRUE,FALSE
Mgst1,TRUE,FALSE,FALSE,TRUE,FALSE
Cpe,TRUE,FALSE,FALSE,TRUE,FALSE
Fkbp10,TRUE,FALSE,FALSE,TRUE,FALSE
Slc1a2,TRUE,FALSE,FALSE,TRUE,FALSE
Ccdc190,TRUE,FALSE,FALSE,TRUE,FALSE
Igfbp2,TRUE,FALSE,FALSE,TRUE,FALSE
Slc1a3,TRUE,FALSE,FALSE,TRUE,FALSE
Acot11,TRUE,FALSE,FALSE,TRUE,FALSE
Aldoc,TRUE,FALSE,FALSE,TRUE,FALSE
Mt1,TRUE,FALSE,FALSE,TRUE,FALSE
Slc25a18,TRUE,FALSE,FALSE,TRUE,FALSE
Mt3,TRUE,FALSE,FALSE,TRUE,FALSE
Fam107a,TRUE,FALSE,FALSE,TRUE,FALSE
Ezr,TRUE,FALSE,FALSE,TRUE,FALSE
Ptx3,FALSE,TRUE,FALSE,FALSE,TRUE
Pdzrn3,FALSE,TRUE,FALSE,FALSE,TRUE
Npy,FALSE,TRUE,FALSE,FALSE,TRUE
Plce1,FALSE,TRUE,FALSE,FALSE,TRUE
Serpina3n,FALSE,TRUE,FALSE,FALSE,TRUE
Cebpd,FALSE,TRUE,FALSE,FALSE,TRUE
Bgn,FALSE,TRUE,FALSE,FALSE,TRUE
Paqr8,FALSE,TRUE,FALSE,FALSE,TRUE
Rbp1,FALSE,TRUE,FALSE,FALSE,TRUE
Ncan,FALSE,TRUE,FALSE,FALSE,TRUE
Fstl1,FALSE,TRUE,FALSE,FALSE,TRUE
Ggta1,FALSE,TRUE,FALSE,FALSE,TRUE
Plec,FALSE,TRUE,FALSE,FALSE,TRUE
Hey1,FALSE,TRUE,FALSE,FALSE,TRUE
Gpam,FALSE,TRUE,FALSE,FALSE,TRUE
Sorbs1,FALSE,TRUE,FALSE,FALSE,TRUE
Ccn1,FALSE,TRUE,FALSE,FALSE,TRUE
Plat,FALSE,TRUE,FALSE,FALSE,TRUE
Igsf11,FALSE,TRUE,FALSE,FALSE,TRUE
Pcp4,FALSE,TRUE,FALSE,FALSE,TRUE
Fabp7,FALSE,TRUE,FALSE,FALSE,TRUE
Timp1,FALSE,TRUE,FALSE,FALSE,TRUE
Fam129b,FALSE,TRUE,FALSE,FALSE,TRUE
Cnn3,FALSE,TRUE,FALSE,FALSE,TRUE
Chl1,FALSE,TRUE,FALSE,FALSE,TRUE
Vcam1,FALSE,TRUE,FALSE,FALSE,TRUE
C4b,FALSE,TRUE,FALSE,FALSE,TRUE
S100a11,FALSE,TRUE,FALSE,FALSE,TRUE
Ltbp3,FALSE,TRUE,FALSE,FALSE,TRUE
Scd1,FALSE,TRUE,FALSE,FALSE,TRUE
Dock7,FALSE,TRUE,FALSE,FALSE,TRUE
Arhgef26,FALSE,TRUE,FALSE,FALSE,TRUE
Bmpr1a,FALSE,TRUE,FALSE,FALSE,TRUE
Tnc,FALSE,TRUE,FALSE,FALSE,TRUE
Limch1,FALSE,TRUE,FALSE,FALSE,TRUE
Susd6,FALSE,TRUE,FALSE,FALSE,TRUE
