gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Shisa3,9.803454525794171e-38,8.189331326762831,0.221,0.003,1.8698128817047223e-33,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tg-RFP-2,2.6479419418997264e-138,6.118828343132311,0.727,0.032,5.050419665785348e-134,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tg-hPDGFB-nHA,9.940782514711213e-180,6.078258403527366,0.955,0.195,1.8960054490308696e-175,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Npy,1.3325587144220395e-86,6.051430059276191,0.524,0.032,2.541589236017156e-82,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Nkd2,6.977273051839561e-25,6.008638944742671,0.158,0.006,1.3307752891773595e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tg-RFP-1,2.3491456389353487e-140,5.993488079926391,0.734,0.031,4.4805254771413905e-136,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Myl1,3.3890778562304174e-30,5.982585359532923,0.176,0.001,6.463988195188275e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sema4f,1.2859437385614342e-24,5.903272292524434,0.16,0.007,2.4526804925582234e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Il1rl2,2.3469361891851066e-24,5.81554573123583,0.147,0.003,4.4763113936327537e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Sh3tc2,3.3920209747693976e-21,5.67320642649053,0.129,0.003,6.469601605177672e-17,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Col20a1,2.0869690653352425e-24,5.3779743986586945,0.208,0.028,3.980476098313908e-20,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Pcdha4,1.2588047109980942e-19,5.1407834591397075,0.12,0.003,2.4009182252866652e-15,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Zfp536,1.6063608379677925e-17,5.090999105274559,0.115,0.006,3.0638120262559707e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Bmf,9.21733896040756e-17,5.05025812508815,0.111,0.006,1.7580230599185339e-12,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Ebf1,1.7745789177446954e-18,4.970122139780772,0.113,0.003,3.3846543698144577e-14,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Apod,9.710783522906122e-12,4.809619244839116,0.185,0.06,1.8521377413238845e-7,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Col19a1,1.4529370664317782e-83,4.685242286527465,0.53,0.042,2.7711868668053305e-79,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Fst,7.363674799763474e-28,4.641213135149849,0.194,0.013,1.4044736945588875e-23,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cdkn2a,2.133310557792604e-138,4.391706849241092,0.824,0.111,4.0688632268778333e-134,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Mab21l1,6.183454614931125e-16,4.285365378286668,0.106,0.006,1.1793702987058135e-11,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Cntn3,1.520486542016098e-17,4.262902579520632,0.12,0.007,2.900023981587304e-13,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
En1,1.2806031579149366e-30,4.179102132305301,0.203,0.01,2.4424944030911586e-26,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Tecta,6.930319191526543e-41,4.120453998360423,0.293,0.024,1.3218197793998575e-36,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Dll3,1.5088585799163844e-26,4.111066721764868,0.181,0.01,2.87784596947452e-22,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
Klhl4,2.6794456421394086e-23,4.0682083423421656,0.165,0.011,5.110506673252494e-19,Neopl-ACR_vs_Astrocyte-R,Neopl-ACR
